iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,9500.0000,290,290,1,0
2,9025.0000,280,280,1,0
3,8573.7500,367,280,1,1
4,8145.0625,295,280,1,0
5,7737.8091,338,280,1,1
6,7350.9185,366,280,1,1
7,6983.3726,427,280,1,1
8,6634.2036,416,280,1,0
9,6302.4932,340,280,1,0
10,5987.3687,421,280,1,1
11,5688.0000,318,280,1,0
12,5403.6001,429,280,1,1
13,5133.4199,402,280,1,0
14,4876.7490,409,280,1,1
15,4632.9116,368,280,1,0
16,4401.2661,500,280,1,1
17,4181.2026,449,280,1,0
18,3972.1423,393,280,1,0
19,3773.5352,461,280,1,1
20,3584.8584,461,280,1,0
21,3405.6155,398,280,1,0
22,3235.3347,409,280,1,1
23,3073.5679,482,280,1,1
24,2919.8894,301,280,1,0
25,2773.8950,341,280,1,1
26,2635.2002,318,280,1,0
27,2503.4402,296,280,1,0
28,2378.2681,282,280,1,0
29,2259.3547,324,280,1,1
30,2146.3870,312,280,1,0
31,2039.0676,283,280,1,0
32,1937.1143,416,280,1,1
33,1840.2585,305,280,1,0
34,1748.2456,369,280,1,1
35,1660.8333,409,280,1,1
36,1577.7916,371,280,1,0
37,1498.9020,369,280,1,0
38,1423.9569,383,280,1,1
39,1352.7590,426,280,1,1
40,1285.1211,420,280,1,0
41,1220.8650,336,280,1,0
42,1159.8218,361,280,1,1
43,1101.8307,353,280,1,0
44,1046.7391,389,280,1,1
45,994.4022,408,280,1,1
46,944.6821,376,280,1,0
47,897.4479,341,280,1,0
48,852.5755,471,280,1,1
49,809.9467,391,280,1,0
50,769.4493,327,280,1,0
51,730.9769,362,280,1,1
52,694.4280,314,280,1,0
53,659.7066,309,280,1,0
54,626.7213,263,263,1,0
55,595.3852,251,251,1,0
56,565.6159,267,251,1,1
57,537.3351,304,251,1,1
58,510.4683,326,251,1,1
59,484.9449,384,251,1,1
60,460.6977,386,251,1,1
61,437.6628,372,251,1,0
62,415.7796,358,251,1,0
63,394.9906,330,251,1,0
64,375.2411,473,251,1,1
65,356.4790,339,251,1,0
66,338.6551,373,251,1,1
67,321.7223,325,251,1,0
68,305.6362,344,251,1,1
69,290.3544,376,251,1,1
70,275.8367,429,251,1,1
71,262.0448,352,251,1,0
72,248.9426,308,251,1,0
73,236.4955,323,251,1,1
74,224.6707,280,251,1,0
75,213.4371,276,251,1,0
76,202.7653,236,236,1,0
77,192.6270,281,236,1,1
78,182.9957,247,236,1,0
79,173.8459,268,236,1,1
80,165.1536,289,236,1,1
81,156.8959,258,236,1,0
82,149.0511,220,220,1,0
83,141.5986,232,220,1,1
84,134.5186,213,213,1,0
85,127.7927,224,213,1,1
86,121.4031,232,213,1,1
87,115.3329,270,213,1,1
88,109.5663,253,213,1,0
89,104.0880,207,207,1,0
90,98.8836,203,203,1,0
91,93.9394,208,203,1,1
92,89.2424,212,203,1,1
93,84.7803,208,203,1,0
94,80.5413,241,203,1,1
95,76.5142,221,203,1,0
96,72.6885,203,203,1,0
97,69.0541,212,203,1,1
98,65.6014,241,203,1,1
99,62.3213,196,196,1,0
100,59.2052,225,196,1,1
101,56.2450,248,196,1,1
102,53.4327,196,196,1,0
103,50.7611,241,196,1,1
104,48.2230,237,196,1,0
105,45.8119,196,196,1,0
106,43.5213,237,196,1,1
107,41.3452,224,196,1,0
108,39.2780,228,196,1,1
109,37.3141,257,196,1,1
110,35.4484,228,196,1,0
111,33.6759,224,196,1,0
112,31.9921,225,196,1,1
113,30.3925,237,196,1,1
114,28.8729,224,196,1,0
115,27.4293,229,196,1,1
116,26.0578,225,196,1,0
117,24.7549,218,196,1,0
118,23.5172,211,196,1,0
119,22.3413,196,196,1,0
120,21.2242,237,196,1,1
121,20.1630,218,196,1,0
122,19.1549,241,196,1,1
123,18.1971,225,196,1,0
124,17.2873,241,196,1,1
125,16.4229,229,196,1,0
126,15.6018,248,196,1,1
127,14.8217,258,196,1,1
128,14.0806,207,196,1,0
129,13.3766,196,196,1,0
130,12.7077,219,196,1,1
131,12.0723,264,196,1,1
132,11.4687,218,196,1,0
133,10.8953,237,196,1,1
134,10.3505,225,196,1,0
135,9.8330,229,196,1,1
136,9.3413,225,196,1,0
137,8.8743,237,196,1,1
138,8.4306,241,196,1,1
139,8.0090,196,196,1,0
140,7.6086,229,196,1,1
141,7.2282,263,196,1,1
142,6.8667,228,196,1,0
143,6.5234,237,196,1,1
144,6.1972,248,196,1,1
145,5.8874,223,196,1,0
146,5.5930,225,196,1,1
147,5.3134,223,196,1,0
148,5.0477,268,196,1,1
149,4.7953,225,196,1,0
150,4.5555,242,196,1,1
151,4.3278,219,196,1,0
152,4.1114,218,196,1,0
153,3.9058,207,196,1,0
154,3.7105,196,196,1,0
155,3.5250,258,196,1,1
156,3.3487,226,196,1,0
157,3.1813,241,196,1,1
158,3.0222,218,196,1,0
159,2.8711,241,196,1,1
160,2.7276,218,196,1,0
161,2.5912,199,196,1,0
162,2.4616,235,196,1,1
163,2.3386,211,196,1,0
164,2.2216,207,196,1,0
165,2.1105,235,196,1,1
166,2.0050,196,196,1,0
167,1.9048,196,196,1,0
168,1.8095,248,196,1,1
169,1.7190,228,196,1,0
170,1.6331,196,196,1,0
171,1.5514,248,196,1,1
172,1.4739,226,196,1,0
173,1.4002,229,196,1,1
174,1.3302,262,196,1,1
175,1.2637,229,196,1,0
176,1.2005,237,196,1,1
177,1.1405,219,196,1,0
178,1.0834,223,196,1,1
179,1.0293,229,196,1,1
180,0.9778,228,196,1,0
181,0.9289,223,196,1,0
182,0.8825,211,196,1,0
183,0.8383,199,196,1,0
184,0.7964,196,196,1,0
185,0.7566,258,196,1,1
186,0.7188,229,196,1,0
187,0.6828,235,196,1,1
188,0.6487,248,196,1,1
189,0.6163,219,196,1,0
190,0.5854,223,196,1,1
191,0.5562,235,196,1,1
192,0.5284,228,196,1,0
193,0.5019,226,196,1,0
194,0.4768,235,196,1,1
195,0.4530,228,196,1,0
196,0.4304,218,196,1,0
197,0.4088,219,196,1,1
198,0.3884,248,196,1,1
199,0.3690,235,196,1,0
200,0.3505,218,196,1,0
201,0.3330,223,196,1,1
202,0.3163,237,196,1,1
203,0.3005,228,196,1,0
204,0.2855,241,196,1,1
205,0.2712,223,196,1,0
206,0.2577,229,196,1,1
207,0.2448,228,196,1,0
208,0.2325,237,196,1,1
209,0.2209,223,196,1,0
210,0.2099,235,196,1,1
211,0.1994,226,196,1,0
212,0.1894,219,196,1,0
213,0.1799,218,196,1,0
214,0.1709,228,196,1,1
215,0.1624,219,196,1,0
216,0.1543,237,196,1,1
217,0.1466,219,196,1,0
218,0.1392,226,196,1,1
219,0.1323,223,196,1,0
220,0.1257,226,196,1,1
221,0.1194,218,196,1,0
222,0.1134,229,196,1,1
223,0.1077,228,196,1,0
224,0.1023,235,196,1,1
225,0.0972,226,196,1,0
