temperatura,makespan
10000.00000,4832
9000.00000,751
8100.00000,705
7290.00000,679
6561.00000,765
5904.89990,776
5314.40967,722
4782.96875,680
4304.67188,711
3874.20459,728
3486.78394,788
3138.10547,894
2824.29492,947
2541.86548,825
2287.67896,702
2058.91089,721
1853.01978,757
1667.71777,820
1500.94592,846
1350.85132,725
1215.76611,763
1094.18945,761
984.77051,862
886.29346,764
797.66406,865
717.89764,740
646.10785,670
581.49707,690
523.34735,820
471.01260,704
423.91135,637
381.52020,694
343.36816,710
309.03134,608
278.12820,626
250.31538,574
225.28384,572
202.75545,578
182.47990,570
164.23190,575
147.80872,570
133.02785,563
119.72506,534
107.75255,532
96.97729,626
87.27956,617
78.55160,566
70.69643,541
63.62679,569
57.26411,558
51.53770,591
46.38393,558
41.74553,532
37.57098,574
33.81388,531
30.43249,567
27.38924,558
24.65032,583
22.18529,582
19.96676,660
17.97008,591
16.17307,576
14.55577,596
13.10019,589
11.79017,546
10.61115,589
9.55004,553
8.59503,564
7.73553,531
6.96198,566
6.26578,603
5.63920,566
5.07528,604
4.56775,566
4.11098,603
3.69988,577
3.32989,669
2.99690,602
2.69721,615
2.42749,569
2.18474,567
1.96627,619
1.76964,583
1.59268,567
1.43341,552
1.29007,542
1.16106,560
1.04495,526
0.94046,567
0.84641,533
0.76177,536
0.68559,521
0.61704,584
0.55533,521
0.49980,584
0.44982,603
0.40484,559
0.36435,562
0.32792,577
0.29513,566
0.26561,599
0.23905,598
0.21515,569
0.19363,618
0.17427,571
0.15684,606
0.14116,563
0.12704,567
0.11434,557
0.10290,585
