iteration,makespan
1,17657
2,17629
3,17540
4,17448
5,17379
6,17296
7,17250
8,17226
9,17214
10,17206
11,17200
12,17122
13,17108
14,17095
15,17073
16,17060
17,17040
18,16969
19,16889
20,16867
21,16782
22,16686
23,16615
24,16538
25,16468
26,16372
27,16353
28,16331
29,16310
30,16214
31,16196
32,16154
33,16146
34,16091
35,15997
36,15952
37,15881
38,15794
39,15727
40,15644
41,15549
42,15455
43,15399
44,15397
45,15355
46,15303
47,15221
48,15122
49,15087
50,15054
51,14955
52,14898
53,14871
54,14795
55,14737
56,14641
57,14618
58,14594
59,14541
60,14461
61,14424
62,14412
63,14316
64,14253
65,14169
66,14161
67,14134
68,14045
69,14004
70,13930
71,13854
72,13761
73,13708
74,13703
75,13634
76,13590
77,13525
78,13475
79,13375
80,13348
81,13341
82,13269
83,13170
84,13091
85,13037
86,13002
87,12910
88,12818
89,12783
90,12742
91,12657
92,12582
93,12553
94,12464
95,12379
96,12283
97,12267
98,12214
99,12152
100,12104
101,12034
102,12015
103,11990
104,11980
105,11891
106,11871
107,11827
108,11788
109,11744
110,11667
111,11590
112,11514
113,11495
114,11482
115,11394
116,11383
117,11382
118,11330
119,11322
120,11313
121,11252
122,11155
123,11117
124,11084
125,11063
126,11030
127,10947
128,10878
129,10846
130,10755
131,10731
132,10670
133,10591
134,10538
135,10472
136,10421
137,10344
138,10328
139,10317
140,10301
141,10242
142,10177
143,10140
144,10083
145,10070
146,9985
147,9981
148,9941
149,9902
150,9890
151,9818
152,9789
153,9765
154,9759
155,9660
156,9607
157,9557
158,9516
159,9471
160,9400
161,9339
162,9319
163,9223
164,9194
165,9117
166,9018
167,8929
168,8919
169,8862
170,8862
