iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,8500.0000,1800,1800,1,0
2,7225.0000,1824,1800,1,1
3,6141.2500,1611,1611,1,0
4,5220.0625,1722,1611,1,1
5,4437.0532,1707,1611,1,0
6,3771.4954,1646,1611,1,0
7,3205.7712,1501,1501,1,0
8,2724.9055,1592,1501,1,1
9,2316.1697,1705,1501,1,1
10,1968.7443,1565,1501,1,0
11,1673.4326,1478,1478,1,0
12,1422.4177,1395,1395,1,0
13,1209.0551,1439,1395,1,1
14,1027.6968,1419,1395,1,0
15,873.5423,1456,1395,1,1
16,742.5110,1499,1395,1,1
17,631.1343,1547,1395,1,1
18,536.4642,1425,1395,1,0
19,455.9946,1375,1375,1,0
20,387.5954,1493,1375,1,1
21,329.4561,1359,1359,1,0
22,280.0377,1404,1359,1,1
23,238.0320,1389,1359,1,0
24,202.3272,1342,1342,1,0
25,171.9782,1316,1316,1,0
26,146.1814,1378,1316,1,1
27,124.2542,1394,1316,1,1
28,105.6161,1380,1316,1,0
29,89.7737,1221,1221,1,0
30,76.3076,1310,1221,1,1
31,64.8615,1300,1221,1,0
32,55.1323,1213,1213,1,0
33,46.8624,1195,1195,1,0
34,39.8331,1173,1173,1,0
35,33.8581,1169,1169,1,0
36,28.7794,1169,1169,1,0
37,24.4625,1214,1169,1,1
38,20.7931,1145,1145,1,0
39,17.6741,1265,1145,1,1
40,15.0230,1137,1137,1,0
41,12.7696,1128,1128,1,0
42,10.8541,1114,1114,1,0
43,9.2260,1125,1114,1,1
44,7.8421,1106,1106,1,0
45,6.6658,1090,1090,1,0
46,5.6659,1103,1090,1,1
47,4.8160,1112,1090,1,1
48,4.0936,1088,1088,1,0
49,3.4796,1110,1088,1,1
50,2.9576,1088,1088,1,0
51,2.5140,1144,1088,1,1
52,2.1369,1087,1087,1,0
53,1.8164,1091,1087,1,1
54,1.5439,1086,1086,1,0
55,1.3123,1149,1086,1,1
56,1.1155,1091,1086,1,0
57,0.9482,1112,1086,1,1
58,0.8059,1142,1086,1,1
59,0.6850,1176,1086,1,1
60,0.5823,1112,1086,1,0
61,0.4949,1084,1084,1,0
62,0.4207,1083,1083,1,0
63,0.3576,1108,1083,1,1
64,0.3040,1083,1083,1,0
65,0.2584,1108,1083,1,1
66,0.2196,1105,1083,1,0
67,0.1867,1140,1083,1,1
68,0.1587,1100,1083,1,0
69,0.1349,1083,1083,1,0
70,0.1146,1090,1083,1,1
71,0.0974,1102,1083,1,1
