iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,9000.0000,3254,3254,1,0
2,8100.0000,3222,3222,1,0
3,7290.0000,3190,3190,1,0
4,6561.0000,3264,3190,1,1
5,5904.8999,3274,3190,1,1
6,5314.4097,3258,3190,1,0
7,4782.9688,3160,3160,1,0
8,4304.6719,3155,3155,1,0
9,3874.2046,3050,3050,1,0
10,3486.7839,3110,3050,1,1
11,3138.1055,3081,3050,1,0
12,2824.2949,3030,3030,1,0
13,2541.8655,3052,3030,1,1
14,2287.6790,3027,3027,1,0
15,2058.9109,3001,3001,1,0
16,1853.0198,3011,3001,1,1
17,1667.7178,2984,2984,1,0
18,1500.9459,2967,2967,1,0
19,1350.8513,2958,2958,1,0
20,1215.7661,2956,2956,1,0
21,1094.1895,2939,2939,1,0
22,984.7705,2923,2923,1,0
23,886.2935,2955,2923,1,1
24,797.6641,3014,2923,1,1
25,717.8976,2909,2909,1,0
26,646.1078,2869,2869,1,0
27,581.4971,2868,2868,1,0
28,523.3474,2890,2868,1,1
29,471.0126,2850,2850,1,0
30,423.9113,2844,2844,1,0
31,381.5202,2886,2844,1,1
32,343.3682,2879,2844,1,0
33,309.0313,2935,2844,1,1
34,278.1282,2837,2837,1,0
35,250.3154,2871,2837,1,1
36,225.2838,2839,2837,1,0
37,202.7554,2892,2837,1,1
38,182.4799,2831,2831,1,0
39,164.2319,2880,2831,1,1
40,147.8087,2819,2819,1,0
41,133.0278,2820,2819,1,1
42,119.7251,2792,2792,1,0
43,107.7525,2784,2784,1,0
44,96.9773,2838,2784,1,1
45,87.2796,2784,2784,1,0
46,78.5516,2776,2776,1,0
47,70.6964,2776,2776,1,0
48,63.6268,2759,2759,1,0
49,57.2641,2777,2759,1,1
50,51.5377,2777,2759,1,0
51,46.3839,2815,2759,1,1
52,41.7455,2774,2759,1,0
53,37.5710,2783,2759,1,1
54,33.8139,2749,2749,1,0
55,30.4325,2807,2749,1,1
56,27.3892,2790,2749,1,0
57,24.6503,2777,2749,1,0
58,22.1853,2764,2749,1,0
59,19.9668,2755,2749,1,0
60,17.9701,2802,2749,1,1
61,16.1731,2746,2746,1,0
62,14.5558,2773,2746,1,1
63,13.1002,2743,2743,1,0
64,11.7902,2737,2737,1,0
65,10.6112,2737,2737,1,0
66,9.5500,2798,2737,1,1
67,8.5950,2758,2737,1,0
68,7.7355,2788,2737,1,1
69,6.9620,2801,2737,1,1
70,6.2658,2834,2737,1,1
71,5.6392,2789,2737,1,0
72,5.0753,2769,2737,1,0
73,4.5678,2764,2737,1,0
74,4.1110,2766,2737,1,1
75,3.6999,2734,2734,1,0
76,3.3299,2727,2727,1,0
77,2.9969,2773,2727,1,1
78,2.6972,2706,2706,1,0
79,2.4275,2758,2706,1,1
80,2.1847,2778,2706,1,1
81,1.9663,2698,2698,1,0
82,1.7696,2715,2698,1,1
83,1.5927,2795,2698,1,1
84,1.4334,2695,2695,1,0
85,1.2901,2686,2686,1,0
86,1.1611,2833,2686,1,1
87,1.0450,2737,2686,1,0
88,0.9405,2707,2686,1,0
89,0.8464,2767,2686,1,1
90,0.7618,2724,2686,1,0
91,0.6856,2731,2686,1,1
92,0.6170,2751,2686,1,1
93,0.5553,2733,2686,1,0
94,0.4998,2722,2686,1,0
95,0.4498,2711,2686,1,0
96,0.4048,2734,2686,1,1
97,0.3644,2709,2686,1,0
98,0.3279,2717,2686,1,1
99,0.2951,2768,2686,1,1
100,0.2656,2707,2686,1,0
101,0.2391,2702,2686,1,0
102,0.2151,2738,2686,1,1
103,0.1936,2719,2686,1,0
104,0.1743,2768,2686,1,1
105,0.1568,2731,2686,1,0
106,0.1412,2703,2686,1,0
107,0.1270,2691,2686,1,0
108,0.1143,2691,2686,1,0
109,0.1029,2680,2680,1,0
110,0.0926,2719,2680,1,1
