heuristica,n,m,alfa,rep,total_movimentos,pioras_propostas,pioras_aceitas,taxa_aceitacao
temperasimulada,100,10,0.80,6,52,18,18,100.00
temperasimulada,100,10,0.80,7,52,24,24,100.00
temperasimulada,100,10,0.80,8,52,21,21,100.00
temperasimulada,100,10,0.80,9,52,18,18,100.00
temperasimulada,100,10,0.80,10,52,19,19,100.00
temperasimulada,100,10,0.85,1,71,34,34,100.00
temperasimulada,100,10,0.85,2,71,25,25,100.00
temperasimulada,100,10,0.85,3,71,30,30,100.00
temperasimulada,100,10,0.85,4,71,30,30,100.00
temperasimulada,100,10,0.85,5,71,29,29,100.00
temperasimulada,100,10,0.85,6,71,36,36,100.00
temperasimulada,100,10,0.85,7,71,29,29,100.00
temperasimulada,100,10,0.85,8,71,28,28,100.00
temperasimulada,100,10,0.85,9,71,30,30,100.00
temperasimulada,100,10,0.85,10,71,30,30,100.00
temperasimulada,100,10,0.90,1,110,48,48,100.00
temperasimulada,100,10,0.90,2,110,48,48,100.00
temperasimulada,100,10,0.90,3,110,49,49,100.00
temperasimulada,100,10,0.90,4,110,42,42,100.00
temperasimulada,100,10,0.90,5,110,47,47,100.00
temperasimulada,100,10,0.90,6,110,54,54,100.00
temperasimulada,100,10,0.90,7,110,48,48,100.00
temperasimulada,100,10,0.90,8,110,49,49,100.00
temperasimulada,100,10,0.90,9,110,46,46,100.00
temperasimulada,100,10,0.90,10,110,44,44,100.00
temperasimulada,100,10,0.95,1,225,96,96,100.00
temperasimulada,100,10,0.95,2,225,100,100,100.00
temperasimulada,100,10,0.95,3,225,101,101,100.00
temperasimulada,100,10,0.95,4,225,102,102,100.00
temperasimulada,100,10,0.95,5,225,105,105,100.00
temperasimulada,100,10,0.95,6,225,106,106,100.00
temperasimulada,100,10,0.95,7,225,112,112,100.00
temperasimulada,100,10,0.95,8,225,107,107,100.00
temperasimulada,100,10,0.95,9,225,94,94,100.00
temperasimulada,100,10,0.95,10,225,107,107,100.00
temperasimulada,100,10,0.99,1,1146,557,557,100.00
temperasimulada,100,10,0.99,2,1146,531,531,100.00
temperasimulada,100,10,0.99,3,1146,534,534,100.00
temperasimulada,100,10,0.99,4,1146,566,566,100.00
temperasimulada,100,10,0.99,5,1146,540,540,100.00
temperasimulada,100,10,0.99,6,1146,571,571,100.00
temperasimulada,100,10,0.99,7,1146,556,556,100.00
temperasimulada,100,10,0.99,8,1146,551,551,100.00
temperasimulada,100,10,0.99,9,1146,569,569,100.00
temperasimulada,100,10,0.99,10,1146,527,527,100.00
temperasimulada,89,20,0.80,1,52,27,27,100.00
temperasimulada,89,20,0.80,2,52,28,28,100.00
temperasimulada,89,20,0.80,3,52,24,24,100.00
temperasimulada,89,20,0.80,4,52,27,27,100.00
temperasimulada,89,20,0.80,5,52,20,20,100.00
temperasimulada,89,20,0.80,6,52,22,22,100.00
temperasimulada,89,20,0.80,7,52,26,26,100.00
temperasimulada,89,20,0.80,8,52,21,21,100.00
temperasimulada,89,20,0.80,9,52,26,26,100.00
temperasimulada,89,20,0.80,10,52,20,20,100.00
temperasimulada,89,20,0.85,1,71,27,27,100.00
temperasimulada,89,20,0.85,2,71,26,26,100.00
temperasimulada,89,20,0.85,3,71,26,26,100.00
temperasimulada,89,20,0.85,4,71,33,33,100.00
temperasimulada,89,20,0.85,5,71,31,31,100.00
temperasimulada,89,20,0.85,6,71,27,27,100.00
temperasimulada,89,20,0.85,7,71,32,32,100.00
temperasimulada,89,20,0.85,8,71,32,32,100.00
temperasimulada,89,20,0.85,9,71,33,33,100.00
temperasimulada,89,20,0.85,10,71,33,33,100.00
temperasimulada,89,20,0.90,1,110,48,48,100.00
temperasimulada,89,20,0.90,2,110,52,52,100.00
temperasimulada,89,20,0.90,3,110,52,52,100.00
temperasimulada,89,20,0.90,4,110,57,57,100.00
temperasimulada,89,20,0.90,5,110,43,43,100.00
temperasimulada,89,20,0.90,6,110,54,54,100.00
temperasimulada,89,20,0.90,7,110,46,46,100.00
