iteration,makespan
1,21252
2,21166
3,21146
4,21089
5,21068
6,21041
7,20962
8,20870
9,20842
10,20821
11,20820
12,20794
13,20746
14,20693
15,20678
16,20589
17,20499
18,20406
19,20374
20,20328
21,20232
22,20228
23,20152
24,20092
25,20086
26,20068
27,20052
28,19980
29,19917
30,19857
31,19770
32,19698
33,19632
34,19538
35,19459
36,19381
37,19281
38,19275
39,19183
40,19180
41,19106
42,19009
43,18997
44,18937
45,18873
46,18802
47,18796
48,18703
49,18605
50,18528
51,18457
52,18372
53,18325
54,18319
55,18274
56,18239
57,18183
58,18127
59,18041
60,18001
61,17958
62,17864
63,17770
64,17733
65,17690
66,17668
67,17581
68,17484
69,17451
70,17407
71,17367
72,17305
73,17271
74,17181
75,17178
76,17158
77,17136
78,17058
79,17035
80,17021
81,16942
82,16929
83,16888
84,16875
85,16824
86,16787
87,16689
88,16672
89,16610
90,16517
91,16422
92,16368
93,16268
94,16195
95,16144
96,16098
97,16061
98,15969
99,15963
100,15943
101,15932
102,15881
103,15821
104,15806
105,15737
106,15663
107,15565
108,15556
109,15456
110,15398
111,15376
112,15361
113,15298
114,15246
115,15230
116,15195
117,15119
118,15113
119,15042
120,14985
121,14943
122,14920
123,14916
124,14914
125,14830
126,14770
127,14729
128,14711
129,14629
130,14574
131,14513
132,14416
133,14385
134,14351
135,14285
136,14224
137,14149
138,14061
139,14025
140,13991
141,13895
142,13825
143,13725
144,13649
145,13572
146,13513
147,13500
148,13432
149,13419
150,13370
151,13316
152,13276
153,13189
154,13097
155,13035
156,12968
157,12941
158,12906
159,12900
160,12814
161,12741
162,12666
163,12586
164,12515
165,12455
166,12377
167,12303
168,12261
169,12168
170,12102
171,12019
172,11950
173,11908
174,11866
175,11802
176,11744
177,11649
178,11636
179,11573
180,11500
181,11490
182,11428
183,11349
184,11328
185,11314
186,11238
187,11229
188,11187
189,11124
190,11092
191,11037
192,11035
193,11019
194,11017
195,10971
196,10953
197,10919
198,10911
199,10903
200,10830
201,10757
202,10667
203,10667
