temperatura,makespan
10000.00000,16966
9500.00000,597
9025.00000,606
8573.75000,577
8145.06250,589
7737.80908,561
7350.91846,583
6983.37256,622
6634.20361,605
6302.49316,589
5987.36865,576
5688.00000,560
5403.60010,560
5133.41992,572
4876.74902,567
4632.91162,614
4401.26611,673
4181.20264,644
3972.14233,615
3773.53516,589
3584.85840,620
3405.61548,619
3235.33472,653
3073.56787,573
2919.88940,572
2773.89502,552
2635.20020,532
2503.44019,562
2378.26807,531
2259.35474,529
2146.38696,514
2039.06763,566
1937.11426,559
1840.25854,629
1748.24561,564
1660.83325,539
1577.79163,506
1498.90198,517
1423.95691,575
1352.75903,518
1285.12109,535
1220.86499,514
1159.82178,503
1101.83069,497
1046.73914,495
994.40216,487
944.68207,484
897.44794,479
852.57550,565
809.94672,524
769.44934,520
730.97687,578
694.42804,548
659.70660,533
626.72125,558
595.38519,506
565.61591,502
537.33508,525
510.46832,550
484.94492,516
460.69766,539
437.66278,561
415.77963,552
394.99063,527
375.24109,516
356.47903,564
338.65509,547
321.72232,582
305.63620,499
290.35440,551
275.83667,542
262.04483,535
248.94258,556
236.49545,576
224.67068,523
213.43715,511
202.76529,522
192.62703,506
182.99568,504
173.84590,497
165.15361,536
156.89594,484
149.05113,484
141.59857,535
134.51865,462
127.79271,516
121.40308,519
115.33292,478
109.56628,472
104.08796,448
98.88356,441
93.93938,441
89.24242,441
84.78030,440
80.54128,461
76.51422,461
72.68851,515
69.05408,514
65.60137,513
62.32130,509
59.20523,484
56.24497,526
53.43272,495
50.76109,484
48.22303,471
45.81188,469
43.52128,461
41.34522,458
39.27796,458
37.31406,452
35.44836,452
33.67594,452
31.99214,476
30.39253,444
28.87291,438
27.42926,461
26.05780,465
24.75491,455
23.51716,431
22.34130,431
21.22424,431
20.16302,430
19.15487,430
18.19713,430
17.28727,437
16.42291,437
15.60176,437
14.82167,437
14.08059,437
13.37656,425
12.70773,421
12.07234,421
11.46873,420
10.89529,420
10.35052,418
9.83300,418
9.34135,429
8.87428,429
8.43057,402
8.00904,402
7.60859,400
7.22816,400
6.86675,400
6.52341,400
6.19724,400
5.88738,400
5.59301,398
5.31336,398
5.04769,398
4.79531,398
4.55554,398
4.32776,398
4.11138,397
3.90581,399
3.71052,390
3.52499,390
3.34874,389
3.18130,388
3.02224,388
2.87113,388
2.72757,388
2.59119,385
2.46163,385
2.33855,385
2.22162,385
2.11054,385
2.00501,385
1.90476,383
1.80953,383
1.71905,379
1.63310,379
1.55144,379
1.47387,379
1.40018,378
1.33017,378
1.26366,377
1.20048,377
1.14045,377
1.08343,375
1.02926,375
0.97780,375
0.92891,375
0.88246,373
0.83834,373
0.79642,373
0.75660,373
0.71877,373
0.68283,373
0.64869,373
0.61625,373
0.58544,372
0.55617,372
0.52836,372
0.50194,372
0.47685,372
0.45300,372
0.43035,372
0.40884,372
0.38839,372
0.36897,372
0.35053,372
0.33300,372
0.31635,372
0.30053,372
0.28551,372
0.27123,372
0.25767,372
0.24479,372
0.23255,372
0.22092,372
0.20987,372
0.19938,372
0.18941,372
0.17994,372
0.17094,372
0.16240,372
0.15428,372
0.14656,372
0.13923,372
0.13227,372
0.12566,372
0.11938,372
0.11341,372
0.10774,372
0.10235,372
