iteration,makespan
1,4682
2,4621
3,4618
4,4588
5,4522
6,4490
7,4467
8,4452
9,4406
10,4393
11,4293
12,4279
13,4226
14,4199
15,4126
16,4071
17,4059
18,4002
19,3939
20,3870
21,3861
22,3772
23,3682
24,3617
25,3616
26,3603
27,3564
28,3560
29,3533
30,3477
31,3441
32,3381
33,3286
34,3266
35,3210
36,3158
37,3124
38,3065
39,3002
40,2969
41,2909
42,2835
43,2746
44,2647
45,2583
46,2566
47,2526
48,2434
49,2387
50,2338
51,2246
52,2206
53,2189
54,2125
55,2026
56,1937
57,1863
58,1803
59,1770
60,1707
61,1648
62,1614
63,1562
64,1506
65,1486
66,1391
67,1331
68,1295
69,1239
70,1212
71,1208
72,1208
