temperatura,makespan
10000.00000,1541
9900.00000,328
9801.00000,286
9702.99023,276
9605.95996,340
9509.90039,279
9414.80176,317
9320.65430,388
9227.44824,386
9135.17383,423
9043.82227,406
8953.38379,294
8863.84961,290
8775.21094,288
8687.45898,299
8600.58496,372
8514.57910,249
8429.43359,241
8345.13965,291
8261.68848,296
8179.07178,376
8097.28125,402
8016.30859,318
7936.14551,331
7856.78418,365
7778.21631,300
7700.43408,276
7623.42969,432
7547.19531,301
7471.72363,387
7397.00635,352
7323.03613,342
7249.80566,383
7177.30762,313
7105.53467,387
7034.47949,278
6964.13477,233
6894.49365,257
6825.54883,209
6757.29346,198
6689.72070,194
6622.82373,278
6556.59570,278
6491.02979,293
6426.11963,243
6361.85840,227
6298.23975,217
6235.25732,259
6172.90479,236
6111.17578,238
6050.06396,291
5989.56348,235
5929.66797,307
5870.37158,257
5811.66797,271
5753.55127,250
5696.01562,276
5639.05566,266
5582.66504,296
5526.83838,249
5471.56982,231
5416.85400,209
5362.68555,203
5309.05859,200
5255.96826,197
5203.40869,188
5151.37451,204
5099.86084,188
5048.86230,218
4998.37354,215
4948.38965,199
4898.90576,228
4849.91699,208
4801.41797,182
4753.40381,199
4705.86963,226
4658.81104,216
4612.22314,208
4566.10107,215
4520.43994,201
4475.23535,247
4430.48291,201
4386.17822,199
4342.31641,188
4298.89307,208
4255.90430,181
4213.34521,179
4171.21191,179
4129.50000,173
4088.20508,228
4047.32300,232
4006.84985,235
3966.78149,201
3927.11377,213
3887.84277,206
3848.96436,213
3810.47485,225
3772.37012,200
3734.64648,199
3697.30005,225
3660.32715,206
3623.72388,228
3587.48657,216
3551.61182,206
3516.09570,231
3480.93481,225
3446.12549,189
3411.66431,216
3377.54761,201
3343.77222,216
3310.33447,189
3277.23120,231
3244.45898,228
3212.01440,216
3179.89429,206
3148.09546,189
3116.61450,228
3085.44849,225
3054.59399,199
3024.04810,231
2993.80762,213
2963.86963,189
2934.23096,225
2904.88867,231
2875.83984,216
2847.08154,225
2818.61084,206
2790.42480,199
2762.52051,216
2734.89526,209
2707.54639,206
2680.47095,201
2653.66626,209
2627.12964,231
2600.85840,209
2574.84985,216
2549.10132,213
2523.61035,189
2498.37427,216
2473.39062,231
2448.65674,189
2424.17017,231
2399.92847,189
2375.92920,209
2352.16992,216
2328.64819,228
2305.36182,213
2282.30811,201
2259.48511,209
2236.89038,225
2214.52148,189
2192.37622,206
2170.45239,216
2148.74780,189
2127.26025,206
2105.98779,209
2084.92798,206
2064.07861,231
2043.43787,225
2023.00354,231
2002.77356,216
1982.74585,213
1962.91846,199
1943.28931,228
1923.85645,189
1904.61792,213
1885.57178,225
1866.71606,199
1848.04895,231
1829.56848,213
1811.27283,225
1793.16016,189
1775.22852,209
1757.47620,206
1739.90149,189
1722.50244,209
1705.27747,225
1688.22473,228
1671.34253,231
1654.62915,189
1638.08289,225
1621.70203,213
1605.48499,225
1589.43018,228
1573.53589,213
1557.80054,228
1542.22253,231
1526.80029,189
1511.53235,216
1496.41699,225
1481.45288,201
1466.63831,225
1451.97192,228
1437.45227,216
1423.07776,199
1408.84705,225
1394.75854,201
1380.81091,231
1367.00281,225
1353.33276,201
1339.79944,189
1326.40149,216
1313.13745,206
1300.00610,201
1287.00610,209
1274.13611,216
1261.39478,206
1248.78088,225
1236.29309,201
1223.93018,231
1211.69092,216
1199.57397,225
1187.57825,206
1175.70251,213
1163.94556,231
