temperatura,makespan
10000.00000,19988
9000.00000,1949
8100.00000,1703
7290.00000,1561
6561.00000,1473
5904.89990,1484
5314.40967,1537
4782.96875,1668
4304.67188,1621
3874.20459,1736
3486.78394,1586
3138.10547,1529
2824.29492,1574
2541.86548,1552
2287.67896,1486
2058.91089,1554
1853.01978,1539
1667.71777,1542
1500.94592,1562
1350.85132,1472
1215.76611,1489
1094.18945,1482
984.77051,1488
886.29346,1453
797.66406,1343
717.89764,1439
646.10785,1280
581.49707,1265
523.34735,1298
471.01260,1213
423.91135,1176
381.52020,1223
343.36816,1184
309.03134,1172
278.12820,1226
250.31538,1102
225.28384,1160
202.75545,1099
182.47990,1092
164.23190,1081
147.80872,1095
133.02785,1073
119.72506,1100
107.75255,1119
96.97729,1104
87.27956,1066
78.55160,1061
70.69643,1085
63.62679,1085
57.26411,1085
51.53770,1085
46.38393,1060
41.74553,1069
37.57098,1058
33.81388,1046
30.43249,1045
27.38924,1045
24.65032,1045
22.18529,1041
19.96676,1041
17.97008,1041
16.17307,1041
14.55577,1039
13.10019,1046
11.79017,1038
10.61115,1046
9.55004,1046
8.59503,1046
7.73553,1046
6.96198,1035
6.26578,1035
5.63920,1035
5.07528,1035
4.56775,1035
4.11098,1035
3.69988,1035
3.32989,1035
2.99690,1035
2.69721,1035
2.42749,1035
2.18474,1035
1.96627,1035
1.76964,1035
1.59268,1035
1.43341,1035
1.29007,1035
1.16106,1035
1.04495,1035
0.94046,1035
0.84641,1035
0.76177,1035
0.68559,1035
0.61704,1035
0.55533,1035
0.49980,1035
0.44982,1035
0.40484,1035
0.36435,1035
0.32792,1035
0.29513,1035
0.26561,1035
0.23905,1035
0.21515,1035
0.19363,1035
0.17427,1035
0.15684,1035
0.14116,1035
0.12704,1032
0.11434,1032
0.10290,1032
