n,m,alfa,rep,mlr_cmax,sa_cmax,mlr_tempo,sa_tempo,diff_pct_cmax,diff_pct_tempo,winner_qualidade,winner_tempo
100,10,0.90,10,2682,538,0.0,0.00011,-79.94,0.0,SA,MLR
100,10,0.95,1,2644,567,0.0,0.00024,-78.56,0.0,SA,MLR
100,10,0.95,2,2688,615,0.0,0.00025,-77.12,0.0,SA,MLR
100,10,0.95,3,678,572,0.0,0.00024,-15.63,0.0,SA,MLR
100,10,0.95,4,2441,582,0.0,0.00023,-76.16,0.0,SA,MLR
100,10,0.95,5,98,572,0.0,0.00024,483.67,0.0,MLR,MLR
100,10,0.95,6,1333,620,0.0,0.00025,-53.49,0.0,SA,MLR
100,10,0.95,7,2705,566,0.0,0.00023,-79.08,0.0,SA,MLR
100,10,0.95,8,1276,606,0.0,0.00023,-52.51,0.0,SA,MLR
100,10,0.95,9,2362,576,0.0,0.00023,-75.61,0.0,SA,MLR
100,10,0.95,10,2682,629,0.0,0.00023,-76.55,0.0,SA,MLR
100,10,0.99,1,2644,567,0.0,0.00114,-78.56,0.0,SA,MLR
100,10,0.99,2,2688,579,0.0,0.00111,-78.46,0.0,SA,MLR
100,10,0.99,3,678,543,0.0,0.00112,-19.91,0.0,SA,MLR
100,10,0.99,4,2441,591,0.0,0.00109,-75.79,0.0,SA,MLR
100,10,0.99,5,98,578,0.0,0.00104,489.8,0.0,MLR,MLR
100,10,0.99,6,1333,564,0.0,0.00102,-57.69,0.0,SA,MLR
100,10,0.99,7,2705,581,0.0,0.00103,-78.52,0.0,SA,MLR
100,10,0.99,8,1276,481,0.0,0.00103,-62.3,0.0,SA,MLR
100,10,0.99,9,2362,539,0.0,0.00104,-77.18,0.0,SA,MLR
100,10,0.99,10,2682,557,0.0,0.00105,-79.23,0.0,SA,MLR
89,20,0.80,1,2241,515,0.0,9e-05,-77.02,0.0,SA,MLR
89,20,0.80,2,2565,587,0.0,9e-05,-77.12,0.0,SA,MLR
89,20,0.80,3,551,453,0.0,8e-05,-17.79,0.0,SA,MLR
89,20,0.80,4,2219,357,0.0,8e-05,-83.91,0.0,SA,MLR
89,20,0.80,5,185,371,0.0,8e-05,100.54,0.0,MLR,MLR
89,20,0.80,6,2438,305,0.0,8e-05,-87.49,0.0,SA,MLR
89,20,0.80,7,1237,463,0.0,8e-05,-62.57,0.0,SA,MLR
89,20,0.80,8,1190,517,0.0,9e-05,-56.55,0.0,SA,MLR
89,20,0.80,9,1159,514,0.0,8e-05,-55.65,0.0,SA,MLR
89,20,0.80,10,2066,481,0.0,8e-05,-76.72,0.0,SA,MLR
89,20,0.85,1,2241,473,0.0,0.00011,-78.89,0.0,SA,MLR
89,20,0.85,2,2565,443,0.0,0.00011,-82.73,0.0,SA,MLR
89,20,0.85,3,551,380,0.0,0.00011,-31.03,0.0,SA,MLR
89,20,0.85,4,2219,294,0.0,0.00012,-86.75,0.0,SA,MLR
89,20,0.85,5,185,581,0.0,0.00011,214.05,0.0,MLR,MLR
89,20,0.85,6,2438,440,0.0,0.00011,-81.95,0.0,SA,MLR
89,20,0.85,7,1237,572,0.0,0.00011,-53.76,0.0,SA,MLR
89,20,0.85,8,1190,435,0.0,0.00012,-63.45,0.0,SA,MLR
89,20,0.85,9,1159,434,0.0,0.00011,-62.55,0.0,SA,MLR
89,20,0.85,10,2066,440,0.0,0.00011,-78.7,0.0,SA,MLR
89,20,0.90,1,2241,458,0.0,0.00016,-79.56,0.0,SA,MLR
89,20,0.90,2,2565,426,0.0,0.00017,-83.39,0.0,SA,MLR
89,20,0.90,3,551,425,0.0,0.00017,-22.87,0.0,SA,MLR
89,20,0.90,4,2219,401,0.0,0.00017,-81.93,0.0,SA,MLR
89,20,0.90,5,185,247,0.0,0.00017,33.51,0.0,MLR,MLR
89,20,0.90,6,2438,486,0.0,0.00017,-80.07,0.0,SA,MLR
89,20,0.90,7,1237,411,0.0,0.00017,-66.77,0.0,SA,MLR
89,20,0.90,8,1190,345,0.0,0.00018,-71.01,0.0,SA,MLR
89,20,0.90,9,1159,353,0.0,0.00017,-69.54,0.0,SA,MLR
89,20,0.90,10,2066,627,0.0,0.00017,-69.65,0.0,SA,MLR
89,20,0.95,1,2241,454,0.0,0.00036,-79.74,0.0,SA,MLR
89,20,0.95,2,2565,345,0.0,0.00036,-86.55,0.0,SA,MLR
89,20,0.95,3,551,339,0.0,0.00036,-38.48,0.0,SA,MLR
89,20,0.95,4,2219,330,0.0,0.00036,-85.13,0.0,SA,MLR
89,20,0.95,5,185,275,0.0,0.00036,48.65,0.0,MLR,MLR
89,20,0.95,6,2438,478,0.0,0.00036,-80.39,0.0,SA,MLR
89,20,0.95,7,1237,294,0.0,0.00036,-76.23,0.0,SA,MLR
89,20,0.95,8,1190,273,0.0,0.00036,-77.06,0.0,SA,MLR
89,20,0.95,9,1159,286,0.0,0.00036,-75.32,0.0,SA,MLR
89,20,0.95,10,2066,462,0.0,0.00035,-77.64,0.0,SA,MLR
89,20,0.99,1,2241,399,0.0,0.0017,-82.2,0.0,SA,MLR
89,20,0.99,2,2565,386,0.0,0.0017,-84.95,0.0,SA,MLR
89,20,0.99,3,551,404,0.0,0.00172,-26.68,0.0,SA,MLR
89,20,0.99,4,2219,325,0.0,0.00168,-85.35,0.0,SA,MLR
89,20,0.99,5,185,412,0.0,0.0018,122.7,0.0,MLR,MLR
89,20,0.99,6,2438,297,0.0,0.00173,-87.82,0.0,SA,MLR
89,20,0.99,7,1237,313,0.0,0.00173,-74.7,0.0,SA,MLR
89,20,0.99,8,1190,282,0.0,0.0017,-76.3,0.0,SA,MLR
89,20,0.99,9,1159,452,0.0,0.00171,-61.0,0.0,SA,MLR
89,20,0.99,10,2066,298,0.0,0.00159,-85.58,0.0,SA,MLR
400,20,0.80,1,10282,1043,0.0,0.0001,-89.86,0.0,SA,MLR
400,20,0.80,2,10513,1191,0.0,9e-05,-88.67,0.0,SA,MLR
400,20,0.80,3,2596,1033,0.0,9e-05,-60.21,0.0,SA,MLR
400,20,0.80,4,10465,1185,0.0,9e-05,-88.68,0.0,SA,MLR
400,20,0.80,5,9942,1132,0.0,0.00011,-88.61,0.0,SA,MLR
400,20,0.80,6,10513,1142,0.0,0.0001,-89.14,0.0,SA,MLR
400,20,0.80,7,1352,1122,0.0,0.0001,-17.01,0.0,SA,MLR
400,20,0.80,8,10309,1124,0.0,9e-05,-89.1,0.0,SA,MLR
400,20,0.80,9,10614,1140,0.0,9e-05,-89.26,0.0,SA,MLR
400,20,0.80,10,4761,1241,0.0,0.00012,-73.93,0.0,SA,MLR
400,20,0.85,1,10282,1150,0.0,0.00014,-88.82,0.0,SA,MLR
400,20,0.85,2,10513,1105,0.0,0.00013,-89.49,0.0,SA,MLR
400,20,0.85,3,2596,1102,0.0,0.00014,-57.55,0.0,SA,MLR
400,20,0.85,4,10465,1167,0.0,0.00014,-88.85,0.0,SA,MLR
400,20,0.85,5,9942,1177,0.0,0.00014,-88.16,0.0,SA,MLR
400,20,0.85,6,10513,1138,0.0,0.00014,-89.18,0.0,SA,MLR
400,20,0.85,7,1352,1068,0.0,0.00014,-21.01,0.0,SA,MLR
400,20,0.85,8,10309,1110,0.0,0.00014,-89.23,0.0,SA,MLR
400,20,0.85,9,10614,1084,0.0,0.00014,-89.79,0.0,SA,MLR
400,20,0.85,10,4761,1125,0.0,0.00014,-76.37,0.0,SA,MLR
400,20,0.90,1,10282,1219,0.0,0.00021,-88.14,0.0,SA,MLR
400,20,0.90,2,10513,1132,0.0,0.00019,-89.23,0.0,SA,MLR
400,20,0.90,3,2596,1136,0.0,0.00019,-56.24,0.0,SA,MLR
400,20,0.90,4,10465,1106,0.0,0.00019,-89.43,0.0,SA,MLR
400,20,0.90,5,9942,1141,0.0,0.00021,-88.52,0.0,SA,MLR
400,20,0.90,6,10513,1189,0.0,0.00021,-88.69,0.0,SA,MLR
