heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
temperasimulada,100,10,3,0.00011,52,528,0.80
temperasimulada,100,10,4,0.00012,52,553,0.80
temperasimulada,100,10,5,0.00010,52,531,0.80
temperasimulada,100,10,6,0.00009,52,543,0.80
temperasimulada,100,10,7,0.00010,52,533,0.80
temperasimulada,100,10,8,0.00010,52,590,0.80
temperasimulada,100,10,9,0.00009,52,537,0.80
temperasimulada,100,10,10,0.00009,52,521,0.80
temperasimulada,100,10,1,0.00012,71,533,0.85
temperasimulada,100,10,2,0.00013,71,617,0.85
temperasimulada,100,10,3,0.00013,71,564,0.85
temperasimulada,100,10,4,0.00012,71,531,0.85
temperasimulada,100,10,5,0.00015,71,554,0.85
temperasimulada,100,10,6,0.00012,71,504,0.85
temperasimulada,100,10,7,0.00012,71,567,0.85
temperasimulada,100,10,8,0.00013,71,544,0.85
temperasimulada,100,10,9,0.00014,71,501,0.85
temperasimulada,100,10,10,0.00013,71,529,0.85
temperasimulada,100,10,1,0.00018,110,537,0.90
temperasimulada,100,10,2,0.00016,110,610,0.90
temperasimulada,100,10,3,0.00017,110,520,0.90
temperasimulada,100,10,4,0.00017,110,525,0.90
temperasimulada,100,10,5,0.00017,110,531,0.90
temperasimulada,100,10,6,0.00017,110,531,0.90
temperasimulada,100,10,7,0.00018,110,444,0.90
temperasimulada,100,10,8,0.00017,110,535,0.90
temperasimulada,100,10,9,0.00017,110,531,0.90
temperasimulada,100,10,10,0.00017,110,578,0.90
temperasimulada,100,10,1,0.00028,225,550,0.95
temperasimulada,100,10,2,0.00029,225,538,0.95
temperasimulada,100,10,3,0.00030,225,551,0.95
temperasimulada,100,10,4,0.00029,225,554,0.95
temperasimulada,100,10,5,0.00028,225,552,0.95
temperasimulada,100,10,6,0.00030,225,453,0.95
temperasimulada,100,10,7,0.00029,225,525,0.95
temperasimulada,100,10,8,0.00030,225,554,0.95
temperasimulada,100,10,9,0.00030,225,467,0.95
