iteration,makespan
1,20287
2,20262
3,20257
4,20169
5,20126
6,20026
7,19979
8,19965
9,19906
10,19812
11,19736
12,19702
13,19641
14,19632
15,19543
16,19495
17,19400
18,19360
19,19264
20,19203
21,19131
22,19092
23,19034
24,18955
25,18917
26,18891
27,18871
28,18805
29,18766
30,18666
31,18619
32,18592
33,18509
34,18456
35,18366
36,18288
37,18246
38,18244
39,18206
40,18180
41,18146
42,18078
43,17985
44,17924
45,17861
46,17811
47,17758
48,17724
49,17656
50,17598
51,17594
52,17552
53,17502
54,17470
55,17410
56,17389
57,17353
58,17284
59,17216
60,17203
61,17186
62,17092
63,17006
64,16952
65,16940
66,16852
67,16812
68,16796
69,16727
70,16708
71,16674
72,16653
73,16599
74,16555
75,16546
76,16517
77,16486
78,16391
79,16360
80,16285
81,16228
82,16155
83,16072
84,15994
85,15949
86,15910
87,15856
88,15832
89,15831
90,15757
91,15729
92,15717
93,15686
94,15640
95,15625
96,15528
97,15508
98,15438
99,15355
100,15258
101,15245
102,15154
103,15093
104,15067
105,15005
106,14990
107,14891
108,14887
109,14800
110,14793
111,14700
112,14620
113,14591
114,14499
115,14474
116,14405
117,14318
118,14290
119,14245
120,14155
121,14111
122,14081
123,13983
124,13948
125,13921
126,13828
127,13814
128,13742
129,13684
130,13643
131,13558
132,13470
133,13392
134,13345
135,13318
136,13312
137,13283
138,13242
139,13230
140,13175
141,13096
142,13046
143,13042
144,13034
145,12980
146,12883
147,12810
148,12712
149,12679
150,12663
151,12622
152,12564
153,12512
154,12507
155,12486
156,12430
157,12394
158,12372
159,12284
160,12214
161,12150
162,12111
163,12101
164,12029
165,12010
166,11975
167,11932
168,11910
169,11899
170,11836
171,11736
172,11665
173,11620
174,11612
175,11528
176,11472
177,11459
178,11401
179,11343
180,11268
181,11255
182,11219
183,11181
184,11085
185,11067
186,11019
187,10950
188,10883
189,10877
190,10779
191,10770
192,10677
193,10656
194,10632
195,10554
196,10509
197,10485
198,10404
199,10333
200,10244
201,10177
202,10177
