temperatura,makespan
10000.00000,1603
9900.00000,269
9801.00000,325
9702.99023,336
9605.95996,311
9509.90039,327
9414.80176,337
9320.65430,340
9227.44824,388
9135.17383,447
9043.82227,495
8953.38379,383
8863.84961,532
8775.21094,477
8687.45898,424
8600.58496,345
8514.57910,346
8429.43359,328
8345.13965,293
8261.68848,324
8179.07178,323
8097.28125,317
8016.30859,367
7936.14551,368
7856.78418,368
7778.21631,341
7700.43408,370
7623.42969,339
7547.19531,327
7471.72363,321
7397.00635,308
7323.03613,274
7249.80566,290
7177.30762,272
7105.53467,255
7034.47949,251
6964.13477,233
6894.49365,270
6825.54883,218
6757.29346,233
6689.72070,218
6622.82373,214
6556.59570,221
6491.02979,235
6426.11963,221
6361.85840,258
6298.23975,245
6235.25732,277
6172.90479,295
6111.17578,247
6050.06396,244
5989.56348,292
5929.66797,344
5870.37158,270
5811.66797,249
5753.55127,313
5696.01562,307
5639.05566,287
5582.66504,287
5526.83838,263
5471.56982,264
5416.85400,300
5362.68555,322
5309.05859,317
5255.96826,310
5203.40869,279
5151.37451,256
5099.86084,255
5048.86230,337
4998.37354,335
4948.38965,257
4898.90576,257
4849.91699,310
4801.41797,400
4753.40381,305
4705.86963,331
4658.81104,324
4612.22314,393
4566.10107,494
4520.43994,366
4475.23535,334
4430.48291,442
4386.17822,469
4342.31641,407
4298.89307,407
4255.90430,399
4213.34521,301
4171.21191,302
4129.50000,374
4088.20508,288
4047.32300,325
4006.84985,395
3966.78149,391
3927.11377,405
3887.84277,342
3848.96436,312
3810.47485,393
3772.37012,463
3734.64648,439
3697.30005,275
3660.32715,268
3623.72388,271
3587.48657,287
3551.61182,407
3516.09570,341
3480.93481,327
3446.12549,351
3411.66431,310
3377.54761,283
3343.77222,328
3310.33447,449
3277.23120,378
3244.45898,378
3212.01440,420
3179.89429,409
3148.09546,387
3116.61450,358
3085.44849,337
3054.59399,377
3024.04810,373
2993.80762,385
2963.86963,389
2934.23096,419
2904.88867,328
2875.83984,409
2847.08154,374
2818.61084,341
2790.42480,387
2762.52051,294
2734.89526,280
2707.54639,260
2680.47095,271
2653.66626,297
2627.12964,300
2600.85840,297
2574.84985,261
2549.10132,291
2523.61035,311
2498.37427,273
2473.39062,274
2448.65674,327
2424.17017,297
2399.92847,304
2375.92920,280
2352.16992,276
2328.64819,259
2305.36182,230
2282.30811,285
2259.48511,299
2236.89038,290
2214.52148,304
2192.37622,302
2170.45239,330
2148.74780,307
2127.26025,401
2105.98779,303
2084.92798,320
2064.07861,332
2043.43787,363
2023.00354,393
2002.77356,338
1982.74585,350
1962.91846,348
1943.28931,391
1923.85645,509
1904.61792,336
1885.57178,366
1866.71606,413
1848.04895,485
1829.56848,276
1811.27283,380
1793.16016,406
1775.22852,425
1757.47620,345
1739.90149,386
1722.50244,363
1705.27747,415
1688.22473,381
1671.34253,262
1654.62915,291
1638.08289,322
1621.70203,360
1605.48499,296
1589.43018,438
1573.53589,373
1557.80054,344
1542.22253,383
1526.80029,390
1511.53235,383
1496.41699,476
1481.45288,403
