temperatura,makespan
10000.00000,4784
9900.00000,874
9801.00000,956
9702.99023,1043
9605.95996,894
9509.90039,866
9414.80176,806
9320.65430,919
9227.44824,1000
9135.17383,947
9043.82227,894
8953.38379,828
8863.84961,888
8775.21094,985
8687.45898,927
8600.58496,890
8514.57910,840
8429.43359,916
8345.13965,1075
8261.68848,783
8179.07178,723
8097.28125,725
8016.30859,708
7936.14551,756
7856.78418,789
7778.21631,672
7700.43408,635
7623.42969,732
7547.19531,706
7471.72363,776
7397.00635,760
7323.03613,711
7249.80566,597
7177.30762,657
7105.53467,665
7034.47949,723
6964.13477,655
6894.49365,643
6825.54883,565
6757.29346,540
6689.72070,533
6622.82373,529
6556.59570,535
6491.02979,519
6426.11963,578
6361.85840,567
6298.23975,600
6235.25732,580
6172.90479,672
6111.17578,590
6050.06396,582
5989.56348,691
5929.66797,588
5870.37158,634
5811.66797,615
5753.55127,627
5696.01562,673
5639.05566,633
5582.66504,609
5526.83838,665
5471.56982,561
5416.85400,536
5362.68555,520
5309.05859,519
5255.96826,518
5203.40869,556
5151.37451,530
5099.86084,530
5048.86230,530
4998.37354,528
4948.38965,518
4898.90576,530
4849.91699,528
4801.41797,515
4753.40381,511
4705.86963,531
4658.81104,589
4612.22314,569
4566.10107,546
4520.43994,544
4475.23535,546
4430.48291,577
4386.17822,535
4342.31641,530
4298.89307,575
4255.90430,535
4213.34521,518
4171.21191,530
4129.50000,528
4088.20508,582
4047.32300,544
4006.84985,535
3966.78149,524
3927.11377,582
3887.84277,591
3848.96436,588
3810.47485,524
3772.37012,511
3734.64648,572
3697.30005,546
3660.32715,511
3623.72388,572
3587.48657,531
3551.61182,511
3516.09570,544
3480.93481,546
3446.12549,572
3411.66431,511
3377.54761,594
3343.77222,568
3310.33447,569
3277.23120,571
3244.45898,553
3212.01440,558
3179.89429,553
3148.09546,609
3116.61450,553
3085.44849,611
3054.59399,544
3024.04810,531
2993.80762,605
2963.86963,551
2934.23096,554
2904.88867,525
2875.83984,544
2847.08154,603
2818.61084,554
2790.42480,538
2762.52051,556
2734.89526,551
2707.54639,571
2680.47095,520
2653.66626,583
2627.12964,520
2600.85840,578
2574.84985,596
2549.10132,571
2523.61035,605
2498.37427,660
2473.39062,613
2448.65674,572
2424.17017,559
2399.92847,545
2375.92920,572
2352.16992,518
2328.64819,583
2305.36182,518
2282.30811,583
2259.48511,569
2236.89038,578
2214.52148,607
2192.37622,641
2170.45239,631
2148.74780,629
2127.26025,583
2105.98779,573
2084.92798,552
2064.07861,551
2043.43787,545
2023.00354,603
2002.77356,620
1982.74585,572
1962.91846,603
1943.28931,577
1923.85645,591
1904.61792,568
1885.57178,559
1866.71606,594
1848.04895,556
1829.56848,562
1811.27283,554
1793.16016,573
1775.22852,594
1757.47620,573
1739.90149,556
1722.50244,532
1705.27747,605
1688.22473,637
1671.34253,665
1654.62915,633
1638.08289,630
1621.70203,629
1605.48499,578
1589.43018,578
1573.53589,561
1557.80054,573
1542.22253,538
1526.80029,548
1511.53235,529
1496.41699,521
1481.45288,548
1466.63831,539
1451.97192,543
1437.45227,519
1423.07776,543
1408.84705,538
1394.75854,521
1380.81091,538
1367.00281,514
1353.33276,548
1339.79944,529
1326.40149,538
1313.13745,543
1300.00610,525
1287.00610,514
1274.13611,521
1261.39478,543
1248.78088,539
1236.29309,514
1223.93018,538
1211.69092,521
1199.57397,525
1187.57825,566
1175.70251,548
1163.94556,538
1152.30615,519
1140.78308,543
1129.37524,521
1118.08154,529
1106.90076,543
1095.83179,519
1084.87354,576
1074.02478,538
1063.28455,548
1052.65173,543
1042.12524,591
1031.70398,539
1021.38696,514
1011.17310,529
1001.06140,519
991.05078,521
981.14026,543
971.32886,519
961.61560,521
951.99945,538
942.47949,548
933.05469,525
923.72412,521
914.48688,529
905.34204,514
896.28864,521
887.32574,514
878.45251,529
869.66797,543
860.97131,566
852.36163,539
843.83801,529
835.39966,521
827.04565,538
818.77521,519
810.58746,566
802.48157,521
794.45679,529
786.51221,548
778.64709,519
770.86066,538
