iteration,makespan
1,5213
2,5135
3,5095
4,5011
5,4915
6,4862
7,4838
8,4801
9,4770
10,4680
11,4668
12,4659
13,4587
14,4493
15,4408
16,4328
17,4282
18,4184
19,4127
20,4112
21,4099
22,4026
23,3947
24,3942
25,3846
26,3776
27,3750
28,3673
29,3575
30,3533
31,3464
32,3450
33,3367
34,3331
35,3270
36,3262
37,3239
38,3157
39,3132
40,3110
41,3091
42,3024
43,2951
44,2858
45,2809
46,2721
47,2661
48,2589
49,2501
50,2452
51,2359
52,2286
53,2219
54,2200
55,2178
56,2153
57,2071
58,2048
59,2040
60,1979
61,1943
62,1860
63,1846
64,1777
65,1735
66,1637
67,1560
68,1534
69,1464
70,1368
71,1363
72,1363
