temperatura,makespan
10000.00000,19973
9000.00000,1912
8100.00000,1541
7290.00000,1632
6561.00000,1457
5904.89990,1504
5314.40967,1439
4782.96875,1500
4304.67188,1519
3874.20459,1619
3486.78394,1552
3138.10547,1424
2824.29492,1420
2541.86548,1350
2287.67896,1333
2058.91089,1362
1853.01978,1361
1667.71777,1356
1500.94592,1338
1350.85132,1392
1215.76611,1303
1094.18945,1309
984.77051,1265
886.29346,1256
797.66406,1209
717.89764,1220
646.10785,1212
581.49707,1168
523.34735,1153
471.01260,1159
423.91135,1151
381.52020,1195
343.36816,1147
309.03134,1146
278.12820,1204
250.31538,1141
225.28384,1199
202.75545,1151
182.47990,1140
164.23190,1135
147.80872,1191
133.02785,1216
119.72506,1134
107.75255,1140
96.97729,1094
87.27956,1125
78.55160,1171
70.69643,1114
63.62679,1144
57.26411,1094
51.53770,1084
46.38393,1082
41.74553,1087
37.57098,1129
33.81388,1104
30.43249,1069
27.38924,1073
24.65032,1068
22.18529,1147
19.96676,1086
17.97008,1073
16.17307,1063
14.55577,1133
13.10019,1092
11.79017,1101
10.61115,1087
9.55004,1104
8.59503,1158
7.73553,1115
6.96198,1142
6.26578,1174
5.63920,1101
5.07528,1057
4.56775,1052
4.11098,1073
3.69988,1130
3.32989,1040
2.99690,1068
2.69721,1076
2.42749,1087
2.18474,1058
1.96627,1116
1.76964,1072
1.59268,1068
1.43341,1078
1.29007,1055
1.16106,1053
1.04495,1096
0.94046,1040
0.84641,1111
0.76177,1103
0.68559,1059
0.61704,1033
0.55533,1031
0.49980,1044
0.44982,1043
0.40484,1035
0.36435,1073
0.32792,1067
0.29513,1052
0.26561,1059
0.23905,1045
0.21515,1031
0.19363,1073
0.17427,1031
0.15684,1065
0.14116,1054
0.12704,1029
0.11434,1083
0.10290,1095
