iteration,makespan
0,20578
1,20578
2,20578
3,20578
4,20578
5,20578
6,20578
7,20578
8,20578
9,20578
10,20578
11,20578
12,20578
13,20578
14,20578
15,20578
16,20578
17,20578
18,20578
19,20578
20,20578
21,20578
22,20578
23,20578
24,20578
25,20578
26,20578
27,20578
28,20578
29,20578
30,20578
31,20578
32,20578
33,20578
34,20578
35,20578
36,20578
37,20578
38,20578
39,20578
40,20578
41,20578
42,20578
43,20578
44,20578
45,20578
46,20578
47,20578
48,20578
49,20578
50,20578
51,20578
52,20578
53,20578
54,20578
55,20578
56,20578
57,20578
58,20578
59,20578
60,20578
61,20578
62,20578
63,20578
64,20578
65,20578
66,20578
67,20578
68,20578
69,20578
70,20578
71,20578
72,20578
73,20578
74,20578
75,20578
76,20578
77,20578
78,20578
79,20578
80,20578
81,20578
82,20578
83,20578
84,20578
85,20578
86,20578
87,20578
88,20578
89,20578
90,20578
91,20578
92,20578
93,20578
94,20578
95,20578
96,20578
97,20578
98,20578
99,20578
100,20578
101,20578
102,20578
103,20578
104,20578
105,20578
106,20578
107,20578
108,20578
109,20578
110,20578
111,20578
112,20578
113,20578
114,20578
115,20578
116,20578
117,20578
118,20578
119,20578
120,20578
121,20578
122,20578
123,20578
124,20578
125,20578
126,20578
127,20578
128,20578
129,20578
130,20578
131,20578
132,20578
133,20578
134,20578
135,20578
136,20578
137,20578
138,20578
139,20578
140,20578
141,20578
142,20578
143,20578
144,20578
145,20578
146,20578
147,20578
148,20578
149,20578
150,20578
151,20578
152,20578
153,20578
154,20578
155,20578
156,20578
157,20578
158,20578
159,20578
160,20578
161,20578
162,20578
163,20578
164,20578
165,20578
166,20578
167,20578
168,20578
169,20578
170,20578
171,20578
172,20578
173,20578
174,20578
175,20578
176,20578
177,20578
178,20578
179,20578
180,20578
181,20578
182,20578
183,20578
184,20578
185,20578
186,20578
187,20578
188,20578
189,20578
190,20578
191,20578
192,20578
193,20578
194,20578
195,20578
196,20578
197,20578
198,20578
199,20578
200,20578
201,20578
202,20578
203,20578
