iteration,makespan
1,19750
2,19658
3,19602
4,19597
5,19532
6,19526
7,19483
8,19446
9,19418
10,19355
11,19348
12,19337
13,19250
14,19152
15,19126
16,19090
17,19067
18,19060
19,19048
20,18985
21,18921
22,18855
23,18781
24,18711
25,18622
26,18605
27,18576
28,18486
29,18476
30,18426
31,18343
32,18282
33,18206
34,18107
35,18045
36,17968
37,17942
38,17913
39,17882
40,17864
41,17839
42,17830
43,17797
44,17697
45,17673
46,17605
47,17580
48,17519
49,17475
50,17428
51,17391
52,17348
53,17322
54,17316
55,17275
56,17227
57,17219
58,17191
59,17136
60,17039
61,17016
62,16931
63,16831
64,16731
65,16710
66,16628
67,16582
68,16573
69,16520
70,16497
71,16463
72,16390
73,16356
74,16290
75,16214
76,16202
77,16177
78,16098
79,16074
80,16073
81,16003
82,15923
83,15872
84,15793
85,15695
86,15681
87,15640
88,15580
89,15527
90,15456
91,15410
92,15386
93,15321
94,15303
95,15301
96,15240
97,15162
98,15138
99,15062
100,15034
101,14996
102,14928
103,14830
104,14760
105,14670
106,14624
107,14535
108,14511
109,14501
110,14456
111,14357
112,14317
113,14286
114,14201
115,14163
116,14124
117,14114
118,14095
119,14033
120,14003
121,13996
122,13967
123,13896
124,13844
125,13803
126,13724
127,13638
128,13539
129,13452
130,13396
131,13365
132,13349
133,13322
134,13270
135,13188
136,13121
137,13036
138,12991
139,12917
140,12898
141,12835
142,12772
143,12770
144,12730
145,12654
146,12586
147,12508
148,12427
149,12414
150,12332
151,12324
152,12269
153,12180
154,12087
155,12072
156,11981
157,11889
158,11858
159,11790
160,11770
161,11692
162,11664
163,11581
164,11520
165,11504
166,11466
167,11424
168,11357
169,11326
170,11314
171,11249
172,11178
173,11091
174,11056
175,10993
176,10949
177,10946
178,10902
179,10880
180,10821
181,10727
182,10711
183,10622
184,10575
185,10574
186,10541
187,10518
188,10497
189,10496
190,10455
191,10369
192,10303
193,10242
194,10197
195,10177
196,10128
197,10120
198,10089
199,10038
200,10030
201,9957
202,9889
203,9810
204,9737
205,9729
206,9678
207,9647
208,9639
209,9590
210,9570
211,9525
212,9464
213,9398
214,9312
215,9271
216,9270
217,9249
218,9226
219,9193
220,9192
221,9145
222,9056
223,9040
224,8946
225,8887
226,8865
227,8821
228,8818
229,8774
230,8711
231,8676
232,8589
233,8518
234,8453
235,8441
236,8410
237,8343
238,8301
239,8263
240,8247
241,8186
242,8103
243,8075
244,7997
245,7977
246,7909
247,7878
248,7786
249,7695
250,7680
251,7587
252,7498
253,7443
254,7435
255,7353
256,7340
257,7259
258,7181
259,7113
260,7037
261,6997
262,6995
263,6932
264,6869
265,6850
266,6776
267,6731
268,6646
269,6579
270,6497
271,6445
272,6418
273,6402
274,6371
275,6315
276,6228
277,6129
278,6043
279,5964
280,5923
281,5871
282,5800
283,5771
284,5764
285,5734
286,5672
287,5653
288,5643
289,5604
290,5566
291,5481
292,5450
293,5410
294,5311
295,5266
296,5256
297,5232
298,5143
299,5097
300,5007
301,4952
302,4882
303,4792
304,4746
305,4657
306,4633
307,4623
308,4578
309,4479
310,4439
311,4408
312,4323
313,4285
314,4246
315,4236
316,4217
317,4155
318,4125
319,4118
320,4089
321,4018
322,3966
323,3925
324,3846
325,3760
326,3661
327,3574
328,3518
329,3487
330,3471
331,3444
332,3392
333,3310
334,3243
335,3158
336,3113
337,3039
338,3020
339,2957
340,2894
341,2892
342,2852
343,2776
344,2708
345,2630
346,2549
347,2536
348,2498
349,2416
350,2403
351,2322
352,2244
353,2176
354,2100
355,2060
356,2058
357,1995
358,1932
359,1913
360,1839
361,1794
362,1709
363,1642
364,1560
365,1508
366,1481
367,1465
368,1434
369,1378
370,1291
371,1291
