temperatura,makespan
10000.00000,128129
9500.00000,3762
9025.00000,3642
8573.75000,3439
8145.06250,3398
7737.80908,3285
7350.91846,3241
6983.37256,3251
6634.20361,3283
6302.49316,3256
5987.36865,3209
5688.00000,3331
5403.60010,3132
5133.41992,3121
4876.74902,3119
4632.91162,3211
4401.26611,3101
4181.20264,3125
3972.14233,3199
3773.53516,3037
3584.85840,3111
3405.61548,3089
3235.33472,2990
3073.56787,2982
2919.88940,2979
2773.89502,3120
2635.20020,2986
2503.44019,2984
2378.26807,2982
2259.35474,2952
2146.38696,2930
2039.06763,2923
1937.11426,2975
1840.25854,2950
1748.24561,2943
1660.83325,2936
1577.79163,2870
1498.90198,2867
1423.95691,2900
1352.75903,2867
1285.12109,2845
1220.86499,2845
1159.82178,2838
1101.83069,2898
1046.73914,2834
994.40216,2869
944.68207,2863
897.44794,2882
852.57550,2861
809.94672,2859
769.44934,2901
730.97687,2920
694.42804,2889
659.70660,2936
626.72125,2919
595.38519,2886
565.61591,2950
537.33508,2832
510.46832,2833
484.94492,2822
460.69766,2821
437.66278,2811
415.77963,2797
394.99063,2789
375.24109,2787
356.47903,2775
338.65509,2769
321.72232,2768
305.63620,2765
290.35440,2758
275.83667,2756
262.04483,2741
248.94258,2741
236.49545,2771
224.67068,2784
213.43715,2737
202.76529,2739
192.62703,2786
182.99568,2737
173.84590,2752
165.15361,2742
156.89594,2755
149.05113,2726
141.59857,2723
134.51865,2742
127.79271,2716
121.40308,2736
115.33292,2718
109.56628,2715
104.08796,2795
98.88356,2778
93.93938,2728
89.24242,2774
84.78030,2724
80.54128,2799
76.51422,2717
72.68851,2717
69.05408,2712
65.60137,2710
62.32130,2782
59.20523,2739
56.24497,2717
53.43272,2729
50.76109,2747
48.22303,2759
45.81188,2762
43.52128,2769
41.34522,2746
39.27796,2736
37.31406,2716
35.44836,2835
33.67594,2751
31.99214,2715
30.39253,2752
28.87291,2755
27.42926,2739
26.05780,2721
24.75491,2772
23.51716,2744
22.34130,2718
21.22424,2730
20.16302,2735
19.15487,2782
18.19713,2766
17.28727,2747
16.42291,2780
15.60176,2809
14.82167,2763
14.08059,2770
13.37656,2829
12.70773,2803
12.07234,2772
11.46873,2793
10.89529,2787
10.35052,2812
9.83300,2789
9.34135,2785
8.87428,2781
8.43057,2799
8.00904,2773
7.60859,2770
7.22816,2728
6.86675,2767
6.52341,2743
6.19724,2806
5.88738,2793
5.59301,2769
5.31336,2724
5.04769,2720
4.79531,2713
4.55554,2711
4.32776,2707
4.11138,2710
3.90581,2703
3.71052,2776
3.52499,2771
3.34874,2790
3.18130,2722
3.02224,2703
2.87113,2689
2.72757,2686
2.59119,2742
2.46163,2758
2.33855,2698
2.22162,2716
2.11054,2696
2.00501,2698
1.90476,2693
1.80953,2684
1.71905,2676
1.63310,2674
1.55144,2761
1.47387,2813
1.40018,2751
1.33017,2752
1.26366,2745
1.20048,2747
1.14045,2740
1.08343,2738
1.02926,2728
0.97780,2764
0.92891,2783
0.88246,2757
0.83834,2751
0.79642,2713
0.75660,2711
0.71877,2700
0.68283,2693
0.64869,2702
0.61625,2689
0.58544,2817
0.55617,2725
0.52836,2745
0.50194,2685
0.47685,2683
0.45300,2671
0.43035,2724
0.40884,2759
0.38839,2729
0.36897,2769
0.35053,2710
0.33300,2744
0.31635,2698
0.30053,2676
0.28551,2720
0.27123,2697
0.25767,2684
0.24479,2700
0.23255,2752
0.22092,2690
0.20987,2748
0.19938,2688
0.18941,2752
0.17994,2702
0.17094,2684
0.16240,2696
0.15428,2722
0.14656,2715
0.13923,2744
0.13227,2689
0.12566,2683
0.11938,2698
0.11341,2736
0.10774,2706
0.10235,2680
