iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,8500.0000,681,681,1,0
2,7225.0000,672,672,1,0
3,6141.2500,659,659,1,0
4,5220.0625,653,653,1,0
5,4437.0532,642,642,1,0
6,3771.4954,604,604,1,0
7,3205.7712,584,584,1,0
8,2724.9055,594,584,1,1
9,2316.1697,577,577,1,0
10,1968.7443,570,570,1,0
11,1673.4326,566,566,1,0
12,1422.4177,581,566,1,1
13,1209.0551,556,556,1,0
14,1027.6968,621,556,1,1
15,873.5423,625,556,1,1
16,742.5110,620,556,1,0
17,631.1343,608,556,1,0
18,536.4642,667,556,1,1
19,455.9946,651,556,1,0
20,387.5954,627,556,1,0
21,329.4561,623,556,1,0
22,280.0377,623,556,1,0
23,238.0320,604,556,1,0
24,202.3272,594,556,1,0
25,171.9782,594,556,1,0
26,146.1814,583,556,1,0
27,124.2542,586,556,1,1
28,105.6161,579,556,1,0
29,89.7737,662,556,1,1
30,76.3076,575,556,1,0
31,64.8615,597,556,1,1
32,55.1323,568,556,1,0
33,46.8624,562,556,1,0
34,39.8331,554,554,1,0
35,33.8581,553,553,1,0
36,28.7794,601,553,1,1
37,24.4625,576,553,1,0
38,20.7931,570,553,1,0
39,17.6741,611,553,1,1
40,15.0230,548,548,1,0
41,12.7696,607,548,1,1
42,10.8541,581,548,1,0
43,9.2260,570,548,1,0
44,7.8421,551,548,1,0
45,6.6658,587,548,1,1
46,5.6659,597,548,1,1
47,4.8160,535,535,1,0
48,4.0936,585,535,1,1
49,3.4796,533,533,1,0
50,2.9576,531,531,1,0
51,2.5140,566,531,1,1
52,2.1369,527,527,1,0
53,1.8164,554,527,1,1
54,1.5439,524,524,1,0
55,1.3123,583,524,1,1
56,1.1155,518,518,1,0
57,0.9482,526,518,1,1
58,0.8059,552,518,1,1
59,0.6850,570,518,1,1
60,0.5823,518,518,1,0
61,0.4949,517,517,1,0
62,0.4207,562,517,1,1
63,0.3576,515,515,1,0
64,0.3040,512,512,1,0
65,0.2584,546,512,1,1
66,0.2196,582,512,1,1
67,0.1867,510,510,1,0
68,0.1587,496,496,1,0
69,0.1349,492,492,1,0
70,0.1146,492,492,1,0
71,0.0974,489,489,1,0
