iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,8000.0000,492,492,1,0
2,6400.0000,598,492,1,1
3,5120.0000,583,492,1,0
4,4096.0000,599,492,1,1
5,3276.8000,587,492,1,0
6,2621.4402,536,492,1,0
7,2097.1521,479,479,1,0
8,1677.7217,541,479,1,1
9,1342.1774,556,479,1,1
10,1073.7419,708,479,1,1
11,858.9936,523,479,1,0
12,687.1949,577,479,1,1
13,549.7559,519,479,1,0
14,439.8047,459,459,1,0
15,351.8438,450,450,1,0
16,281.4751,461,450,1,1
17,225.1801,508,450,1,1
18,180.1440,548,450,1,1
19,144.1152,554,450,1,1
20,115.2922,530,450,1,0
21,92.2338,600,450,1,1
22,73.7870,549,450,1,0
23,59.0296,502,450,1,0
24,47.2237,511,450,1,1
25,37.7790,506,450,1,0
26,30.2232,457,450,1,0
27,24.1785,533,450,1,1
28,19.3428,468,450,1,0
29,15.4743,517,450,1,1
30,12.3794,494,450,1,0
31,9.9035,534,450,1,1
32,7.9228,520,450,1,0
33,6.3383,625,450,1,1
34,5.0706,552,450,1,0
35,4.0565,556,450,1,1
36,3.2452,535,450,1,0
37,2.5962,600,450,1,1
38,2.0769,537,450,1,0
39,1.6615,528,450,1,0
40,1.3292,540,450,1,1
41,1.0634,503,450,1,0
42,0.8507,483,450,1,0
43,0.6806,483,450,1,0
44,0.5445,540,450,1,1
45,0.4356,483,450,1,0
46,0.3484,528,450,1,1
47,0.2788,579,450,1,1
48,0.2230,491,450,1,0
49,0.1784,499,450,1,1
50,0.1427,489,450,1,0
51,0.1142,448,448,1,0
52,0.0913,453,448,1,1
