temperatura,makespan
10000.00000,126002
9000.00000,3394
8100.00000,3441
7290.00000,3395
6561.00000,3309
5904.89990,3212
5314.40967,3052
4782.96875,3126
4304.67188,3050
3874.20459,3105
3486.78394,3122
3138.10547,3150
2824.29492,3131
2541.86548,3207
2287.67896,3061
2058.91089,3116
1853.01978,3081
1667.71777,3061
1500.94592,3055
1350.85132,3095
1215.76611,3021
1094.18945,3023
984.77051,3012
886.29346,3048
797.66406,3090
717.89764,2997
646.10785,3011
581.49707,2991
523.34735,2972
471.01260,3009
423.91135,3029
381.52020,2910
343.36816,2857
309.03134,2845
278.12820,2839
250.31538,2823
225.28384,2855
202.75545,2820
182.47990,2805
164.23190,2827
147.80872,2827
133.02785,2799
119.72506,2798
107.75255,2789
96.97729,2813
87.27956,2763
78.55160,2763
70.69643,2760
63.62679,2769
57.26411,2760
51.53770,2760
46.38393,2750
41.74553,2748
37.57098,2727
33.81388,2727
30.43249,2727
27.38924,2726
24.65032,2721
22.18529,2721
19.96676,2717
17.97008,2716
16.17307,2716
14.55577,2708
13.10019,2704
11.79017,2700
10.61115,2700
9.55004,2700
8.59503,2700
7.73553,2715
6.96198,2698
6.26578,2686
5.63920,2685
5.07528,2685
4.56775,2685
4.11098,2685
3.69988,2685
3.32989,2685
2.99690,2684
2.69721,2684
2.42749,2684
2.18474,2684
1.96627,2679
1.76964,2679
1.59268,2679
1.43341,2679
1.29007,2679
1.16106,2678
1.04495,2677
0.94046,2675
0.84641,2675
0.76177,2675
0.68559,2668
0.61704,2668
0.55533,2667
0.49980,2667
0.44982,2667
0.40484,2667
0.36435,2665
0.32792,2664
0.29513,2664
0.26561,2662
0.23905,2656
0.21515,2654
0.19363,2654
0.17427,2654
0.15684,2654
0.14116,2653
0.12704,2653
0.11434,2653
0.10290,2653
