iteration,makespan
1,5209
2,5174
3,5087
4,5036
5,4998
6,4901
7,4812
8,4758
9,4687
10,4620
11,4545
12,4526
13,4512
14,4478
15,4453
16,4389
17,4352
18,4341
19,4251
20,4151
21,4103
22,4090
23,4023
24,3955
25,3855
26,3784
27,3695
28,3614
29,3578
30,3483
31,3449
32,3371
33,3274
34,3183
35,3172
36,3087
37,3060
38,3037
39,2958
40,2957
41,2903
42,2813
43,2718
44,2669
45,2571
46,2476
47,2386
48,2332
49,2331
50,2252
51,2229
52,2202
53,2117
54,2106
55,2015
56,1918
57,1840
58,1806
59,1711
60,1675
61,1594
62,1505
63,1434
64,1335
65,1235
66,1164
67,1075
68,994
69,958
70,863
71,829
72,751
73,681
74,584
75,506
76,472
77,377
78,341
79,341
