iteration,makespan
0,4742
1,4742
2,4742
3,4742
4,4742
5,4742
6,4742
7,4742
8,4742
9,4742
10,4742
11,4742
12,4742
13,4742
14,4742
15,4742
16,4742
17,4742
18,4742
19,4742
20,4742
21,4742
22,4742
23,4742
24,4742
25,4742
26,4742
27,4742
28,4742
29,4742
30,4742
31,4742
32,4742
33,4742
34,4742
35,4742
36,4742
37,4742
38,4742
39,4742
40,4742
41,4742
42,4742
43,4742
44,4742
45,4742
46,4742
47,4742
48,4742
49,4742
50,4742
51,4742
52,4742
53,4742
54,4742
55,4742
56,4742
57,4742
58,4742
59,4742
60,4742
61,4742
62,4742
63,4742
64,4742
65,4742
66,4742
67,4742
68,4742
