temperatura,makespan
10000.00000,4954
9900.00000,760
9801.00000,787
9702.99023,724
9605.95996,794
9509.90039,851
9414.80176,774
9320.65430,752
9227.44824,726
9135.17383,807
9043.82227,690
8953.38379,718
8863.84961,755
8775.21094,632
8687.45898,607
8600.58496,620
8514.57910,590
8429.43359,651
8345.13965,612
8261.68848,693
8179.07178,594
8097.28125,662
8016.30859,620
7936.14551,665
7856.78418,633
7778.21631,720
7700.43408,612
7623.42969,579
7547.19531,588
7471.72363,568
7397.00635,537
7323.03613,594
7249.80566,568
7177.30762,587
7105.53467,612
7034.47949,611
6964.13477,642
6894.49365,619
6825.54883,665
6757.29346,600
6689.72070,594
6622.82373,610
6556.59570,579
6491.02979,594
6426.11963,600
6361.85840,579
6298.23975,594
6235.25732,616
6172.90479,616
6111.17578,579
6050.06396,612
5989.56348,568
5929.66797,566
5870.37158,564
5811.66797,618
5753.55127,648
5696.01562,614
5639.05566,645
5582.66504,546
5526.83838,570
5471.56982,561
5416.85400,570
5362.68555,570
5309.05859,561
5255.96826,529
5203.40869,609
5151.37451,594
5099.86084,546
5048.86230,618
4998.37354,618
4948.38965,606
4898.90576,690
4849.91699,644
4801.41797,639
4753.40381,665
4705.86963,642
4658.81104,617
4612.22314,616
4566.10107,693
4520.43994,613
4475.23535,637
4430.48291,636
4386.17822,622
4342.31641,609
4298.89307,609
4255.90430,652
4213.34521,607
4171.21191,647
4129.50000,582
4088.20508,561
4047.32300,621
4006.84985,587
3966.78149,562
3927.11377,555
3887.84277,522
3848.96436,610
3810.47485,693
3772.37012,609
3734.64648,595
3697.30005,609
3660.32715,637
3623.72388,565
3587.48657,568
3551.61182,627
3516.09570,608
3480.93481,565
3446.12549,564
3411.66431,562
3377.54761,564
3343.77222,565
3310.33447,542
3277.23120,564
3244.45898,577
3212.01440,598
3179.89429,567
3148.09546,539
3116.61450,595
3085.44849,574
3054.59399,596
3024.04810,597
2993.80762,568
2963.86963,596
2934.23096,575
2904.88867,595
2875.83984,638
2847.08154,612
2818.61084,661
2790.42480,641
2762.52051,617
2734.89526,587
2707.54639,568
2680.47095,580
2653.66626,568
2627.12964,580
2600.85840,639
2574.84985,645
2549.10132,633
2523.61035,676
2498.37427,617
2473.39062,712
2448.65674,611
2424.17017,637
2399.92847,613
2375.92920,562
2352.16992,568
2328.64819,613
2305.36182,613
2282.30811,683
2259.48511,646
