temperatura,makespan
10000.00000,4978
8500.00000,770
7225.00000,725
6141.25000,772
5220.06250,784
4437.05322,843
3771.49536,740
3205.77124,800
2724.90552,709
2316.16968,673
1968.74426,741
1673.43262,707
1422.41772,756
1209.05505,648
1027.69678,602
873.54230,627
742.51099,599
631.13434,538
536.46417,551
455.99457,594
387.59540,540
329.45609,540
280.03769,540
238.03204,531
202.32724,529
171.97816,537
146.18144,531
124.25423,529
105.61610,560
89.77368,531
76.30763,529
64.86149,531
55.13227,550
46.86243,559
39.83307,580
33.85810,580
28.77939,559
24.46248,580
20.79311,569
17.67414,564
15.02302,546
12.76957,546
10.85414,546
9.22602,538
7.84211,538
6.66580,538
5.66593,537
4.81604,529
4.09363,529
3.47959,529
2.95765,529
2.51400,529
2.13690,529
1.81637,531
1.54391,531
1.31233,531
1.11548,531
0.94815,531
0.80593,531
0.68504,531
0.58229,531
0.49494,531
0.42070,531
0.35760,531
0.30396,531
0.25836,531
0.21961,531
0.18667,531
0.15867,531
0.13487,531
0.11464,531
