temperatura,makespan
10000.00000,19760
9500.00000,1539
9025.00000,1527
8573.75000,1586
8145.06250,1481
7737.80908,1512
7350.91846,1452
6983.37256,1537
6634.20361,1543
6302.49316,1450
5987.36865,1503
5688.00000,1488
5403.60010,1515
5133.41992,1415
4876.74902,1454
4632.91162,1450
4401.26611,1481
4181.20264,1345
3972.14233,1415
3773.53516,1380
3584.85840,1356
3405.61548,1417
3235.33472,1492
3073.56787,1389
2919.88940,1458
2773.89502,1348
2635.20020,1367
2503.44019,1337
2378.26807,1419
2259.35474,1394
2146.38696,1298
2039.06763,1260
1937.11426,1260
1840.25854,1324
1748.24561,1204
1660.83325,1190
1577.79163,1308
1498.90198,1140
1423.95691,1189
1352.75903,1161
1285.12109,1183
1220.86499,1162
1159.82178,1216
1101.83069,1210
1046.73914,1154
994.40216,1085
944.68207,1084
897.44794,1093
852.57550,1079
809.94672,1135
769.44934,1137
730.97687,1146
694.42804,1176
659.70660,1115
626.72125,1097
595.38519,1123
565.61591,1150
537.33508,1085
510.46832,1077
484.94492,1061
460.69766,1047
437.66278,1066
415.77963,1127
394.99063,1129
375.24109,1185
356.47903,1100
338.65509,1100
321.72232,1088
305.63620,1072
290.35440,1062
275.83667,1136
262.04483,1116
248.94258,1120
236.49545,1124
224.67068,1113
213.43715,1106
202.76529,1080
192.62703,1077
182.99568,1083
173.84590,1156
165.15361,1065
156.89594,1112
149.05113,1136
141.59857,1088
134.51865,1075
127.79271,1045
121.40308,1038
115.33292,1083
109.56628,1038
104.08796,1099
98.88356,1108
93.93938,1067
89.24242,1122
84.78030,1117
80.54128,1047
76.51422,1045
72.68851,1064
69.05408,1091
65.60137,1173
62.32130,1090
59.20523,1115
56.24497,1107
53.43272,1135
50.76109,1062
48.22303,1057
45.81188,1055
43.52128,1137
41.34522,1086
39.27796,1056
37.31406,1055
35.44836,1055
33.67594,1080
31.99214,1122
30.39253,1045
28.87291,1125
27.42926,1049
26.05780,1038
24.75491,1037
23.51716,1046
22.34130,1077
21.22424,1037
20.16302,1126
19.15487,1046
18.19713,1123
17.28727,1087
16.42291,1157
15.60176,1124
14.82167,1108
14.08059,1086
13.37656,1093
12.70773,1050
12.07234,1042
11.46873,1041
10.89529,1039
10.35052,1099
9.83300,1099
9.34135,1086
8.87428,1068
8.43057,1063
8.00904,1045
7.60859,1081
7.22816,1071
6.86675,1064
6.52341,1038
6.19724,1090
5.88738,1065
5.59301,1088
5.31336,1072
5.04769,1100
4.79531,1084
4.55554,1084
4.32776,1065
4.11138,1098
3.90581,1115
3.71052,1116
3.52499,1074
3.34874,1066
3.18130,1152
3.02224,1068
2.87113,1128
2.72757,1151
2.59119,1238
2.46163,1088
2.33855,1115
2.22162,1073
2.11054,1087
2.00501,1061
1.90476,1051
1.80953,1091
1.71905,1058
1.63310,1045
1.55144,1086
1.47387,1085
1.40018,1088
1.33017,1065
1.26366,1047
1.20048,1040
1.14045,1036
1.08343,1059
1.02926,1063
0.97780,1036
0.92891,1034
0.88246,1062
0.83834,1078
0.79642,1066
0.75660,1120
0.71877,1097
0.68283,1088
0.64869,1047
0.61625,1087
0.58544,1115
0.55617,1064
0.52836,1062
0.50194,1051
0.47685,1099
0.45300,1087
0.43035,1090
0.40884,1149
0.38839,1110
0.36897,1095
0.35053,1052
0.33300,1088
0.31635,1051
0.30053,1086
0.28551,1102
0.27123,1086
0.25767,1050
0.24479,1070
0.23255,1064
0.22092,1108
0.20987,1086
0.19938,1111
0.18941,1097
0.17994,1101
0.17094,1045
0.16240,1122
0.15428,1050
0.14656,1072
0.13923,1131
0.13227,1112
0.12566,1085
0.11938,1159
0.11341,1118
0.10774,1094
0.10235,1170
