temperatura,makespan
10000.00000,4546
9900.00000,390
9801.00000,407
9702.99023,368
9605.95996,416
9509.90039,417
9414.80176,356
9320.65430,349
9227.44824,366
9135.17383,428
9043.82227,368
8953.38379,345
8863.84961,332
8775.21094,335
8687.45898,451
8600.58496,359
8514.57910,332
8429.43359,390
8345.13965,377
8261.68848,430
8179.07178,400
8097.28125,400
8016.30859,390
7936.14551,402
7856.78418,420
7778.21631,425
7700.43408,406
7623.42969,395
7547.19531,459
7471.72363,423
7397.00635,415
7323.03613,405
7249.80566,402
7177.30762,451
7105.53467,381
7034.47949,424
6964.13477,377
6894.49365,413
6825.54883,376
6757.29346,414
6689.72070,444
6622.82373,394
6556.59570,379
6491.02979,500
6426.11963,391
6361.85840,477
6298.23975,413
6235.25732,411
6172.90479,432
6111.17578,501
6050.06396,423
5989.56348,415
5929.66797,414
5870.37158,428
5811.66797,405
5753.55127,424
5696.01562,428
5639.05566,497
5582.66504,474
5526.83838,395
5471.56982,391
5416.85400,387
5362.68555,404
5309.05859,442
5255.96826,432
5203.40869,426
5151.37451,445
5099.86084,431
5048.86230,410
4998.37354,403
4948.38965,391
4898.90576,426
4849.91699,397
4801.41797,348
4753.40381,371
4705.86963,344
4658.81104,324
4612.22314,322
4566.10107,365
4520.43994,344
4475.23535,333
4430.48291,388
4386.17822,348
4342.31641,319
4298.89307,302
4255.90430,303
4213.34521,297
4171.21191,320
4129.50000,365
4088.20508,376
4047.32300,356
4006.84985,387
3966.78149,351
3927.11377,391
3887.84277,356
3848.96436,337
3810.47485,382
3772.37012,368
3734.64648,364
3697.30005,361
3660.32715,410
3623.72388,373
3587.48657,359
3551.61182,356
3516.09570,347
3480.93481,355
3446.12549,450
3411.66431,420
3377.54761,415
3343.77222,395
3310.33447,439
3277.23120,361
3244.45898,372
3212.01440,397
3179.89429,412
3148.09546,391
3116.61450,430
3085.44849,412
3054.59399,395
3024.04810,356
2993.80762,341
2963.86963,406
2934.23096,310
2904.88867,307
2875.83984,307
2847.08154,300
2818.61084,300
2790.42480,301
2762.52051,361
2734.89526,357
2707.54639,375
2680.47095,382
2653.66626,423
2627.12964,336
2600.85840,335
2574.84985,333
2549.10132,316
2523.61035,331
2498.37427,318
2473.39062,318
2448.65674,339
2424.17017,375
2399.92847,353
2375.92920,328
2352.16992,333
2328.64819,365
2305.36182,333
2282.30811,311
2259.48511,303
2236.89038,374
2214.52148,372
2192.37622,400
2170.45239,351
2148.74780,351
2127.26025,395
2105.98779,333
2084.92798,325
2064.07861,420
2043.43787,405
2023.00354,356
2002.77356,346
1982.74585,408
1962.91846,343
1943.28931,367
1923.85645,384
1904.61792,336
1885.57178,325
1866.71606,325
1848.04895,314
1829.56848,312
1811.27283,310
1793.16016,308
1775.22852,334
1757.47620,322
1739.90149,341
1722.50244,360
1705.27747,351
1688.22473,335
1671.34253,333
1654.62915,328
1638.08289,315
1621.70203,301
1605.48499,298
1589.43018,295
1573.53589,352
1557.80054,342
1542.22253,308
1526.80029,321
1511.53235,289
1496.41699,319
1481.45288,288
1466.63831,287
1451.97192,330
1437.45227,291
1423.07776,280
1408.84705,329
1394.75854,360
1380.81091,400
1367.00281,362
1353.33276,332
1339.79944,333
1326.40149,356
1313.13745,342
1300.00610,333
1287.00610,313
1274.13611,308
1261.39478,332
1248.78088,392
1236.29309,366
1223.93018,396
1211.69092,371
1199.57397,318
1187.57825,324
1175.70251,308
1163.94556,308
1152.30615,300
1140.78308,312
1129.37524,300
1118.08154,298
1106.90076,300
1095.83179,296
1084.87354,292
1074.02478,296
1063.28455,353
1052.65173,366
1042.12524,300
1031.70398,292
1021.38696,292
1011.17310,285
1001.06140,332
991.05078,311
981.14026,352
971.32886,311
961.61560,297
951.99945,282
942.47949,279
933.05469,271
923.72412,319
914.48688,268
905.34204,296
896.28864,296
887.32574,296
878.45251,308
869.66797,267
860.97131,261
852.36163,259
843.83801,272
835.39966,249
827.04565,275
818.77521,305
810.58746,259
802.48157,249
794.45679,302
786.51221,313
778.64709,313
770.86066,311
763.15204,302
755.52051,318
747.96533,313
740.48566,286
733.08081,271
725.75000,302
718.49249,307
711.30756,288
704.19446,321
697.15253,307
690.18103,304
683.27924,278
676.44647,299
669.68201,279
662.98517,290
656.35535,294
649.79181,292
643.29388,279
636.86096,294
630.49237,328
624.18744,292
617.94556,290
611.76611,330
605.64844,296
599.59198,292
593.59607,284
587.66010,284
581.78351,256
575.96570,248
570.20605,292
564.50403,248
558.85901,270
553.27045,292
547.73773,294
542.26038,305
536.83777,292
531.46942,283
526.15472,288
520.89319,260
515.68427,292
510.52744,290
505.42218,292
500.36795,248
495.36429,248
490.41064,271
485.50653,279
480.65146,279
475.84494,247
471.08649,245
466.37564,294
461.71188,288
457.09476,299
452.52380,294
447.99857,260
443.51859,279
439.08340,267
434.69257,288
430.34564,288
426.04218,275
421.78177,282
417.56396,271
413.38834,270
409.25446,245
405.16193,302
401.11032,270
397.09921,302
393.12823,260
389.19696,302
385.30499,260
381.45193,245
377.63742,282
373.86105,267
370.12244,282
366.42120,302
362.75699,294
359.12943,282
355.53815,290
351.98276,294
348.46292,288
344.97830,260
341.52853,299
338.11325,292
334.73212,288
331.38480,245
328.07095,275
324.79025,282
321.54236,299
318.32693,292
315.14368,294
311.99225,270
308.87231,294
305.78360,267
302.72577,278
299.69852,275
296.70154,278
293.73453,288
290.79718,260
287.88922,267
285.01035,290
282.16025,282
279.33865,294
276.54526,288
273.77982,271
271.04202,283
268.33160,288
265.64828,299
262.99179,275
260.36188,282
257.75827,271
255.18069,260
252.62889,267
250.10260,292
247.60158,290
245.12556,294
242.67432,270
240.24757,288
237.84511,290
235.46666,292
233.11200,270
230.78088,275
228.47308,267
226.18835,282
223.92647,260
221.68721,260
219.47034,278
217.27563,275
215.10287,294
212.95184,282
210.82233,302
208.71411,288
206.62697,290
204.56070,267
202.51509,294
200.48994,302
198.48505,275
196.50020,288
194.53520,288
192.58986,282
190.66396,278
188.75732,267
186.86975,290
185.00105,282
183.15105,278
181.31953,282
179.50635,290
177.71129,260
175.93417,245
174.17484,288
172.43309,290
170.70876,288
169.00166,279
167.31165,288
165.63853,290
163.98215,294
162.34233,294
160.71890,288
159.11171,290
157.52060,275
155.94539,282
154.38594,279
152.84209,292
