iteration,makespan
1,18555
2,18552
3,18512
4,18502
5,18488
6,18438
7,18395
8,18323
9,18306
10,18238
11,18159
12,18084
13,18001
14,17983
15,17888
16,17842
17,17780
18,17764
19,17763
20,17693
21,17658
22,17648
23,17597
24,17526
25,17437
26,17376
27,17315
28,17225
29,17155
30,17067
31,16999
32,16911
33,16873
34,16782
35,16714
36,16623
37,16589
38,16565
39,16471
40,16380
41,16294
42,16233
43,16205
44,16168
45,16111
46,16031
47,15937
48,15896
49,15814
50,15774
51,15706
52,15694
53,15672
54,15581
55,15570
56,15522
57,15482
58,15408
59,15386
60,15304
61,15205
62,15127
63,15058
64,14962
65,14956
66,14911
67,14813
68,14721
69,14682
70,14649
71,14638
72,14541
73,14536
74,14487
75,14395
76,14330
77,14231
78,14176
79,14103
80,14085
81,14067
82,13989
83,13987
84,13964
85,13864
86,13827
87,13801
88,13743
89,13719
90,13674
91,13612
92,13560
93,13540
94,13515
95,13416
96,13401
97,13394
98,13329
99,13248
100,13158
101,13081
102,13070
103,13064
104,13023
105,12973
106,12935
107,12895
108,12865
109,12780
110,12736
111,12719
112,12675
113,12648
114,12634
115,12536
116,12494
117,12432
118,12402
119,12357
120,12336
121,12262
122,12225
123,12171
124,12165
125,12098
126,12064
127,11981
128,11964
129,11927
130,11908
131,11823
132,11787
133,11725
134,11709
135,11659
136,11590
137,11588
138,11491
139,11477
140,11387
141,11370
142,11318
143,11271
144,11185
145,11132
146,11115
147,11069
148,10980
149,10975
150,10966
151,10898
152,10829
153,10810
154,10790
155,10718
156,10667
157,10621
158,10556
159,10475
160,10473
161,10415
162,10397
163,10310
164,10269
165,10254
166,10201
167,10145
168,10085
169,10056
170,9993
171,9949
172,9869
173,9769
174,9690
175,9601
176,9589
177,9576
178,9538
179,9516
180,9479
181,9440
182,9391
183,9359
184,9261
185,9212
186,9173
187,9136
188,9114
189,9076
190,9063
191,9051
192,8962
193,8883
194,8783
195,8703
196,8659
197,8596
198,8567
199,8507
200,8451
201,8398
202,8383
203,8342
204,8255
205,8237
206,8179
207,8177
208,8096
209,8031
210,7985
211,7934
212,7862
213,7842
214,7823
215,7754
216,7686
217,7677
218,7672
219,7583
220,7537
221,7520
222,7467
223,7381
224,7334
225,7282
226,7265
227,7175
228,7161
229,7064
230,7062
231,6993
232,6943
233,6927
234,6865
235,6829
236,6744
237,6725
238,6688
239,6671
240,6588
241,6554
242,6487
243,6481
244,6427
245,6390
246,6316
247,6295
248,6250
249,6220
250,6158
251,6116
252,6018
253,6004
254,5977
255,5933
256,5916
257,5872
258,5787
259,5757
260,5717
261,5679
262,5629
263,5588
264,5582
265,5571
266,5494
267,5404
268,5323
269,5258
270,5251
271,5236
272,5137
273,5112
274,5092
275,5040
276,4978
277,4933
278,4909
279,4851
280,4825
281,4788
282,4688
283,4688
