temperatura,makespan
10000.00000,4428
9500.00000,419
9025.00000,437
8573.75000,424
8145.06250,377
7737.80908,361
7350.91846,425
6983.37256,579
6634.20361,465
6302.49316,490
5987.36865,410
5688.00000,431
5403.60010,472
5133.41992,541
4876.74902,599
4632.91162,457
4401.26611,452
4181.20264,556
3972.14233,476
3773.53516,454
3584.85840,511
3405.61548,491
3235.33472,499
3073.56787,502
2919.88940,491
2773.89502,491
2635.20020,455
2503.44019,440
2378.26807,467
2259.35474,516
2146.38696,488
2039.06763,634
1937.11426,582
1840.25854,514
1748.24561,492
1660.83325,482
1577.79163,476
1498.90198,427
1423.95691,425
1352.75903,429
1285.12109,506
1220.86499,490
1159.82178,425
1101.83069,413
1046.73914,412
994.40216,446
944.68207,418
897.44794,456
852.57550,436
809.94672,506
769.44934,466
730.97687,539
694.42804,496
659.70660,581
626.72125,634
595.38519,579
565.61591,564
537.33508,619
510.46832,433
484.94492,488
460.69766,563
437.66278,444
415.77963,443
394.99063,531
375.24109,464
356.47903,404
338.65509,389
321.72232,384
305.63620,383
290.35440,435
275.83667,431
262.04483,423
248.94258,453
236.49545,470
224.67068,442
213.43715,485
202.76529,424
192.62703,447
182.99568,441
173.84590,477
165.15361,429
156.89594,500
149.05113,536
141.59857,493
134.51865,454
127.79271,422
121.40308,416
115.33292,469
109.56628,513
104.08796,625
98.88356,546
93.93938,490
89.24242,424
84.78030,404
80.54128,529
76.51422,448
72.68851,489
69.05408,550
65.60137,482
62.32130,487
59.20523,519
56.24497,474
53.43272,577
50.76109,555
48.22303,534
45.81188,446
43.52128,456
41.34522,543
39.27796,450
37.31406,490
35.44836,514
33.67594,484
31.99214,479
30.39253,491
28.87291,504
27.42926,466
26.05780,561
24.75491,633
23.51716,482
22.34130,530
21.22424,548
20.16302,494
19.15487,535
18.19713,613
17.28727,602
16.42291,562
15.60176,519
14.82167,504
14.08059,553
13.37656,500
12.70773,534
12.07234,480
11.46873,465
10.89529,526
10.35052,513
9.83300,509
9.34135,525
8.87428,481
8.43057,499
8.00904,489
7.60859,497
7.22816,548
6.86675,546
6.52341,455
6.19724,579
5.88738,548
5.59301,504
5.31336,509
5.04769,470
4.79531,528
4.55554,548
4.32776,571
4.11138,584
3.90581,591
3.71052,549
3.52499,540
3.34874,493
3.18130,559
3.02224,490
2.87113,536
2.72757,511
2.59119,465
2.46163,450
2.33855,511
2.22162,472
2.11054,482
2.00501,531
1.90476,485
1.80953,492
1.71905,496
1.63310,601
1.55144,601
1.47387,565
1.40018,500
1.33017,543
1.26366,522
1.20048,527
1.14045,564
1.08343,553
1.02926,529
0.97780,555
0.92891,501
0.88246,721
0.83834,565
0.79642,538
0.75660,520
0.71877,590
0.68283,546
0.64869,410
0.61625,405
0.58544,412
0.55617,402
0.52836,510
0.50194,445
0.47685,486
0.45300,461
0.43035,527
0.40884,420
0.38839,544
0.36897,471
0.35053,423
0.33300,454
0.31635,479
0.30053,447
0.28551,465
0.27123,517
0.25767,473
0.24479,521
0.23255,449
0.22092,425
0.20987,441
0.19938,543
0.18941,491
0.17994,423
0.17094,432
0.16240,410
0.15428,390
0.14656,379
0.13923,415
0.13227,384
0.12566,385
0.11938,450
0.11341,402
0.10774,378
0.10235,391
