iteration,makespan
1,18073
2,17981
3,17931
4,17912
5,17867
6,17835
7,17784
8,17753
9,17747
10,17710
11,17704
12,17630
13,17599
14,17505
15,17496
16,17422
17,17338
18,17275
19,17239
20,17150
21,17091
22,17073
23,17011
24,16922
25,16913
26,16892
27,16804
28,16745
29,16715
30,16620
31,16560
32,16534
33,16486
34,16420
35,16404
36,16341
37,16314
38,16299
39,16225
40,16144
41,16137
42,16125
43,16111
44,16105
45,16046
46,15999
47,15960
48,15916
49,15911
50,15892
51,15864
52,15793
53,15735
54,15645
55,15595
56,15545
57,15506
58,15465
59,15417
60,15412
61,15364
62,15322
63,15312
64,15279
65,15239
66,15237
67,15199
68,15104
69,15095
70,15033
71,15017
72,14967
73,14913
74,14845
75,14777
76,14713
77,14670
78,14650
79,14633
80,14550
81,14540
82,14454
83,14385
84,14377
85,14325
86,14267
87,14216
88,14181
89,14087
90,14080
91,14036
92,13972
93,13921
94,13864
95,13768
96,13674
97,13632
98,13555
99,13475
100,13415
101,13358
102,13309
103,13278
104,13239
105,13213
106,13165
107,13117
108,13108
109,13097
110,13018
111,13004
112,13001
113,12966
114,12906
115,12900
116,12834
117,12769
118,12724
119,12684
120,12653
121,12648
122,12560
123,12543
124,12486
125,12423
126,12355
127,12340
128,12257
129,12188
130,12156
131,12078
132,12060
133,11988
134,11905
135,11865
136,11847
137,11761
138,11744
139,11701
140,11692
141,11647
142,11644
143,11599
144,11529
145,11433
146,11423
147,11348
148,11265
149,11224
150,11171
151,11108
152,11012
153,10939
154,10889
155,10798
156,10717
157,10669
158,10585
159,10579
160,10528
161,10519
162,10424
163,10397
164,10342
165,10296
166,10272
167,10249
168,10171
169,10098
170,10009
171,9997
172,9922
173,9915
174,9879
175,9835
176,9773
177,9755
178,9684
179,9615
180,9522
181,9442
182,9428
183,9374
184,9281
185,9230
186,9223
187,9200
188,9103
189,9090
190,9066
191,8969
192,8946
193,8939
194,8888
195,8795
196,8741
197,8727
198,8647
199,8554
200,8485
201,8414
202,8396
203,8334
204,8290
205,8254
206,8247
207,8172
208,8160
209,8071
210,7998
211,7920
212,7897
213,7873
214,7827
215,7772
216,7745
217,7650
218,7641
219,7590
220,7584
221,7500
222,7452
223,7371
224,7280
225,7230
226,7157
227,7061
228,6998
229,6945
230,6904
231,6821
232,6746
233,6736
234,6640
235,6570
236,6525
237,6522
238,6477
239,6468
240,6425
241,6408
242,6322
243,6304
244,6264
245,6181
246,6109
247,6091
248,6013
249,5981
250,5912
251,5829
252,5814
253,5746
254,5683
255,5626
256,5609
257,5521
258,5516
259,5485
260,5445
261,5400
262,5335
263,5269
264,5263
265,5203
266,5168
267,5165
268,5151
269,5072
270,5061
271,5052
272,5004
273,4956
274,4930
275,4891
276,4860
277,4811
278,4754
279,4694
280,4614
281,4553
282,4476
283,4396
284,4336
285,4279
286,4230
287,4199
288,4160
289,4134
290,4086
291,4038
292,4029
293,4018
294,3939
295,3925
296,3922
297,3887
298,3827
299,3821
300,3755
301,3690
302,3645
303,3605
304,3574
305,3569
306,3481
307,3464
308,3407
309,3344
310,3276
311,3261
312,3178
313,3109
314,3077
315,2999
316,2981
317,2909
318,2826
319,2786
320,2768
321,2682
322,2665
323,2622
324,2613
325,2568
326,2565
327,2520
328,2450
329,2354
330,2344
331,2284
332,2209
333,2199
334,2103
335,2033
336,1988
337,1985
338,1940
339,1931
340,1888
341,1871
342,1785
343,1767
344,1727
345,1644
346,1572
347,1554
348,1476
349,1444
350,1375
351,1292
352,1277
353,1209
354,1146
355,1146
