temperatura,makespan
10000.00000,20162
9000.00000,1561
8100.00000,1525
7290.00000,1558
6561.00000,1433
5904.89990,1415
5314.40967,1377
4782.96875,1530
4304.67188,1430
3874.20459,1440
3486.78394,1497
3138.10547,1552
2824.29492,1504
2541.86548,1416
2287.67896,1407
2058.91089,1422
1853.01978,1434
1667.71777,1443
1500.94592,1330
1350.85132,1400
1215.76611,1339
1094.18945,1370
984.77051,1351
886.29346,1334
797.66406,1359
717.89764,1328
646.10785,1233
581.49707,1218
523.34735,1117
471.01260,1097
423.91135,1093
381.52020,1143
343.36816,1166
309.03134,1092
278.12820,1107
250.31538,1118
225.28384,1129
202.75545,1092
182.47990,1090
164.23190,1081
147.80872,1077
133.02785,1070
119.72506,1073
107.75255,1067
96.97729,1149
87.27956,1130
78.55160,1132
70.69643,1156
63.62679,1148
57.26411,1129
51.53770,1106
46.38393,1147
41.74553,1086
37.57098,1085
33.81388,1078
30.43249,1121
27.38924,1143
24.65032,1109
22.18529,1157
19.96676,1101
17.97008,1133
16.17307,1099
14.55577,1071
13.10019,1084
11.79017,1060
10.61115,1059
9.55004,1049
8.59503,1048
7.73553,1047
6.96198,1092
6.26578,1051
5.63920,1101
5.07528,1114
4.56775,1083
4.11098,1051
3.69988,1043
3.32989,1113
2.99690,1123
2.69721,1126
2.42749,1119
2.18474,1111
1.96627,1167
1.76964,1171
1.59268,1114
1.43341,1140
1.29007,1129
1.16106,1110
1.04495,1101
0.94046,1143
0.84641,1094
0.76177,1070
0.68559,1058
0.61704,1051
0.55533,1106
0.49980,1052
0.44982,1071
0.40484,1090
0.36435,1092
0.32792,1095
0.29513,1107
0.26561,1088
0.23905,1083
0.21515,1092
0.19363,1088
0.17427,1057
0.15684,1090
0.14116,1051
0.12704,1112
0.11434,1101
0.10290,1078
