temperatura,makespan
10000.00000,126892
9500.00000,3807
9025.00000,3521
8573.75000,3526
8145.06250,3502
7737.80908,3514
7350.91846,3248
6983.37256,3201
6634.20361,3198
6302.49316,3145
5987.36865,3081
5688.00000,3069
5403.60010,3069
5133.41992,3067
4876.74902,3039
4632.91162,3019
4401.26611,3109
4181.20264,3108
3972.14233,3119
3773.53516,3027
3584.85840,3034
3405.61548,3111
3235.33472,3074
3073.56787,3071
2919.88940,2998
2773.89502,3018
2635.20020,3045
2503.44019,3013
2378.26807,3067
2259.35474,2992
2146.38696,2931
2039.06763,2990
1937.11426,2928
1840.25854,2919
1748.24561,2896
1660.83325,2890
1577.79163,2915
1498.90198,2897
1423.95691,2884
1352.75903,2888
1285.12109,2861
1220.86499,2843
1159.82178,2841
1101.83069,2813
1046.73914,2849
994.40216,2810
944.68207,2806
897.44794,2802
852.57550,2814
809.94672,2823
769.44934,2793
730.97687,2791
694.42804,2874
659.70660,2732
626.72125,2728
595.38519,2802
565.61591,2797
537.33508,2801
510.46832,2723
484.94492,2808
460.69766,2789
437.66278,2717
415.77963,2853
394.99063,2757
375.24109,2716
356.47903,2790
338.65509,2776
321.72232,2783
305.63620,2717
290.35440,2690
275.83667,2747
262.04483,2687
248.94258,2685
236.49545,2768
224.67068,2680
213.43715,2732
202.76529,2736
192.62703,2731
182.99568,2682
173.84590,2699
165.15361,2676
156.89594,2734
149.05113,2757
141.59857,2738
134.51865,2722
127.79271,2754
121.40308,2716
115.33292,2740
109.56628,2714
104.08796,2772
98.88356,2759
93.93938,2736
89.24242,2731
84.78030,2739
80.54128,2779
76.51422,2710
72.68851,2765
69.05408,2751
65.60137,2708
62.32130,2707
59.20523,2698
56.24497,2750
53.43272,2734
50.76109,2760
48.22303,2801
45.81188,2719
43.52128,2698
41.34522,2775
39.27796,2751
37.31406,2727
35.44836,2693
33.67594,2692
31.99214,2691
30.39253,2775
28.87291,2691
27.42926,2686
26.05780,2702
24.75491,2724
23.51716,2683
22.34130,2704
21.22424,2701
20.16302,2691
19.15487,2739
18.19713,2781
17.28727,2738
16.42291,2758
15.60176,2765
14.82167,2714
14.08059,2700
13.37656,2755
12.70773,2702
12.07234,2791
11.46873,2695
10.89529,2694
10.35052,2686
9.83300,2740
9.34135,2702
8.87428,2722
8.43057,2730
8.00904,2741
7.60859,2772
7.22816,2767
6.86675,2775
6.52341,2761
6.19724,2755
5.88738,2751
5.59301,2777
5.31336,2777
5.04769,2735
4.79531,2756
4.55554,2778
4.32776,2742
4.11138,2719
3.90581,2716
3.71052,2699
3.52499,2753
3.34874,2743
3.18130,2731
3.02224,2710
2.87113,2741
2.72757,2746
2.59119,2756
2.46163,2713
2.33855,2699
2.22162,2693
2.11054,2733
2.00501,2719
1.90476,2700
1.80953,2715
1.71905,2818
1.63310,2705
1.55144,2686
1.47387,2751
1.40018,2720
1.33017,2734
1.26366,2685
1.20048,2748
1.14045,2753
1.08343,2728
1.02926,2767
0.97780,2713
0.92891,2738
0.88246,2711
0.83834,2748
0.79642,2738
0.75660,2723
0.71877,2708
0.68283,2707
0.64869,2712
0.61625,2695
0.58544,2682
0.55617,2672
0.52836,2733
0.50194,2660
0.47685,2658
0.45300,2673
0.43035,2649
0.40884,2647
0.38839,2707
0.36897,2814
0.35053,2703
0.33300,2683
0.31635,2684
0.30053,2686
0.28551,2708
0.27123,2682
0.25767,2675
0.24479,2660
0.23255,2680
0.22092,2656
0.20987,2715
0.19938,2652
0.18941,2670
0.17994,2664
0.17094,2698
0.16240,2691
0.15428,2686
0.14656,2728
0.13923,2666
0.13227,2711
0.12566,2663
0.11938,2652
0.11341,2642
0.10774,2642
0.10235,2718
