iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,9900.0000,747,747,1,0
2,9801.0000,658,658,1,0
3,9702.9902,643,643,1,0
4,9605.9600,705,643,1,1
5,9509.9004,603,603,1,0
6,9414.8018,599,599,1,0
7,9320.6543,642,599,1,1
8,9227.4482,541,541,1,0
9,9135.1738,508,508,1,0
10,9043.8223,538,508,1,1
11,8953.3838,510,508,1,0
12,8863.8496,536,508,1,1
13,8775.2109,541,508,1,1
14,8687.4590,516,508,1,0
15,8600.5850,508,508,1,0
16,8514.5791,536,508,1,1
17,8429.4336,510,508,1,0
18,8345.1396,545,508,1,1
19,8261.6885,504,504,1,0
20,8179.0718,502,502,1,0
21,8097.2812,483,483,1,0
22,8016.3086,471,471,1,0
23,7936.1455,492,471,1,1
24,7856.7842,461,461,1,0
25,7778.2163,496,461,1,1
26,7700.4341,501,461,1,1
27,7623.4297,476,461,1,0
28,7547.1953,459,459,1,0
29,7471.7236,457,457,1,0
30,7397.0063,477,457,1,1
31,7323.0361,488,457,1,1
32,7249.8057,488,457,1,0
33,7177.3076,469,457,1,0
34,7105.5347,465,457,1,0
35,7034.4795,457,457,1,0
36,6964.1348,471,457,1,1
37,6894.4937,457,457,1,0
38,6825.5488,467,457,1,1
39,6757.2935,481,457,1,1
40,6689.7207,478,457,1,0
41,6622.8237,485,457,1,1
42,6556.5957,478,457,1,0
43,6491.0298,485,457,1,1
44,6426.1196,467,457,1,0
45,6361.8584,481,457,1,1
46,6298.2397,459,457,1,0
47,6235.2573,478,457,1,1
48,6172.9048,485,457,1,1
49,6111.1758,457,457,1,0
50,6050.0640,481,457,1,1
51,5989.5635,479,457,1,0
52,5929.6680,490,457,1,1
53,5870.3716,481,457,1,0
54,5811.6680,485,457,1,1
55,5753.5513,471,457,1,0
56,5696.0156,457,457,1,0
57,5639.0557,481,457,1,1
58,5582.6650,478,457,1,0
59,5526.8384,457,457,1,0
60,5471.5698,485,457,1,1
61,5416.8540,490,457,1,1
62,5362.6855,457,457,1,0
63,5309.0586,467,457,1,1
64,5255.9683,479,457,1,1
65,5203.4087,471,457,1,0
66,5151.3745,478,457,1,1
67,5099.8608,457,457,1,0
68,5048.8623,490,457,1,1
69,4998.3735,481,457,1,0
70,4948.3896,467,457,1,0
71,4898.9058,459,457,1,0
72,4849.9170,490,457,1,1
73,4801.4180,457,457,1,0
74,4753.4038,481,457,1,1
75,4705.8696,459,457,1,0
76,4658.8110,479,457,1,1
77,4612.2231,467,457,1,0
78,4566.1011,479,457,1,1
79,4520.4399,481,457,1,1
80,4475.2354,490,457,1,1
81,4430.4829,490,457,1,0
82,4386.1782,471,457,1,0
83,4342.3164,479,457,1,1
84,4298.8931,490,457,1,1
85,4255.9043,478,457,1,0
86,4213.3452,490,457,1,1
87,4171.2119,457,457,1,0
88,4129.5000,485,457,1,1
89,4088.2051,457,457,1,0
90,4047.3230,459,457,1,1
91,4006.8499,457,457,1,0
92,3966.7815,467,457,1,1
93,3927.1138,490,457,1,1
94,3887.8428,478,457,1,0
95,3848.9644,490,457,1,1
96,3810.4749,490,457,1,0
97,3772.3701,481,457,1,0
98,3734.6465,490,457,1,1
99,3697.3000,481,457,1,0
100,3660.3271,457,457,1,0
101,3623.7239,478,457,1,1
102,3587.4866,467,457,1,0
103,3551.6118,471,457,1,1
104,3516.0957,481,457,1,1
105,3480.9348,471,457,1,0
106,3446.1255,479,457,1,1
107,3411.6643,490,457,1,1
108,3377.5476,479,457,1,0
109,3343.7722,485,457,1,1
110,3310.3345,459,457,1,0
111,3277.2312,479,457,1,1
112,3244.4590,478,457,1,0
113,3212.0144,471,457,1,0
114,3179.8943,481,457,1,1
115,3148.0955,485,457,1,1
116,3116.6145,459,457,1,0
117,3085.4485,467,457,1,1
118,3054.5940,479,457,1,1
119,3024.0481,490,457,1,1
120,2993.8076,459,457,1,0
121,2963.8696,490,457,1,1
122,2934.2310,481,457,1,0
123,2904.8887,467,457,1,0
124,2875.8398,481,457,1,1
125,2847.0815,467,457,1,0
126,2818.6108,457,457,1,0
127,2790.4248,467,457,1,1
128,2762.5205,490,457,1,1
129,2734.8953,457,457,1,0
130,2707.5464,485,457,1,1
131,2680.4709,478,457,1,0
132,2653.6663,481,457,1,1
133,2627.1296,479,457,1,0
134,2600.8584,481,457,1,1
135,2574.8499,471,457,1,0
136,2549.1013,485,457,1,1
137,2523.6104,479,457,1,0
138,2498.3743,471,457,1,0
139,2473.3906,459,457,1,0
140,2448.6567,478,457,1,1
141,2424.1702,481,457,1,1
142,2399.9285,478,457,1,0
143,2375.9292,490,457,1,1
144,2352.1699,481,457,1,0
145,2328.6482,471,457,1,0
146,2305.3618,490,457,1,1
147,2282.3081,478,457,1,0
148,2259.4851,490,457,1,1
149,2236.8904,471,457,1,0
150,2214.5215,490,457,1,1
151,2192.3762,467,457,1,0
152,2170.4524,490,457,1,1
153,2148.7478,457,457,1,0
154,2127.2603,471,457,1,1
155,2105.9878,490,457,1,1
156,2084.9280,485,457,1,0
157,2064.0786,459,457,1,0
158,2043.4379,478,457,1,1
159,2023.0035,467,457,1,0
160,2002.7736,485,457,1,1
161,1982.7458,467,457,1,0
162,1962.9185,479,457,1,1
163,1943.2893,490,457,1,1
164,1923.8564,478,457,1,0
165,1904.6179,471,457,1,0
166,1885.5718,459,457,1,0
167,1866.7161,471,457,1,1
168,1848.0490,457,457,1,0
169,1829.5685,490,457,1,1
170,1811.2728,467,457,1,0
171,1793.1602,490,457,1,1
172,1775.2285,478,457,1,0
173,1757.4762,467,457,1,0
174,1739.9015,485,457,1,1
175,1722.5024,490,457,1,1
176,1705.2775,459,457,1,0
177,1688.2247,479,457,1,1
178,1671.3425,467,457,1,0
179,1654.6292,478,457,1,1
180,1638.0829,481,457,1,1
181,1621.7020,457,457,1,0
182,1605.4850,479,457,1,1
183,1589.4302,481,457,1,1
184,1573.5359,479,457,1,0
185,1557.8005,471,457,1,0
186,1542.2225,459,457,1,0
187,1526.8003,478,457,1,1
188,1511.5323,471,457,1,0
189,1496.4170,457,457,1,0
190,1481.4529,481,457,1,1
191,1466.6383,490,457,1,1
192,1451.9719,481,457,1,0
193,1437.4523,479,457,1,0
194,1423.0778,478,457,1,0
195,1408.8470,457,457,1,0
196,1394.7585,485,457,1,1
197,1380.8109,459,457,1,0
198,1367.0028,485,457,1,1
199,1353.3328,479,457,1,0
200,1339.7994,481,457,1,1
201,1326.4015,467,457,1,0
202,1313.1375,481,457,1,1
203,1300.0061,467,457,1,0
204,1287.0061,490,457,1,1
205,1274.1361,478,457,1,0
206,1261.3948,479,457,1,1
207,1248.7809,459,457,1,0
208,1236.2931,457,457,1,0
209,1223.9302,481,457,1,1
210,1211.6909,459,457,1,0
211,1199.5740,490,457,1,1
212,1187.5782,478,457,1,0
213,1175.7025,481,457,1,1
214,1163.9456,490,457,1,1
215,1152.3062,479,457,1,0
216,1140.7831,478,457,1,0
217,1129.3752,471,457,1,0
218,1118.0815,490,457,1,1
219,1106.9008,481,457,1,0
220,1095.8318,485,457,1,1
221,1084.8735,479,457,1,0
222,1074.0248,459,457,1,0
223,1063.2845,481,457,1,1
224,1052.6517,485,457,1,1
225,1042.1252,457,457,1,0
226,1031.7040,481,457,1,1
227,1021.3870,485,457,1,1
228,1011.1731,471,457,1,0
