temperatura,makespan
10000.00000,17936
9000.00000,771
8100.00000,690
7290.00000,683
6561.00000,632
5904.89990,637
5314.40967,657
4782.96875,651
4304.67188,687
3874.20459,642
3486.78394,671
3138.10547,629
2824.29492,700
2541.86548,644
2287.67896,744
2058.91089,615
1853.01978,613
1667.71777,612
1500.94592,631
1350.85132,700
1215.76611,715
1094.18945,609
984.77051,606
886.29346,688
797.66406,626
717.89764,657
646.10785,664
581.49707,710
523.34735,639
471.01260,676
423.91135,652
381.52020,666
343.36816,655
309.03134,699
278.12820,720
250.31538,670
225.28384,616
202.75545,618
182.47990,677
164.23190,769
147.80872,623
133.02785,673
119.72506,718
107.75255,707
96.97729,664
87.27956,648
78.55160,647
70.69643,663
63.62679,783
57.26411,651
51.53770,706
46.38393,637
41.74553,755
37.57098,662
33.81388,703
30.43249,642
27.38924,710
24.65032,734
22.18529,627
19.96676,700
17.97008,703
16.17307,709
14.55577,690
13.10019,675
11.79017,705
10.61115,671
9.55004,682
8.59503,709
7.73553,727
6.96198,814
6.26578,778
5.63920,751
5.07528,802
4.56775,676
4.11098,642
3.69988,640
3.32989,631
2.99690,677
2.69721,729
2.42749,708
2.18474,675
1.96627,654
1.76964,711
1.59268,653
1.43341,727
1.29007,633
1.16106,652
1.04495,656
0.94046,659
0.84641,634
0.76177,702
0.68559,675
0.61704,652
0.55533,624
0.49980,608
0.44982,597
0.40484,565
0.36435,621
0.32792,590
0.29513,548
0.26561,545
0.23905,575
0.21515,574
0.19363,559
0.17427,564
0.15684,535
0.14116,534
0.12704,552
0.11434,576
0.10290,611
