temperatura,makespan
10000.00000,125037
8500.00000,3605
7225.00000,3539
6141.25000,3296
5220.06250,3208
4437.05322,3132
3771.49536,3119
3205.77124,3060
2724.90552,3061
2316.16968,3096
1968.74426,3198
1673.43262,3003
1422.41772,2996
1209.05505,2989
1027.69678,3017
873.54230,2991
742.51099,2973
631.13434,2945
536.46417,2972
455.99457,2944
387.59540,2925
329.45609,2901
280.03769,2971
238.03204,2944
202.32724,2943
171.97816,2980
146.18144,2905
124.25423,2891
105.61610,2905
89.77368,2876
76.30763,2875
64.86149,2935
55.13227,2919
46.86243,2926
39.83307,2862
33.85810,2846
28.77939,2787
24.46248,2782
20.79311,2805
17.67414,2854
15.02302,2828
12.76957,2851
10.85414,2827
9.22602,2854
7.84211,2810
6.66580,2793
5.66593,2857
4.81604,2783
4.09363,2894
3.47959,2860
2.95765,2831
2.51400,2821
2.13690,2867
1.81637,2854
1.54391,2817
1.31233,2788
1.11548,2780
0.94815,2840
0.80593,2788
0.68504,2769
0.58229,2842
0.49494,2825
0.42070,2758
0.35760,2744
0.30396,2714
0.25836,2745
0.21961,2736
0.18667,2740
0.15867,2704
0.13487,2729
0.11464,2709
