temperatura,makespan
10000.00000,1565
8500.00000,355
7225.00000,402
6141.25000,407
5220.06250,313
4437.05322,362
3771.49536,370
3205.77124,463
2724.90552,322
2316.16968,414
1968.74426,314
1673.43262,342
1422.41772,356
1209.05505,403
1027.69678,440
873.54230,448
742.51099,272
631.13434,300
536.46417,269
455.99457,325
387.59540,329
329.45609,374
280.03769,387
238.03204,283
202.32724,282
171.97816,268
146.18144,261
124.25423,300
105.61610,261
89.77368,246
76.30763,321
64.86149,221
55.13227,264
46.86243,285
39.83307,298
33.85810,287
28.77939,282
24.46248,335
20.79311,306
17.67414,315
15.02302,349
12.76957,301
10.85414,368
9.22602,312
7.84211,305
6.66580,351
5.66593,374
4.81604,325
4.09363,317
3.47959,349
2.95765,422
2.51400,424
2.13690,454
1.81637,502
1.54391,410
1.31233,384
1.11548,390
0.94815,357
0.80593,425
0.68504,390
0.58229,378
0.49494,304
0.42070,306
0.35760,313
0.30396,320
0.25836,299
0.21961,359
0.18667,326
0.15867,395
0.13487,329
0.11464,450
