iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,9900.0000,1982,1982,1,0
2,9801.0000,1602,1602,1,0
3,9702.9902,1585,1585,1,0
4,9605.9600,1505,1505,1,0
5,9509.9004,1495,1495,1,0
6,9414.8018,1395,1395,1,0
7,9320.6543,1429,1395,1,1
8,9227.4482,1491,1395,1,1
9,9135.1738,1481,1395,1,0
10,9043.8223,1385,1385,1,0
11,8953.3838,1336,1336,1,0
12,8863.8496,1323,1323,1,0
13,8775.2109,1432,1323,1,1
14,8687.4590,1400,1323,1,0
15,8600.5850,1403,1323,1,1
16,8514.5791,1378,1323,1,0
17,8429.4336,1415,1323,1,1
18,8345.1396,1333,1323,1,0
19,8261.6885,1362,1323,1,1
20,8179.0718,1362,1323,1,0
21,8097.2812,1375,1323,1,1
22,8016.3086,1356,1323,1,0
23,7936.1455,1238,1238,1,0
24,7856.7842,1299,1238,1,1
25,7778.2163,1364,1238,1,1
26,7700.4341,1342,1238,1,0
27,7623.4297,1359,1238,1,1
28,7547.1953,1365,1238,1,1
29,7471.7236,1226,1226,1,0
30,7397.0063,1287,1226,1,1
31,7323.0361,1289,1226,1,1
32,7249.8057,1391,1226,1,1
33,7177.3076,1363,1226,1,0
34,7105.5347,1327,1226,1,0
35,7034.4795,1254,1226,1,0
36,6964.1348,1253,1226,1,0
37,6894.4937,1307,1226,1,1
38,6825.5488,1289,1226,1,0
39,6757.2935,1248,1226,1,0
40,6689.7207,1242,1226,1,0
41,6622.8237,1239,1226,1,0
42,6556.5957,1206,1206,1,0
43,6491.0298,1186,1186,1,0
44,6426.1196,1169,1169,1,0
45,6361.8584,1139,1139,1,0
46,6298.2397,1147,1139,1,1
47,6235.2573,1126,1126,1,0
48,6172.9048,1114,1114,1,0
49,6111.1758,1181,1114,1,1
50,6050.0640,1140,1114,1,0
51,5989.5635,1134,1114,1,0
52,5929.6680,1124,1114,1,0
53,5870.3716,1158,1114,1,1
54,5811.6680,1197,1114,1,1
55,5753.5513,1169,1114,1,0
56,5696.0156,1173,1114,1,1
57,5639.0557,1186,1114,1,1
58,5582.6650,1157,1114,1,0
59,5526.8384,1177,1114,1,1
60,5471.5698,1178,1114,1,1
61,5416.8540,1231,1114,1,1
62,5362.6855,1203,1114,1,0
63,5309.0586,1170,1114,1,0
64,5255.9683,1182,1114,1,1
65,5203.4087,1118,1114,1,0
66,5151.3745,1183,1114,1,1
