iteration,makespan
1,18349
2,18303
3,18203
4,18178
5,18111
6,18099
7,18063
8,18043
9,17944
10,17857
11,17848
12,17796
13,17781
14,17767
15,17764
16,17751
17,17692
18,17677
19,17579
20,17511
21,17505
22,17480
23,17429
24,17396
25,17348
26,17261
27,17251
28,17175
29,17145
30,17057
31,17055
32,17040
33,16960
34,16923
35,16833
36,16785
37,16771
38,16674
39,16662
40,16567
41,16546
42,16502
43,16404
44,16353
45,16297
46,16261
47,16245
48,16153
49,16143
50,16069
51,16003
52,15981
53,15955
54,15891
55,15867
56,15795
57,15789
58,15718
59,15695
60,15680
61,15671
62,15605
63,15531
64,15450
65,15379
66,15338
67,15253
68,15185
69,15160
70,15144
71,15046
72,14975
73,14886
74,14823
75,14787
76,14722
77,14647
78,14556
79,14481
80,14392
81,14296
82,14246
83,14199
84,14196
85,14137
86,14135
87,14085
88,14045
89,14035
90,13977
91,13935
92,13858
93,13815
94,13733
95,13636
96,13632
97,13615
98,13546
99,13475
100,13420
101,13344
102,13308
103,13272
104,13247
105,13211
106,13117
107,13078
108,12991
109,12948
110,12875
111,12784
112,12742
113,12650
114,12604
115,12550
116,12482
117,12390
118,12298
119,12199
120,12117
121,12053
122,11992
123,11911
124,11871
125,11805
126,11729
127,11647
128,11585
129,11543
130,11507
131,11487
132,11436
133,11388
134,11297
135,11210
136,11112
137,11061
138,11047
139,11002
140,10952
141,10870
142,10824
143,10735
144,10662
145,10608
146,10546
147,10476
148,10417
149,10340
150,10301
151,10300
152,10275
153,10231
154,10225
155,10219
156,10215
157,10180
158,10133
159,10090
160,9998
161,9962
162,9884
163,9871
164,9820
165,9780
166,9758
167,9757
168,9707
169,9674
170,9574
171,9513
172,9456
173,9364
174,9288
175,9284
176,9240
177,9234
178,9148
179,9104
180,9100
181,9024
182,8932
183,8875
184,8814
185,8714
186,8681
187,8631
188,8630
189,8608
190,8568
191,8517
192,8504
193,8426
194,8390
195,8298
196,8255
197,8208
198,8173
199,8169
200,8163
201,8157
202,8113
203,8088
204,8087
205,8048
206,7971
207,7912
208,7842
209,7780
210,7726
211,7653
212,7564
213,7518
214,7436
215,7386
216,7341
217,7327
218,7276
219,7178
220,7091
221,7000
222,6952
223,6901
224,6881
225,6845
226,6803
227,6741
228,6659
229,6583
230,6517
231,6477
232,6396
233,6335
234,6271
235,6189
236,6090
237,5998
238,5906
239,5838
240,5784
241,5738
242,5646
243,5604
244,5513
245,5440
246,5397
247,5310
248,5271
249,5177
250,5141
251,5116
252,5080
253,5044
254,4968
255,4913
256,4842
257,4773
258,4756
259,4752
260,4655
261,4655
