temperatura,makespan
10000.00000,126617
9500.00000,3795
9025.00000,3456
8573.75000,3374
8145.06250,3393
7737.80908,3323
7350.91846,3333
6983.37256,3322
6634.20361,3157
6302.49316,3295
5987.36865,3182
5688.00000,3107
5403.60010,3156
5133.41992,3098
4876.74902,3189
4632.91162,3142
4401.26611,3073
4181.20264,3063
3972.14233,3059
3773.53516,3054
3584.85840,3045
3405.61548,3002
3235.33472,3059
3073.56787,2989
2919.88940,2969
2773.89502,2990
2635.20020,2962
2503.44019,2941
2378.26807,2938
2259.35474,2893
2146.38696,2873
2039.06763,2859
1937.11426,2875
1840.25854,2850
1748.24561,2841
1660.83325,2841
1577.79163,2828
1498.90198,2834
1423.95691,2853
1352.75903,2857
1285.12109,2825
1220.86499,2869
1159.82178,2843
1101.83069,2904
1046.73914,2802
994.40216,2791
944.68207,2778
897.44794,2752
852.57550,2746
809.94672,2728
769.44934,2752
730.97687,2728
694.42804,2735
659.70660,2730
626.72125,2724
595.38519,2721
565.61591,2715
537.33508,2741
510.46832,2742
484.94492,2751
460.69766,2741
437.66278,2745
415.77963,2730
394.99063,2772
375.24109,2717
356.47903,2716
338.65509,2715
321.72232,2777
305.63620,2712
290.35440,2698
275.83667,2683
262.04483,2729
248.94258,2744
236.49545,2707
224.67068,2702
213.43715,2699
202.76529,2695
192.62703,2686
182.99568,2683
173.84590,2678
165.15361,2672
156.89594,2671
149.05113,2696
141.59857,2712
134.51865,2730
127.79271,2665
121.40308,2712
115.33292,2731
109.56628,2694
104.08796,2703
98.88356,2742
93.93938,2698
89.24242,2698
84.78030,2688
80.54128,2759
76.51422,2732
72.68851,2760
69.05408,2742
65.60137,2706
62.32130,2694
59.20523,2687
56.24497,2682
53.43272,2703
50.76109,2715
48.22303,2833
45.81188,2736
43.52128,2679
41.34522,2666
39.27796,2664
37.31406,2662
35.44836,2666
33.67594,2674
31.99214,2724
30.39253,2733
28.87291,2694
27.42926,2731
26.05780,2734
24.75491,2762
23.51716,2714
22.34130,2730
21.22424,2685
20.16302,2681
19.15487,2715
18.19713,2709
17.28727,2701
16.42291,2700
15.60176,2699
14.82167,2729
14.08059,2697
13.37656,2728
12.70773,2718
12.07234,2694
11.46873,2693
10.89529,2749
10.35052,2689
9.83300,2687
9.34135,2684
8.87428,2664
8.43057,2677
8.00904,2656
7.60859,2728
7.22816,2728
6.86675,2728
6.52341,2709
6.19724,2697
5.88738,2733
5.59301,2686
5.31336,2694
5.04769,2738
4.79531,2674
4.55554,2699
4.32776,2684
4.11138,2734
3.90581,2705
3.71052,2678
3.52499,2673
3.34874,2671
3.18130,2652
3.02224,2673
2.87113,2695
2.72757,2688
2.59119,2733
2.46163,2720
2.33855,2670
2.22162,2663
2.11054,2748
2.00501,2673
1.90476,2716
1.80953,2687
1.71905,2679
1.63310,2652
1.55144,2650
1.47387,2649
1.40018,2732
1.33017,2650
1.26366,2648
1.20048,2651
1.14045,2661
1.08343,2678
1.02926,2672
0.97780,2726
0.92891,2644
0.88246,2642
0.83834,2640
0.79642,2638
0.75660,2670
0.71877,2633
0.68283,2657
0.64869,2724
0.61625,2716
0.58544,2715
0.55617,2688
0.52836,2716
0.50194,2727
0.47685,2675
0.45300,2731
0.43035,2662
0.40884,2701
0.38839,2647
0.36897,2723
0.35053,2696
0.33300,2685
0.31635,2665
0.30053,2653
0.28551,2644
0.27123,2677
0.25767,2677
0.24479,2672
0.23255,2644
0.22092,2670
0.20987,2718
0.19938,2692
0.18941,2682
0.17994,2748
0.17094,2744
0.16240,2679
0.15428,2741
0.14656,2733
0.13923,2702
0.13227,2671
0.12566,2739
0.11938,2687
0.11341,2709
0.10774,2670
0.10235,2700
