temperatura,makespan
10000.00000,127877
9900.00000,3365
9801.00000,3363
9702.99023,3232
9605.95996,3198
9509.90039,3184
9414.80176,3211
9320.65430,3242
9227.44824,3184
9135.17383,3181
9043.82227,3186
8953.38379,3201
8863.84961,3167
8775.21094,3210
8687.45898,3092
8600.58496,3085
8514.57910,3078
8429.43359,3009
8345.13965,3016
8261.68848,2976
8179.07178,2938
8097.28125,2932
8016.30859,2941
7936.14551,2945
7856.78418,2947
7778.21631,2973
7700.43408,2940
7623.42969,3024
7547.19531,2951
7471.72363,2933
7397.00635,2949
7323.03613,2903
7249.80566,2893
7177.30762,2870
7105.53467,2864
7034.47949,2945
6964.13477,2847
6894.49365,2830
6825.54883,2831
6757.29346,2829
6689.72070,2823
6622.82373,2821
6556.59570,2856
6491.02979,2804
6426.11963,2779
6361.85840,2775
6298.23975,2820
6235.25732,2784
6172.90479,2844
6111.17578,2773
6050.06396,2759
5989.56348,2758
5929.66797,2795
5870.37158,2796
5811.66797,2808
5753.55127,2762
5696.01562,2773
5639.05566,2753
5582.66504,2748
5526.83838,2744
5471.56982,2736
5416.85400,2735
5362.68555,2742
5309.05859,2734
5255.96826,2816
5203.40869,2772
5151.37451,2811
5099.86084,2752
5048.86230,2745
4998.37354,2787
4948.38965,2742
4898.90576,2781
4849.91699,2807
4801.41797,2836
4753.40381,2793
4705.86963,2771
4658.81104,2745
4612.22314,2747
4566.10107,2744
4520.43994,2742
4475.23535,2749
4430.48291,2800
4386.17822,2776
4342.31641,2781
4298.89307,2802
4255.90430,2741
4213.34521,2739
4171.21191,2738
4129.50000,2753
4088.20508,2737
4047.32300,2767
4006.84985,2725
3966.78149,2781
3927.11377,2737
3887.84277,2720
3848.96436,2800
3810.47485,2747
3772.37012,2823
3734.64648,2769
3697.30005,2763
3660.32715,2759
3623.72388,2790
3587.48657,2787
3551.61182,2771
3516.09570,2762
3480.93481,2778
3446.12549,2772
3411.66431,2733
3377.54761,2788
3343.77222,2782
3310.33447,2733
3277.23120,2733
3244.45898,2758
3212.01440,2775
3179.89429,2766
3148.09546,2717
3116.61450,2714
3085.44849,2770
3054.59399,2718
3024.04810,2704
2993.80762,2760
2963.86963,2706
2934.23096,2729
2904.88867,2759
2875.83984,2695
