iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,8000.0000,812,812,1,0
2,6400.0000,784,784,1,0
3,5120.0000,690,690,1,0
4,4096.0000,779,690,1,1
5,3276.8000,725,690,1,0
6,2621.4402,757,690,1,1
7,2097.1521,791,690,1,1
8,1677.7217,726,690,1,0
9,1342.1774,699,690,1,0
10,1073.7419,753,690,1,1
11,858.9936,692,690,1,0
12,687.1949,675,675,1,0
13,549.7559,607,607,1,0
14,439.8047,586,586,1,0
15,351.8438,581,581,1,0
16,281.4751,624,581,1,1
17,225.1801,630,581,1,1
18,180.1440,668,581,1,1
19,144.1152,594,581,1,0
20,115.2922,586,581,1,0
21,92.2338,608,581,1,1
22,73.7870,585,581,1,0
23,59.0296,630,581,1,1
24,47.2237,605,581,1,0
25,37.7790,607,581,1,1
26,30.2232,590,581,1,0
27,24.1785,607,581,1,1
28,19.3428,648,581,1,1
29,15.4743,597,581,1,0
30,12.3794,549,549,1,0
31,9.9035,585,549,1,1
32,7.9228,578,549,1,0
33,6.3383,596,549,1,1
34,5.0706,549,549,1,0
35,4.0565,618,549,1,1
36,3.2452,609,549,1,0
37,2.5962,596,549,1,0
38,2.0769,589,549,1,0
39,1.6615,552,549,1,0
40,1.3292,569,549,1,1
41,1.0634,545,545,1,0
42,0.8507,540,540,1,0
43,0.6806,608,540,1,1
44,0.5445,579,540,1,0
45,0.4356,606,540,1,1
46,0.3484,588,540,1,0
47,0.2788,606,540,1,1
48,0.2230,588,540,1,0
49,0.1784,606,540,1,1
50,0.1427,588,540,1,0
51,0.1142,628,540,1,1
52,0.0913,602,540,1,0
