temperatura,makespan
10000.00000,18117
8000.00000,837
6400.00000,823
5120.00000,738
4096.00000,663
3276.80005,659
2621.44019,634
2097.15210,635
1677.72168,617
1342.17737,626
1073.74194,604
858.99359,594
687.19489,555
549.75592,567
439.80475,527
351.84381,555
281.47507,566
225.18005,556
180.14404,574
144.11523,526
115.29219,541
92.23376,528
73.78701,524
59.02961,540
47.22369,520
37.77895,520
30.22316,513
24.17853,510
19.34282,510
15.47426,523
12.37941,509
9.90353,509
7.92282,509
6.33826,509
5.07061,506
4.05649,506
3.24519,510
2.59615,505
2.07692,505
1.66154,505
1.32923,501
1.06338,501
0.85071,501
0.68057,501
0.54445,501
0.43556,501
0.34845,500
0.27876,497
0.22301,496
0.17841,486
0.14272,473
0.11418,473
