iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,8000.0000,720,720,1,0
2,6400.0000,701,701,1,0
3,5120.0000,672,672,1,0
4,4096.0000,704,672,1,1
5,3276.8000,696,672,1,0
6,2621.4402,668,668,1,0
7,2097.1521,756,668,1,1
8,1677.7217,733,668,1,0
9,1342.1774,761,668,1,1
10,1073.7419,723,668,1,0
11,858.9936,712,668,1,0
12,687.1949,743,668,1,1
13,549.7559,771,668,1,1
14,439.8047,625,625,1,0
15,351.8438,638,625,1,1
16,281.4751,624,624,1,0
17,225.1801,600,600,1,0
18,180.1440,593,593,1,0
19,144.1152,583,583,1,0
20,115.2922,580,580,1,0
21,92.2338,633,580,1,1
22,73.7870,578,578,1,0
23,59.0296,570,570,1,0
24,47.2237,601,570,1,1
25,37.7790,567,567,1,0
26,30.2232,602,567,1,1
27,24.1785,593,567,1,0
28,19.3428,611,567,1,1
29,15.4743,624,567,1,1
30,12.3794,589,567,1,0
31,9.9035,588,567,1,0
32,7.9228,574,567,1,0
33,6.3383,570,567,1,0
34,5.0706,575,567,1,1
35,4.0565,612,567,1,1
36,3.2452,552,552,1,0
37,2.5962,548,548,1,0
38,2.0769,594,548,1,1
39,1.6615,631,548,1,1
40,1.3292,606,548,1,0
41,1.0634,596,548,1,0
42,0.8507,636,548,1,1
43,0.6806,605,548,1,0
44,0.5445,595,548,1,0
45,0.4356,687,548,1,1
46,0.3484,606,548,1,0
47,0.2788,642,548,1,1
48,0.2230,651,548,1,1
49,0.1784,631,548,1,0
50,0.1427,602,548,1,0
51,0.1142,593,548,1,0
52,0.0913,663,548,1,1
