temperatura,makespan
10000.00000,1444
9000.00000,279
8100.00000,317
7290.00000,285
6561.00000,286
5904.89990,313
5314.40967,265
4782.96875,314
4304.67188,304
3874.20459,431
3486.78394,419
3138.10547,274
2824.29492,354
2541.86548,256
2287.67896,303
2058.91089,336
1853.01978,328
1667.71777,278
1500.94592,276
1350.85132,278
1215.76611,292
1094.18945,285
984.77051,377
886.29346,329
797.66406,339
717.89764,350
646.10785,295
581.49707,376
523.34735,321
471.01260,300
423.91135,350
381.52020,375
343.36816,369
309.03134,350
278.12820,327
250.31538,406
225.28384,503
202.75545,288
182.47990,288
164.23190,342
147.80872,342
133.02785,345
119.72506,320
107.75255,334
96.97729,510
87.27956,467
78.55160,467
70.69643,399
63.62679,330
57.26411,306
51.53770,291
46.38393,291
41.74553,290
37.57098,332
33.81388,269
30.43249,254
27.38924,246
24.65032,227
22.18529,227
19.96676,227
17.97008,217
16.17307,217
14.55577,211
13.10019,208
11.79017,203
10.61115,203
9.55004,199
8.59503,194
7.73553,191
6.96198,191
6.26578,191
5.63920,191
5.07528,191
4.56775,191
4.11098,191
3.69988,191
3.32989,191
2.99690,191
2.69721,191
2.42749,191
2.18474,191
1.96627,191
1.76964,191
1.59268,191
1.43341,191
1.29007,191
1.16106,191
1.04495,191
0.94046,191
0.84641,191
0.76177,191
0.68559,191
0.61704,191
0.55533,191
0.49980,191
0.44982,191
0.40484,191
0.36435,191
0.32792,191
0.29513,191
0.26561,191
0.23905,191
0.21515,191
0.19363,191
0.17427,191
0.15684,191
0.14116,191
0.12704,191
0.11434,191
0.10290,191
