temperatura,makespan
10000.00000,1381
9900.00000,229
9801.00000,233
9702.99023,219
9605.95996,265
9509.90039,212
9414.80176,209
9320.65430,235
9227.44824,237
9135.17383,277
9043.82227,279
8953.38379,255
8863.84961,298
8775.21094,252
8687.45898,309
8600.58496,383
8514.57910,317
8429.43359,301
8345.13965,297
8261.68848,267
8179.07178,295
8097.28125,266
8016.30859,314
7936.14551,289
7856.78418,257
7778.21631,282
7700.43408,394
7623.42969,403
7547.19531,281
7471.72363,356
7397.00635,247
7323.03613,295
7249.80566,263
7177.30762,259
7105.53467,262
7034.47949,329
6964.13477,269
6894.49365,269
6825.54883,188
6757.29346,179
6689.72070,178
6622.82373,175
6556.59570,195
6491.02979,194
6426.11963,191
6361.85840,216
6298.23975,171
6235.25732,176
6172.90479,221
6111.17578,216
6050.06396,209
5989.56348,191
5929.66797,187
5870.37158,212
5811.66797,211
5753.55127,171
5696.01562,206
5639.05566,229
5582.66504,212
5526.83838,228
5471.56982,187
5416.85400,188
5362.68555,187
5309.05859,199
5255.96826,211
5203.40869,228
5151.37451,191
5099.86084,192
5048.86230,176
4998.37354,193
4948.38965,173
4898.90576,193
4849.91699,173
4801.41797,193
4753.40381,216
4705.86963,173
4658.81104,228
4612.22314,216
4566.10107,192
4520.43994,188
4475.23535,173
4430.48291,216
4386.17822,193
4342.31641,233
4298.89307,195
4255.90430,220
4213.34521,237
4171.21191,173
4129.50000,192
4088.20508,210
4047.32300,175
4006.84985,216
3966.78149,175
3927.11377,217
3887.84277,192
3848.96436,233
3810.47485,219
3772.37012,217
3734.64648,212
3697.30005,192
3660.32715,226
3623.72388,192
3587.48657,244
3551.61182,241
3516.09570,287
3480.93481,295
3446.12549,277
3411.66431,349
3377.54761,264
3343.77222,234
3310.33447,310
3277.23120,276
3244.45898,266
3212.01440,312
3179.89429,325
3148.09546,257
3116.61450,235
3085.44849,272
3054.59399,230
3024.04810,268
2993.80762,229
2963.86963,207
2934.23096,217
2904.88867,197
2875.83984,194
2847.08154,261
2818.61084,219
2790.42480,234
2762.52051,269
2734.89526,270
2707.54639,303
2680.47095,249
2653.66626,334
2627.12964,328
2600.85840,255
2574.84985,276
2549.10132,255
2523.61035,324
2498.37427,267
2473.39062,241
2448.65674,261
2424.17017,270
2399.92847,268
2375.92920,250
2352.16992,285
2328.64819,259
2305.36182,252
2282.30811,213
2259.48511,207
2236.89038,206
2214.52148,202
2192.37622,193
2170.45239,187
2148.74780,251
2127.26025,240
2105.98779,239
2084.92798,222
2064.07861,221
2043.43787,266
2023.00354,219
2002.77356,208
1982.74585,242
1962.91846,343
1943.28931,244
1923.85645,212
1904.61792,251
1885.57178,251
1866.71606,251
1848.04895,271
1829.56848,294
1811.27283,353
1793.16016,272
1775.22852,340
1757.47620,383
1739.90149,352
1722.50244,341
1705.27747,317
1688.22473,264
1671.34253,239
1654.62915,264
1638.08289,256
1621.70203,266
1605.48499,245
1589.43018,207
1573.53589,198
1557.80054,194
1542.22253,274
1526.80029,222
1511.53235,237
1496.41699,234
1481.45288,216
1466.63831,193
1451.97192,181
1437.45227,244
1423.07776,230
1408.84705,239
1394.75854,207
1380.81091,216
1367.00281,223
1353.33276,204
1339.79944,230
1326.40149,216
1313.13745,204
1300.00610,266
1287.00610,286
1274.13611,313
1261.39478,335
1248.78088,298
1236.29309,348
1223.93018,377
1211.69092,297
1199.57397,286
1187.57825,385
