temperatura,makespan
10000.00000,4221
8000.00000,447
6400.00000,517
5120.00000,430
4096.00000,498
3276.80005,500
2621.44019,470
2097.15210,480
1677.72168,439
1342.17737,521
1073.74194,481
858.99359,446
687.19489,495
549.75592,439
439.80475,449
351.84381,456
281.47507,473
225.18005,473
180.14404,424
144.11523,409
115.29219,468
92.23376,402
73.78701,393
59.02961,491
47.22369,442
37.77895,472
30.22316,474
24.17853,448
19.34282,413
15.47426,413
12.37941,413
9.90353,413
7.92282,413
6.33826,413
5.07061,413
4.05649,413
3.24519,413
2.59615,418
2.07692,418
1.66154,418
1.32923,418
1.06338,416
0.85071,416
0.68057,416
0.54445,396
0.43556,396
0.34845,396
0.27876,396
0.22301,396
0.17841,396
0.14272,396
0.11418,396
