iteration,makespan
0,4887
1,4887
2,4887
3,4887
4,4887
5,4887
6,4887
7,4887
8,4887
9,4887
10,4887
11,4887
12,4887
13,4887
14,4887
15,4887
16,4887
17,4887
18,4887
19,4887
20,4887
21,4887
22,4887
23,4887
24,4887
25,4887
26,4887
27,4887
28,4887
29,4887
30,4887
31,4887
32,4887
33,4887
34,4887
35,4887
36,4887
37,4887
38,4887
39,4887
40,4887
41,4887
42,4887
43,4887
44,4887
45,4887
46,4887
47,4887
48,4887
49,4887
50,4887
51,4887
52,4887
53,4887
54,4887
55,4887
56,4887
57,4887
58,4887
59,4887
60,4887
61,4887
62,4887
63,4887
64,4887
65,4887
66,4887
67,4887
68,4887
69,4887
70,4887
71,4887
72,4887
73,4887
74,4887
75,4887
76,4887
77,4887
