iteration,makespan
1,4384
2,4314
3,4266
4,4195
5,4110
6,4042
7,4008
8,3996
9,3944
10,3920
11,3869
12,3839
13,3809
14,3739
15,3642
16,3553
17,3469
18,3466
19,3443
20,3357
21,3272
22,3182
23,3101
24,3017
25,2972
26,2896
27,2877
28,2813
29,2716
30,2715
31,2676
32,2637
33,2551
34,2522
35,2484
36,2410
37,2394
38,2383
39,2321
40,2298
41,2242
42,2148
43,2125
44,2063
45,2052
46,2036
47,1962
48,1924
49,1895
50,1809
51,1770
52,1731
53,1730
54,1633
55,1569
56,1550
57,1474
58,1429
59,1345
60,1264
61,1174
62,1153
63,1068
64,978
65,897
66,813
67,768
68,692
69,673
70,609
71,609
