iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,9500.0000,3458,3458,1,0
2,9025.0000,3404,3404,1,0
3,8573.7500,3334,3334,1,0
4,8145.0625,3239,3239,1,0
5,7737.8091,3213,3213,1,0
6,7350.9185,3187,3187,1,0
7,6983.3726,3195,3187,1,1
8,6634.2036,3116,3116,1,0
9,6302.4932,3162,3116,1,1
10,5987.3687,3149,3116,1,0
11,5688.0000,3146,3116,1,0
12,5403.6001,3178,3116,1,1
13,5133.4199,3191,3116,1,1
14,4876.7490,3214,3116,1,1
15,4632.9116,3101,3101,1,0
16,4401.2661,3151,3101,1,1
17,4181.2026,3105,3101,1,0
18,3972.1423,3028,3028,1,0
19,3773.5352,3037,3028,1,1
20,3584.8584,2948,2948,1,0
21,3405.6155,2915,2915,1,0
22,3235.3347,2919,2915,1,1
23,3073.5679,2971,2915,1,1
24,2919.8894,2997,2915,1,1
25,2773.8950,2983,2915,1,0
26,2635.2002,2970,2915,1,0
27,2503.4402,2923,2915,1,0
28,2378.2681,2915,2915,1,0
29,2259.3547,2890,2890,1,0
30,2146.3870,2883,2883,1,0
31,2039.0676,2870,2870,1,0
32,1937.1143,2891,2870,1,1
33,1840.2585,2859,2859,1,0
34,1748.2456,2902,2859,1,1
35,1660.8333,2816,2816,1,0
36,1577.7916,2808,2808,1,0
37,1498.9020,2808,2808,1,0
38,1423.9569,2820,2808,1,1
39,1352.7590,2802,2802,1,0
40,1285.1211,2820,2802,1,1
41,1220.8650,2796,2796,1,0
42,1159.8218,2777,2777,1,0
43,1101.8307,2840,2777,1,1
44,1046.7391,2841,2777,1,1
45,994.4022,2815,2777,1,0
46,944.6821,2826,2777,1,1
47,897.4479,2805,2777,1,0
48,852.5755,2837,2777,1,1
49,809.9467,2799,2777,1,0
50,769.4493,2786,2777,1,0
51,730.9769,2806,2777,1,1
52,694.4280,2766,2766,1,0
53,659.7066,2776,2766,1,1
54,626.7213,2766,2766,1,0
55,595.3852,2822,2766,1,1
56,565.6159,2823,2766,1,1
57,537.3351,2898,2766,1,1
58,510.4683,2766,2766,1,0
59,484.9449,2775,2766,1,1
60,460.6977,2794,2766,1,1
61,437.6628,2782,2766,1,0
62,415.7796,2760,2760,1,0
63,394.9906,2753,2753,1,0
64,375.2411,2844,2753,1,1
65,356.4790,2750,2750,1,0
66,338.6551,2733,2733,1,0
67,321.7223,2758,2733,1,1
68,305.6362,2764,2733,1,1
69,290.3544,2764,2733,1,0
70,275.8367,2792,2733,1,1
71,262.0448,2705,2705,1,0
72,248.9426,2692,2692,1,0
73,236.4955,2710,2692,1,1
74,224.6707,2711,2692,1,1
75,213.4371,2774,2692,1,1
76,202.7653,2740,2692,1,0
77,192.6270,2786,2692,1,1
78,182.9957,2741,2692,1,0
79,173.8459,2722,2692,1,0
80,165.1536,2703,2692,1,0
81,156.8959,2720,2692,1,1
82,149.0511,2698,2692,1,0
83,141.5986,2692,2692,1,0
84,134.5186,2688,2688,1,0
85,127.7927,2768,2688,1,1
86,121.4031,2701,2688,1,0
87,115.3329,2688,2688,1,0
88,109.5663,2783,2688,1,1
89,104.0880,2677,2677,1,0
90,98.8836,2672,2672,1,0
91,93.9394,2682,2672,1,1
92,89.2424,2682,2672,1,0
93,84.7803,2684,2672,1,1
94,80.5413,2757,2672,1,1
95,76.5142,2721,2672,1,0
96,72.6885,2720,2672,1,0
97,69.0541,2742,2672,1,1
98,65.6014,2739,2672,1,0
99,62.3213,2830,2672,1,1
100,59.2052,2736,2672,1,0
101,56.2450,2745,2672,1,1
102,53.4327,2732,2672,1,0
103,50.7611,2726,2672,1,0
104,48.2230,2706,2672,1,0
105,45.8119,2749,2672,1,1
106,43.5213,2704,2672,1,0
107,41.3452,2711,2672,1,1
108,39.2780,2761,2672,1,1
109,37.3141,2699,2672,1,0
110,35.4484,2718,2672,1,1
111,33.6759,2778,2672,1,1
112,31.9921,2682,2672,1,0
113,30.3925,2717,2672,1,1
114,28.8729,2720,2672,1,1
115,27.4293,2680,2672,1,0
116,26.0578,2730,2672,1,1
117,24.7549,2712,2672,1,0
118,23.5172,2694,2672,1,0
119,22.3413,2670,2670,1,0
120,21.2242,2668,2668,1,0
121,20.1630,2716,2668,1,1
122,19.1549,2656,2656,1,0
123,18.1971,2656,2656,1,0
124,17.2873,2655,2655,1,0
125,16.4229,2689,2655,1,1
126,15.6018,2735,2655,1,1
127,14.8217,2739,2655,1,1
128,14.0806,2734,2655,1,0
129,13.3766,2711,2655,1,0
130,12.7077,2699,2655,1,0
131,12.0723,2709,2655,1,1
132,11.4687,2666,2655,1,0
133,10.8953,2666,2655,1,0
134,10.3505,2665,2655,1,0
135,9.8330,2744,2655,1,1
136,9.3413,2720,2655,1,0
137,8.8743,2679,2655,1,0
138,8.4306,2677,2655,1,0
139,8.0090,2661,2655,1,0
140,7.6086,2658,2655,1,0
141,7.2282,2683,2655,1,1
142,6.8667,2696,2655,1,1
143,6.5234,2721,2655,1,1
144,6.1972,2690,2655,1,0
145,5.8874,2722,2655,1,1
146,5.5930,2710,2655,1,0
147,5.3134,2740,2655,1,1
148,5.0477,2694,2655,1,0
149,4.7953,2678,2655,1,0
150,4.5555,2702,2655,1,1
151,4.3278,2729,2655,1,1
152,4.1114,2690,2655,1,0
153,3.9058,2687,2655,1,0
154,3.7105,2660,2655,1,0
155,3.5250,2686,2655,1,1
156,3.3487,2664,2655,1,0
157,3.1813,2654,2654,1,0
158,3.0222,2696,2654,1,1
159,2.8711,2671,2654,1,0
160,2.7276,2659,2654,1,0
161,2.5912,2730,2654,1,1
162,2.4616,2747,2654,1,1
163,2.3386,2659,2654,1,0
164,2.2216,2712,2654,1,1
165,2.1105,2726,2654,1,1
166,2.0050,2789,2654,1,1
167,1.9048,2696,2654,1,0
168,1.8095,2754,2654,1,1
169,1.7190,2782,2654,1,1
170,1.6331,2664,2654,1,0
171,1.5514,2660,2654,1,0
172,1.4739,2708,2654,1,1
173,1.4002,2826,2654,1,1
174,1.3302,2718,2654,1,0
175,1.2637,2687,2654,1,0
176,1.2005,2666,2654,1,0
177,1.1405,2699,2654,1,1
178,1.0834,2696,2654,1,0
179,1.0293,2664,2654,1,0
180,0.9778,2711,2654,1,1
181,0.9289,2654,2654,1,0
182,0.8825,2657,2654,1,1
183,0.8383,2707,2654,1,1
184,0.7964,2657,2654,1,0
185,0.7566,2731,2654,1,1
186,0.7188,2700,2654,1,0
187,0.6828,2732,2654,1,1
188,0.6487,2712,2654,1,0
189,0.6163,2680,2654,1,0
190,0.5854,2678,2654,1,0
191,0.5562,2692,2654,1,1
192,0.5284,2686,2654,1,0
193,0.5019,2684,2654,1,0
194,0.4768,2704,2654,1,1
195,0.4530,2682,2654,1,0
196,0.4304,2714,2654,1,1
197,0.4088,2692,2654,1,0
198,0.3884,2741,2654,1,1
199,0.3690,2710,2654,1,0
200,0.3505,2679,2654,1,0
201,0.3330,2703,2654,1,1
202,0.3163,2669,2654,1,0
203,0.3005,2663,2654,1,0
204,0.2855,2659,2654,1,0
205,0.2712,2655,2654,1,0
206,0.2577,2655,2654,1,0
207,0.2448,2658,2654,1,1
208,0.2325,2650,2650,1,0
209,0.2209,2643,2643,1,0
210,0.2099,2640,2640,1,0
211,0.1994,2633,2633,1,0
212,0.1894,2631,2631,1,0
213,0.1799,2655,2631,1,1
214,0.1709,2630,2630,1,0
215,0.1624,2628,2628,1,0
216,0.1543,2676,2628,1,1
217,0.1466,2682,2628,1,1
218,0.1392,2636,2628,1,0
219,0.1323,2668,2628,1,1
