iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,8500.0000,3578,3578,1,0
2,7225.0000,3428,3428,1,0
3,6141.2500,3218,3218,1,0
4,5220.0625,3266,3218,1,1
5,4437.0532,3187,3187,1,0
6,3771.4954,3186,3186,1,0
7,3205.7712,3161,3161,1,0
8,2724.9055,3155,3155,1,0
9,2316.1697,3197,3155,1,1
10,1968.7443,3105,3105,1,0
11,1673.4326,3045,3045,1,0
12,1422.4177,3031,3031,1,0
13,1209.0551,3017,3017,1,0
14,1027.6968,3066,3017,1,1
15,873.5423,3059,3017,1,0
16,742.5110,3017,3017,1,0
17,631.1343,3028,3017,1,1
18,536.4642,3089,3017,1,1
19,455.9946,3055,3017,1,0
20,387.5954,3039,3017,1,0
21,329.4561,3054,3017,1,1
22,280.0377,3044,3017,1,0
23,238.0320,2999,2999,1,0
24,202.3272,2983,2983,1,0
25,171.9782,3068,2983,1,1
26,146.1814,2952,2952,1,0
27,124.2542,3004,2952,1,1
28,105.6161,2953,2952,1,0
29,89.7737,2927,2927,1,0
30,76.3076,2920,2920,1,0
31,64.8615,2905,2905,1,0
32,55.1323,2953,2905,1,1
33,46.8624,2855,2855,1,0
34,39.8331,2838,2838,1,0
35,33.8581,2822,2822,1,0
36,28.7794,2865,2822,1,1
37,24.4625,2806,2806,1,0
38,20.7931,2800,2800,1,0
39,17.6741,2854,2800,1,1
40,15.0230,2836,2800,1,0
41,12.7696,2811,2800,1,0
42,10.8541,2842,2800,1,1
43,9.2260,2858,2800,1,1
44,7.8421,2819,2800,1,0
45,6.6658,2803,2800,1,0
46,5.6659,2814,2800,1,1
47,4.8160,2816,2800,1,1
48,4.0936,2804,2800,1,0
49,3.4796,2830,2800,1,1
50,2.9576,2892,2800,1,1
51,2.5140,2856,2800,1,0
52,2.1369,2827,2800,1,0
53,1.8164,2835,2800,1,1
54,1.5439,2815,2800,1,0
55,1.3123,2814,2800,1,0
56,1.1155,2864,2800,1,1
57,0.9482,2796,2796,1,0
58,0.8059,2784,2784,1,0
59,0.6850,2797,2784,1,1
60,0.5823,2835,2784,1,1
61,0.4949,2783,2783,1,0
62,0.4207,2776,2776,1,0
63,0.3576,2775,2775,1,0
64,0.3040,2772,2772,1,0
65,0.2584,2749,2749,1,0
66,0.2196,2827,2749,1,1
67,0.1867,2751,2749,1,0
68,0.1587,2757,2749,1,1
69,0.1349,2727,2727,1,0
70,0.1146,2798,2727,1,1
71,0.0974,2744,2727,1,0
