temperatura,makespan
10000.00000,4094
9900.00000,423
9801.00000,354
9702.99023,362
9605.95996,351
9509.90039,344
9414.80176,415
9320.65430,432
9227.44824,393
9135.17383,352
9043.82227,391
8953.38379,390
8863.84961,350
8775.21094,348
8687.45898,340
8600.58496,316
8514.57910,312
8429.43359,329
8345.13965,306
8261.68848,283
8179.07178,340
8097.28125,363
8016.30859,301
7936.14551,347
7856.78418,375
7778.21631,427
7700.43408,424
7623.42969,440
7547.19531,395
7471.72363,448
7397.00635,422
7323.03613,457
7249.80566,464
7177.30762,519
7105.53467,484
7034.47949,400
6964.13477,433
6894.49365,450
6825.54883,439
6757.29346,509
6689.72070,483
6622.82373,512
6556.59570,504
6491.02979,548
6426.11963,396
6361.85840,427
6298.23975,487
6235.25732,456
6172.90479,498
6111.17578,517
6050.06396,450
5989.56348,449
5929.66797,399
5870.37158,359
5811.66797,367
5753.55127,409
5696.01562,436
5639.05566,506
5582.66504,474
5526.83838,419
5471.56982,455
5416.85400,504
5362.68555,451
5309.05859,489
5255.96826,416
5203.40869,374
5151.37451,375
5099.86084,424
5048.86230,449
4998.37354,402
4948.38965,414
4898.90576,379
4849.91699,360
4801.41797,335
4753.40381,375
4705.86963,388
4658.81104,366
4612.22314,366
4566.10107,348
4520.43994,376
4475.23535,379
4430.48291,370
4386.17822,372
4342.31641,357
4298.89307,348
4255.90430,340
4213.34521,315
4171.21191,343
4129.50000,377
4088.20508,332
4047.32300,397
4006.84985,369
3966.78149,406
3927.11377,382
3887.84277,376
3848.96436,382
3810.47485,352
3772.37012,404
3734.64648,355
3697.30005,366
3660.32715,350
3623.72388,364
3587.48657,343
3551.61182,381
3516.09570,382
3480.93481,343
3446.12549,342
3411.66431,337
3377.54761,353
3343.77222,308
3310.33447,308
3277.23120,314
3244.45898,292
3212.01440,284
3179.89429,277
3148.09546,274
3116.61450,272
3085.44849,334
3054.59399,340
3024.04810,334
2993.80762,357
2963.86963,342
2934.23096,380
2904.88867,329
2875.83984,310
2847.08154,337
2818.61084,291
2790.42480,305
2762.52051,338
2734.89526,316
2707.54639,289
2680.47095,335
2653.66626,275
2627.12964,271
2600.85840,350
2574.84985,350
2549.10132,301
2523.61035,289
2498.37427,296
2473.39062,315
2448.65674,274
2424.17017,302
2399.92847,292
2375.92920,292
2352.16992,269
