iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,8000.0000,946,946,1,0
2,6400.0000,849,849,1,0
3,5120.0000,856,849,1,1
4,4096.0000,852,849,1,0
5,3276.8000,828,828,1,0
6,2621.4402,769,769,1,0
7,2097.1521,746,746,1,0
8,1677.7217,694,694,1,0
9,1342.1774,618,618,1,0
10,1073.7419,607,607,1,0
11,858.9936,695,607,1,1
12,687.1949,662,607,1,0
13,549.7559,625,607,1,0
14,439.8047,705,607,1,1
15,351.8438,692,607,1,0
16,281.4751,611,607,1,0
17,225.1801,608,607,1,0
18,180.1440,615,607,1,1
19,144.1152,601,601,1,0
20,115.2922,650,601,1,1
21,92.2338,661,601,1,1
22,73.7870,604,601,1,0
23,59.0296,642,601,1,1
24,47.2237,682,601,1,1
25,37.7790,601,601,1,0
26,30.2232,615,601,1,1
27,24.1785,670,601,1,1
28,19.3428,634,601,1,0
29,15.4743,689,601,1,1
30,12.3794,618,601,1,0
31,9.9035,614,601,1,0
32,7.9228,618,601,1,1
33,6.3383,601,601,1,0
34,5.0706,604,601,1,1
35,4.0565,615,601,1,1
36,3.2452,657,601,1,1
37,2.5962,607,601,1,0
38,2.0769,664,601,1,1
39,1.6615,604,601,1,0
40,1.3292,614,601,1,1
41,1.0634,634,601,1,1
42,0.8507,604,601,1,0
43,0.6806,614,601,1,1
44,0.5445,670,601,1,1
45,0.4356,678,601,1,1
46,0.3484,653,601,1,0
47,0.2788,601,601,1,0
48,0.2230,631,601,1,1
49,0.1784,601,601,1,0
50,0.1427,604,601,1,1
51,0.1142,588,588,1,0
52,0.0913,598,588,1,1
