heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
temperasimulada,100,10,3,0.00012,52,563,0.80
temperasimulada,100,10,4,0.00013,52,559,0.80
temperasimulada,100,10,5,0.00013,52,604,0.80
temperasimulada,100,10,6,0.00015,52,634,0.80
temperasimulada,100,10,7,0.00012,52,615,0.80
temperasimulada,100,10,8,0.00012,52,568,0.80
temperasimulada,100,10,9,0.00012,52,597,0.80
temperasimulada,100,10,10,0.00012,52,580,0.80
temperasimulada,100,10,1,0.00016,71,535,0.85
temperasimulada,100,10,2,0.00017,71,570,0.85
temperasimulada,100,10,3,0.00018,71,574,0.85
temperasimulada,100,10,4,0.00020,71,528,0.85
temperasimulada,100,10,5,0.00016,71,616,0.85
temperasimulada,100,10,6,0.00016,71,577,0.85
temperasimulada,100,10,7,0.00016,71,679,0.85
temperasimulada,100,10,8,0.00016,71,629,0.85
temperasimulada,100,10,9,0.00018,71,575,0.85
temperasimulada,100,10,10,0.00016,71,510,0.85
temperasimulada,100,10,1,0.00025,110,598,0.90
temperasimulada,100,10,2,0.00024,110,606,0.90
temperasimulada,100,10,3,0.00024,110,537,0.90
temperasimulada,100,10,4,0.00024,110,565,0.90
temperasimulada,100,10,5,0.00025,110,476,0.90
temperasimulada,100,10,6,0.00024,110,530,0.90
temperasimulada,100,10,7,0.00024,110,661,0.90
temperasimulada,100,10,8,0.00024,110,581,0.90
temperasimulada,100,10,9,0.00024,110,580,0.90
temperasimulada,100,10,10,0.00024,110,542,0.90
temperasimulada,100,10,1,0.00049,225,545,0.95
temperasimulada,100,10,2,0.00047,225,604,0.95
temperasimulada,100,10,3,0.00059,225,678,0.95
temperasimulada,100,10,4,0.00047,225,703,0.95
temperasimulada,100,10,5,0.00051,225,617,0.95
temperasimulada,100,10,6,0.00051,225,567,0.95
temperasimulada,100,10,7,0.00048,225,568,0.95
temperasimulada,100,10,8,0.00046,225,627,0.95
temperasimulada,100,10,9,0.00047,225,595,0.95
temperasimulada,100,10,10,0.00049,225,542,0.95
temperasimulada,100,10,1,0.00227,1146,662,0.99
temperasimulada,100,10,2,0.00225,1146,569,0.99
temperasimulada,100,10,3,0.00224,1146,597,0.99
temperasimulada,100,10,4,0.00218,1146,543,0.99
temperasimulada,100,10,5,0.00261,1146,555,0.99
temperasimulada,100,10,6,0.00220,1146,571,0.99
temperasimulada,100,10,7,0.00220,1146,577,0.99
temperasimulada,100,10,8,0.00214,1146,626,0.99
temperasimulada,100,10,9,0.00215,1146,610,0.99
temperasimulada,100,10,10,0.00213,1146,567,0.99
temperasimulada,89,20,1,0.00027,52,401,0.80
temperasimulada,89,20,2,0.00027,52,428,0.80
temperasimulada,89,20,3,0.00027,52,550,0.80
temperasimulada,89,20,4,0.00027,52,639,0.80
temperasimulada,89,20,5,0.00027,52,449,0.80
temperasimulada,89,20,6,0.00027,52,498,0.80
temperasimulada,89,20,7,0.00027,52,454,0.80
temperasimulada,89,20,8,0.00027,52,500,0.80
temperasimulada,89,20,9,0.00027,52,534,0.80
temperasimulada,89,20,10,0.00027,52,393,0.80
temperasimulada,89,20,1,0.00036,71,628,0.85
temperasimulada,89,20,2,0.00032,71,340,0.85
temperasimulada,89,20,3,0.00034,71,373,0.85
temperasimulada,89,20,4,0.00036,71,435,0.85
temperasimulada,89,20,5,0.00034,71,314,0.85
temperasimulada,89,20,6,0.00031,71,325,0.85
temperasimulada,89,20,7,0.00035,71,423,0.85
temperasimulada,89,20,8,0.00034,71,422,0.85
temperasimulada,89,20,9,0.00035,71,420,0.85
temperasimulada,89,20,10,0.00036,71,530,0.85
temperasimulada,89,20,1,0.00049,110,461,0.90
temperasimulada,89,20,2,0.00054,110,468,0.90
temperasimulada,89,20,3,0.00054,110,528,0.90
temperasimulada,89,20,4,0.00052,110,474,0.90
temperasimulada,89,20,5,0.00055,110,488,0.90
temperasimulada,89,20,6,0.00052,110,479,0.90
temperasimulada,89,20,7,0.00052,110,411,0.90
temperasimulada,89,20,8,0.00054,110,517,0.90
temperasimulada,89,20,9,0.00054,110,461,0.90
temperasimulada,89,20,10,0.00048,110,287,0.90
temperasimulada,89,20,1,0.00099,225,339,0.95
temperasimulada,89,20,2,0.00108,225,503,0.95
temperasimulada,89,20,3,0.00106,225,536,0.95
temperasimulada,89,20,4,0.00107,225,417,0.95
temperasimulada,89,20,5,0.00104,225,452,0.95
temperasimulada,89,20,6,0.00105,225,289,0.95
temperasimulada,89,20,7,0.00111,225,604,0.95
temperasimulada,89,20,8,0.00110,225,507,0.95
temperasimulada,89,20,9,0.00111,225,436,0.95
temperasimulada,89,20,10,0.00103,225,334,0.95
temperasimulada,89,20,1,0.00573,1146,374,0.99
temperasimulada,89,20,2,0.00539,1146,330,0.99
temperasimulada,89,20,3,0.00530,1146,356,0.99
temperasimulada,89,20,4,0.00483,1146,282,0.99
temperasimulada,89,20,5,0.00506,1146,313,0.99
temperasimulada,89,20,6,0.00518,1146,412,0.99
temperasimulada,89,20,7,0.00538,1146,413,0.99
temperasimulada,89,20,8,0.00493,1146,289,0.99
temperasimulada,89,20,9,0.00535,1146,481,0.99
temperasimulada,89,20,10,0.00561,1146,414,0.99
temperasimulada,400,20,1,0.00042,52,1177,0.80
temperasimulada,400,20,2,0.00042,52,1106,0.80
temperasimulada,400,20,3,0.00042,52,1147,0.80
temperasimulada,400,20,4,0.00041,52,1127,0.80
temperasimulada,400,20,5,0.00041,52,1090,0.80
temperasimulada,400,20,6,0.00047,52,1124,0.80
temperasimulada,400,20,7,0.00042,52,1154,0.80
temperasimulada,400,20,8,0.00042,52,1072,0.80
temperasimulada,400,20,9,0.00040,52,1118,0.80
temperasimulada,400,20,10,0.00041,52,1075,0.80
temperasimulada,400,20,1,0.00054,71,1065,0.85
temperasimulada,400,20,2,0.00056,71,1172,0.85
temperasimulada,400,20,3,0.00056,71,1095,0.85
temperasimulada,400,20,4,0.00055,71,1128,0.85
temperasimulada,400,20,5,0.00054,71,1110,0.85
temperasimulada,400,20,6,0.00055,71,1126,0.85
temperasimulada,400,20,7,0.00055,71,1122,0.85
temperasimulada,400,20,8,0.00054,71,1185,0.85
temperasimulada,400,20,9,0.00055,71,1110,0.85
temperasimulada,400,20,10,0.00053,71,1096,0.85
temperasimulada,400,20,1,0.00082,110,1102,0.90
temperasimulada,400,20,2,0.00084,110,1087,0.90
temperasimulada,400,20,3,0.00081,110,1120,0.90
temperasimulada,400,20,4,0.00082,110,1043,0.90
temperasimulada,400,20,5,0.00081,110,1054,0.90
temperasimulada,400,20,6,0.00081,110,1103,0.90
temperasimulada,400,20,7,0.00081,110,1104,0.90
temperasimulada,400,20,8,0.00082,110,1106,0.90
temperasimulada,400,20,9,0.00082,110,1083,0.90
temperasimulada,400,20,10,0.00082,110,1153,0.90
temperasimulada,400,20,1,0.00159,225,1015,0.95
temperasimulada,400,20,2,0.00161,225,1085,0.95
temperasimulada,400,20,3,0.00163,225,1191,0.95
temperasimulada,400,20,4,0.00162,225,1094,0.95
temperasimulada,400,20,5,0.00163,225,1046,0.95
temperasimulada,400,20,6,0.00163,225,1116,0.95
temperasimulada,400,20,7,0.00160,225,1084,0.95
temperasimulada,400,20,8,0.00161,225,1106,0.95
temperasimulada,400,20,9,0.00163,225,1086,0.95
temperasimulada,400,20,10,0.00162,225,1085,0.95
temperasimulada,400,20,1,0.00809,1146,1209,0.99
temperasimulada,400,20,2,0.00802,1146,1201,0.99
temperasimulada,400,20,3,0.00790,1146,1159,0.99
temperasimulada,400,20,4,0.00801,1146,1106,0.99
temperasimulada,400,20,5,0.00801,1146,1080,0.99
temperasimulada,400,20,6,0.00794,1146,1028,0.99
temperasimulada,400,20,7,0.00805,1146,1058,0.99
temperasimulada,400,20,8,0.00789,1146,1100,0.99
temperasimulada,400,20,9,0.00806,1146,1099,0.99
temperasimulada,400,20,10,0.00800,1146,1209,0.99
temperasimulada,353,50,1,0.00116,52,695,0.80
temperasimulada,353,50,2,0.00097,52,572,0.80
temperasimulada,353,50,3,0.00096,52,710,0.80
temperasimulada,353,50,4,0.00093,52,564,0.80
temperasimulada,353,50,5,0.00096,52,770,0.80
temperasimulada,353,50,6,0.00098,52,741,0.80
temperasimulada,353,50,7,0.00095,52,691,0.80
temperasimulada,353,50,8,0.00094,52,572,0.80
temperasimulada,353,50,9,0.00096,52,683,0.80
temperasimulada,353,50,10,0.00094,52,537,0.80
temperasimulada,353,50,1,0.00130,71,654,0.85
temperasimulada,353,50,2,0.00127,71,530,0.85
temperasimulada,353,50,3,0.00129,71,670,0.85
temperasimulada,353,50,4,0.00126,71,490,0.85
temperasimulada,353,50,5,0.00128,71,681,0.85
temperasimulada,353,50,6,0.00128,71,615,0.85
temperasimulada,353,50,7,0.00129,71,661,0.85
temperasimulada,353,50,8,0.00131,71,835,0.85
temperasimulada,353,50,9,0.00127,71,530,0.85
temperasimulada,353,50,10,0.00128,71,607,0.85
temperasimulada,353,50,1,0.00195,110,479,0.90
temperasimulada,353,50,2,0.00194,110,553,0.90
temperasimulada,353,50,3,0.00192,110,474,0.90
temperasimulada,353,50,4,0.00200,110,828,0.90
temperasimulada,353,50,5,0.00196,110,572,0.90
temperasimulada,353,50,6,0.00197,110,536,0.90
temperasimulada,353,50,7,0.00198,110,586,0.90
temperasimulada,353,50,8,0.00208,110,743,0.90
temperasimulada,353,50,9,0.00219,110,744,0.90
temperasimulada,353,50,10,0.00211,110,537,0.90
temperasimulada,353,50,1,0.00448,225,752,0.95
temperasimulada,353,50,2,0.00424,225,441,0.95
temperasimulada,353,50,3,0.00446,225,893,0.95
temperasimulada,353,50,4,0.00425,225,451,0.95
temperasimulada,353,50,5,0.00428,225,470,0.95
temperasimulada,353,50,6,0.00445,225,724,0.95
temperasimulada,353,50,7,0.00443,225,755,0.95
temperasimulada,353,50,8,0.00426,225,442,0.95
temperasimulada,353,50,9,0.00429,225,482,0.95
temperasimulada,353,50,10,0.00424,225,423,0.95
temperasimulada,353,50,1,0.02052,1146,469,0.99
temperasimulada,353,50,2,0.02040,1146,473,0.99
temperasimulada,353,50,3,0.02106,1146,847,0.99
temperasimulada,353,50,4,0.01968,1146,515,0.99
temperasimulada,353,50,5,0.01962,1146,516,0.99
temperasimulada,353,50,6,0.02094,1146,758,0.99
temperasimulada,353,50,7,0.01964,1146,504,0.99
temperasimulada,353,50,8,0.02022,1146,463,0.99
temperasimulada,353,50,9,0.02080,1146,687,0.99
temperasimulada,353,50,10,0.02121,1146,764,0.99
temperasimulada,2500,50,1,0.01323,52,2822,0.80
temperasimulada,2500,50,2,0.01306,52,2742,0.80
temperasimulada,2500,50,3,0.01315,52,2783,0.80
temperasimulada,2500,50,4,0.01331,52,2811,0.80
temperasimulada,2500,50,5,0.01299,52,2746,0.80
temperasimulada,2500,50,6,0.01285,52,2766,0.80
temperasimulada,2500,50,7,0.01290,52,2857,0.80
temperasimulada,2500,50,8,0.01288,52,2704,0.80
temperasimulada,2500,50,9,0.01293,52,2835,0.80
temperasimulada,2500,50,10,0.01295,52,2729,0.80
temperasimulada,2500,50,1,0.01747,71,2613,0.85
temperasimulada,2500,50,2,0.01755,71,2718,0.85
temperasimulada,2500,50,3,0.01752,71,2813,0.85
temperasimulada,2500,50,4,0.01756,71,2791,0.85
temperasimulada,2500,50,5,0.01754,71,2774,0.85
temperasimulada,2500,50,6,0.01759,71,2671,0.85
temperasimulada,2500,50,7,0.01754,71,2701,0.85
temperasimulada,2500,50,8,0.01747,71,2742,0.85
temperasimulada,2500,50,9,0.01746,71,2762,0.85
temperasimulada,2500,50,10,0.01754,71,2750,0.85
temperasimulada,2500,50,1,0.02654,110,2711,0.90
temperasimulada,2500,50,2,0.02660,110,2686,0.90
temperasimulada,2500,50,3,0.02661,110,2763,0.90
temperasimulada,2500,50,4,0.02676,110,2749,0.90
temperasimulada,2500,50,5,0.02657,110,2760,0.90
temperasimulada,2500,50,6,0.02655,110,2719,0.90
temperasimulada,2500,50,7,0.02658,110,2659,0.90
temperasimulada,2500,50,8,0.02659,110,2679,0.90
temperasimulada,2500,50,9,0.02655,110,2703,0.90
temperasimulada,2500,50,10,0.02656,110,2721,0.90
temperasimulada,2500,50,1,0.05392,225,2713,0.95
temperasimulada,2500,50,2,0.05428,225,2680,0.95
temperasimulada,2500,50,3,0.05421,225,2695,0.95
temperasimulada,2500,50,4,0.05407,225,2799,0.95
temperasimulada,2500,50,5,0.05402,225,2730,0.95
temperasimulada,2500,50,6,0.05418,225,2637,0.95
temperasimulada,2500,50,7,0.05409,225,2761,0.95
temperasimulada,2500,50,8,0.05388,225,2517,0.95
temperasimulada,2500,50,9,0.05408,225,2688,0.95
temperasimulada,2500,50,10,0.05387,225,2717,0.95
temperasimulada,2500,50,1,0.27236,1146,2672,0.99
temperasimulada,2500,50,2,0.27226,1146,2637,0.99
temperasimulada,2500,50,3,0.27292,1146,2647,0.99
temperasimulada,2500,50,4,0.27219,1146,2628,0.99
temperasimulada,2500,50,5,0.27307,1146,2612,0.99
temperasimulada,2500,50,6,0.27235,1146,2608,0.99
temperasimulada,2500,50,7,0.27213,1146,2625,0.99
temperasimulada,2500,50,8,0.27173,1146,2593,0.99
temperasimulada,2500,50,9,0.27191,1146,2655,0.99
temperasimulada,2500,50,10,0.27170,1146,2617,0.99
