temperatura,makespan
10000.00000,4954
9900.00000,505
9801.00000,450
9702.99023,442
9605.95996,428
9509.90039,484
9414.80176,434
9320.65430,418
9227.44824,480
9135.17383,428
9043.82227,520
8953.38379,492
8863.84961,465
8775.21094,466
8687.45898,426
8600.58496,467
8514.57910,421
8429.43359,386
8345.13965,397
8261.68848,389
8179.07178,414
8097.28125,372
8016.30859,410
7936.14551,418
7856.78418,402
7778.21631,462
7700.43408,460
7623.42969,492
7547.19531,439
7471.72363,523
7397.00635,399
7323.03613,433
7249.80566,486
7177.30762,396
7105.53467,441
7034.47949,395
6964.13477,433
6894.49365,403
6825.54883,384
6757.29346,460
6689.72070,431
6622.82373,441
6556.59570,508
6491.02979,492
6426.11963,463
6361.85840,442
6298.23975,511
6235.25732,514
6172.90479,459
6111.17578,457
6050.06396,457
5989.56348,485
5929.66797,474
5870.37158,475
5811.66797,451
5753.55127,531
5696.01562,501
5639.05566,517
5582.66504,491
5526.83838,598
5471.56982,496
5416.85400,470
5362.68555,462
5309.05859,541
5255.96826,514
5203.40869,541
5151.37451,702
5099.86084,555
5048.86230,472
4998.37354,469
4948.38965,491
4898.90576,569
4849.91699,505
4801.41797,526
4753.40381,518
4705.86963,532
4658.81104,531
4612.22314,645
4566.10107,453
4520.43994,486
4475.23535,508
4430.48291,454
4386.17822,450
4342.31641,489
4298.89307,528
4255.90430,509
4213.34521,492
4171.21191,581
4129.50000,590
4088.20508,439
4047.32300,441
4006.84985,510
3966.78149,464
3927.11377,500
3887.84277,552
3848.96436,571
3810.47485,521
3772.37012,550
3734.64648,522
3697.30005,475
3660.32715,454
3623.72388,577
3587.48657,430
3551.61182,519
3516.09570,449
3480.93481,456
3446.12549,426
3411.66431,419
3377.54761,464
3343.77222,458
3310.33447,427
3277.23120,489
3244.45898,527
3212.01440,420
3179.89429,432
3148.09546,421
3116.61450,382
3085.44849,377
3054.59399,369
3024.04810,369
2993.80762,360
2963.86963,418
2934.23096,370
2904.88867,364
2875.83984,352
2847.08154,342
2818.61084,371
2790.42480,336
2762.52051,315
2734.89526,341
2707.54639,364
2680.47095,403
2653.66626,372
2627.12964,345
2600.85840,387
2574.84985,472
2549.10132,423
2523.61035,391
2498.37427,387
2473.39062,459
2448.65674,562
2424.17017,437
2399.92847,406
2375.92920,480
2352.16992,452
2328.64819,376
2305.36182,410
2282.30811,444
2259.48511,434
2236.89038,443
2214.52148,403
2192.37622,414
2170.45239,471
2148.74780,439
2127.26025,483
2105.98779,410
2084.92798,469
2064.07861,487
2043.43787,464
2023.00354,418
2002.77356,464
1982.74585,481
1962.91846,406
1943.28931,497
1923.85645,448
1904.61792,522
1885.57178,409
1866.71606,404
1848.04895,404
1829.56848,401
1811.27283,414
1793.16016,397
1775.22852,396
1757.47620,371
1739.90149,404
1722.50244,458
1705.27747,391
1688.22473,430
1671.34253,392
1654.62915,391
1638.08289,387
1621.70203,369
1605.48499,365
1589.43018,368
1573.53589,405
1557.80054,381
1542.22253,372
1526.80029,369
1511.53235,372
1496.41699,364
1481.45288,418
1466.63831,379
1451.97192,412
1437.45227,391
1423.07776,367
1408.84705,338
1394.75854,330
1380.81091,380
1367.00281,345
1353.33276,330
1339.79944,354
1326.40149,346
1313.13745,406
1300.00610,369
1287.00610,325
1274.13611,352
1261.39478,323
1248.78088,321
1236.29309,360
1223.93018,319
1211.69092,304
1199.57397,307
1187.57825,335
1175.70251,310
1163.94556,308
1152.30615,297
1140.78308,350
1129.37524,296
1118.08154,328
1106.90076,294
1095.83179,286
1084.87354,330
1074.02478,281
1063.28455,288
1052.65173,279
1042.12524,335
1031.70398,339
1021.38696,378
1011.17310,369
1001.06140,368
991.05078,349
981.14026,336
971.32886,332
961.61560,336
951.99945,348
942.47949,397
933.05469,367
923.72412,352
914.48688,356
905.34204,342
896.28864,363
887.32574,305
878.45251,304
869.66797,311
860.97131,336
852.36163,334
843.83801,314
835.39966,304
827.04565,302
818.77521,326
810.58746,362
802.48157,356
794.45679,302
786.51221,330
778.64709,355
770.86066,312
763.15204,302
755.52051,356
747.96533,344
740.48566,340
733.08081,302
725.75000,384
718.49249,345
711.30756,297
704.19446,300
697.15253,357
690.18103,355
683.27924,340
676.44647,340
669.68201,379
662.98517,384
656.35535,356
649.79181,359
643.29388,371
636.86096,312
630.49237,309
624.18744,309
617.94556,373
611.76611,357
605.64844,347
599.59198,343
593.59607,315
587.66010,304
581.78351,357
575.96570,306
570.20605,336
564.50403,337
558.85901,298
553.27045,300
547.73773,359
542.26038,304
536.83777,298
531.46942,340
526.15472,298
520.89319,296
515.68427,292
510.52744,333
505.42218,292
500.36795,291
495.36429,321
490.41064,365
485.50653,306
480.65146,303
475.84494,365
471.08649,397
466.37564,356
461.71188,371
457.09476,353
452.52380,350
447.99857,347
443.51859,347
439.08340,310
434.69257,363
430.34564,312
426.04218,308
421.78177,325
417.56396,306
413.38834,305
409.25446,304
405.16193,303
401.11032,343
397.09921,308
393.12823,354
389.19696,370
385.30499,362
381.45193,335
377.63742,335
373.86105,346
370.12244,314
366.42120,314
362.75699,331
359.12943,363
355.53815,310
351.98276,312
348.46292,303
344.97830,361
341.52853,361
338.11325,326
334.73212,302
331.38480,375
328.07095,344
324.79025,342
321.54236,368
318.32693,326
315.14368,306
311.99225,352
308.87231,390
305.78360,332
302.72577,301
299.69852,298
296.70154,355
293.73453,359
290.79718,351
287.88922,319
285.01035,315
282.16025,311
279.33865,357
276.54526,327
273.77982,337
271.04202,326
268.33160,355
265.64828,356
262.99179,356
260.36188,327
257.75827,311
255.18069,298
252.62889,382
250.10260,370
247.60158,359
245.12556,332
242.67432,300
240.24757,304
237.84511,349
235.46666,298
233.11200,294
230.78088,290
228.47308,288
226.18835,336
223.92647,330
221.68721,311
219.47034,315
217.27563,289
215.10287,289
212.95184,288
210.82233,342
208.71411,355
206.62697,352
204.56070,338
202.51509,357
200.48994,405
198.48505,355
196.50020,336
194.53520,304
192.58986,287
190.66396,342
188.75732,364
186.86975,341
185.00105,335
183.15105,316
181.31953,328
179.50635,304
177.71129,284
175.93417,303
174.17484,328
172.43309,320
170.70876,299
169.00166,307
167.31165,307
165.63853,316
163.98215,299
162.34233,307
160.71890,282
159.11171,351
157.52060,325
155.94539,362
154.38594,344
152.84209,357
151.31367,342
149.80054,403
148.30254,349
146.81952,349
145.35132,340
143.89781,340
142.45883,325
141.03424,384
139.62390,393
138.22766,443
136.84538,443
135.47693,434
134.12216,353
132.78094,328
131.45314,379
130.13861,340
128.83722,374
127.54885,330
126.27336,331
125.01063,367
123.76052,324
122.52292,319
121.29769,313
120.08472,329
118.88387,306
117.69504,361
116.51809,364
115.35291,343
114.19939,337
113.05740,331
111.92683,318
110.80756,337
109.69948,337
108.60249,355
107.51646,349
106.44130,353
105.37688,392
104.32312,340
103.27989,341
102.24709,336
