iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,9500.0000,1415,1415,1,0
2,9025.0000,1450,1415,1,1
3,8573.7500,1460,1415,1,1
4,8145.0625,1356,1356,1,0
5,7737.8091,1352,1352,1,0
6,7350.9185,1391,1352,1,1
7,6983.3726,1369,1352,1,0
8,6634.2036,1322,1322,1,0
9,6302.4932,1383,1322,1,1
10,5987.3687,1361,1322,1,0
11,5688.0000,1371,1322,1,1
12,5403.6001,1307,1307,1,0
13,5133.4199,1251,1251,1,0
14,4876.7490,1371,1251,1,1
15,4632.9116,1273,1251,1,0
16,4401.2661,1236,1236,1,0
17,4181.2026,1162,1162,1,0
18,3972.1423,1212,1162,1,1
19,3773.5352,1231,1162,1,1
20,3584.8584,1203,1162,1,0
21,3405.6155,1215,1162,1,1
22,3235.3347,1201,1162,1,0
23,3073.5679,1351,1162,1,1
24,2919.8894,1255,1162,1,0
25,2773.8950,1246,1162,1,0
26,2635.2002,1243,1162,1,0
27,2503.4402,1223,1162,1,0
28,2378.2681,1222,1162,1,0
29,2259.3547,1244,1162,1,1
30,2146.3870,1222,1162,1,0
31,2039.0676,1285,1162,1,1
32,1937.1143,1224,1162,1,0
33,1840.2585,1196,1162,1,0
34,1748.2456,1254,1162,1,1
35,1660.8333,1177,1162,1,0
36,1577.7916,1222,1162,1,1
37,1498.9020,1211,1162,1,0
38,1423.9569,1199,1162,1,0
39,1352.7590,1207,1162,1,1
40,1285.1211,1164,1162,1,0
41,1220.8650,1156,1156,1,0
42,1159.8218,1162,1156,1,1
43,1101.8307,1226,1156,1,1
44,1046.7391,1166,1156,1,0
45,994.4022,1210,1156,1,1
46,944.6821,1180,1156,1,0
47,897.4479,1133,1133,1,0
48,852.5755,1120,1120,1,0
49,809.9467,1091,1091,1,0
50,769.4493,1152,1091,1,1
51,730.9769,1089,1089,1,0
52,694.4280,1086,1086,1,0
53,659.7066,1083,1083,1,0
54,626.7213,1081,1081,1,0
55,595.3852,1079,1079,1,0
56,565.6159,1070,1070,1,0
57,537.3351,1076,1070,1,1
58,510.4683,1076,1070,1,0
59,484.9449,1070,1070,1,0
60,460.6977,1070,1070,1,0
61,437.6628,1115,1070,1,1
62,415.7796,1150,1070,1,1
63,394.9906,1138,1070,1,0
64,375.2411,1115,1070,1,0
65,356.4790,1118,1070,1,1
66,338.6551,1107,1070,1,0
67,321.7223,1156,1070,1,1
68,305.6362,1154,1070,1,0
69,290.3544,1219,1070,1,1
70,275.8367,1140,1070,1,0
71,262.0448,1103,1070,1,0
72,248.9426,1132,1070,1,1
73,236.4955,1176,1070,1,1
74,224.6707,1153,1070,1,0
75,213.4371,1177,1070,1,1
76,202.7653,1127,1070,1,0
77,192.6270,1148,1070,1,1
78,182.9957,1130,1070,1,0
79,173.8459,1184,1070,1,1
80,165.1536,1127,1070,1,0
81,156.8959,1111,1070,1,0
82,149.0511,1081,1070,1,0
83,141.5986,1076,1070,1,0
84,134.5186,1121,1070,1,1
85,127.7927,1151,1070,1,1
86,121.4031,1094,1070,1,0
87,115.3329,1078,1070,1,0
88,109.5663,1138,1070,1,1
89,104.0880,1078,1070,1,0
90,98.8836,1069,1069,1,0
91,93.9394,1063,1063,1,0
92,89.2424,1079,1063,1,1
93,84.7803,1064,1063,1,0
94,80.5413,1060,1060,1,0
95,76.5142,1119,1060,1,1
96,72.6885,1140,1060,1,1
97,69.0541,1103,1060,1,0
98,65.6014,1130,1060,1,1
99,62.3213,1151,1060,1,1
100,59.2052,1105,1060,1,0
101,56.2450,1169,1060,1,1
102,53.4327,1120,1060,1,0
103,50.7611,1187,1060,1,1
104,48.2230,1078,1060,1,0
105,45.8119,1118,1060,1,1
106,43.5213,1076,1060,1,0
107,41.3452,1114,1060,1,1
108,39.2780,1064,1060,1,0
109,37.3141,1062,1060,1,0
110,35.4484,1055,1055,1,0
111,33.6759,1070,1055,1,1
112,31.9921,1060,1055,1,0
113,30.3925,1094,1055,1,1
114,28.8729,1082,1055,1,0
115,27.4293,1131,1055,1,1
116,26.0578,1119,1055,1,0
117,24.7549,1144,1055,1,1
118,23.5172,1129,1055,1,0
119,22.3413,1124,1055,1,0
120,21.2242,1102,1055,1,0
121,20.1630,1085,1055,1,0
122,19.1549,1086,1055,1,1
123,18.1971,1080,1055,1,0
124,17.2873,1105,1055,1,1
125,16.4229,1082,1055,1,0
126,15.6018,1081,1055,1,0
127,14.8217,1158,1055,1,1
128,14.0806,1106,1055,1,0
129,13.3766,1148,1055,1,1
130,12.7077,1115,1055,1,0
131,12.0723,1107,1055,1,0
132,11.4687,1094,1055,1,0
133,10.8953,1081,1055,1,0
134,10.3505,1078,1055,1,0
135,9.8330,1085,1055,1,1
136,9.3413,1074,1055,1,0
137,8.8743,1152,1055,1,1
138,8.4306,1168,1055,1,1
139,8.0090,1096,1055,1,0
140,7.6086,1101,1055,1,1
141,7.2282,1069,1055,1,0
142,6.8667,1112,1055,1,1
143,6.5234,1085,1055,1,0
144,6.1972,1060,1055,1,0
145,5.8874,1098,1055,1,1
146,5.5930,1118,1055,1,1
147,5.3134,1067,1055,1,0
148,5.0477,1069,1055,1,1
149,4.7953,1047,1047,1,0
150,4.5555,1095,1047,1,1
151,4.3278,1056,1047,1,0
152,4.1114,1047,1047,1,0
153,3.9058,1072,1047,1,1
154,3.7105,1041,1041,1,0
155,3.5250,1119,1041,1,1
156,3.3487,1075,1041,1,0
157,3.1813,1103,1041,1,1
158,3.0222,1110,1041,1,1
159,2.8711,1075,1041,1,0
160,2.7276,1052,1041,1,0
161,2.5912,1040,1040,1,0
162,2.4616,1036,1036,1,0
163,2.3386,1081,1036,1,1
164,2.2216,1035,1035,1,0
165,2.1105,1085,1035,1,1
166,2.0050,1041,1035,1,0
167,1.9048,1090,1035,1,1
168,1.8095,1106,1035,1,1
169,1.7190,1090,1035,1,0
170,1.6331,1110,1035,1,1
171,1.5514,1075,1035,1,0
172,1.4739,1086,1035,1,1
173,1.4002,1075,1035,1,0
