heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,89,20,5,0.00000,88,185,NA
monotona,89,20,6,0.00000,47,2438,NA
monotona,89,20,7,0.00000,65,1237,NA
monotona,89,20,8,0.00000,69,1190,NA
monotona,89,20,9,0.00000,68,1159,NA
monotona,89,20,10,0.00000,42,2066,NA
temperasimulada,89,20,1,0.00009,52,515,0.80
temperasimulada,89,20,2,0.00009,52,587,0.80
temperasimulada,89,20,3,0.00008,52,453,0.80
temperasimulada,89,20,4,0.00008,52,357,0.80
temperasimulada,89,20,5,0.00008,52,371,0.80
temperasimulada,89,20,6,0.00008,52,305,0.80
temperasimulada,89,20,7,0.00008,52,463,0.80
temperasimulada,89,20,8,0.00009,52,517,0.80
temperasimulada,89,20,9,0.00008,52,514,0.80
temperasimulada,89,20,10,0.00008,52,481,0.80
temperasimulada,89,20,1,0.00011,71,473,0.85
temperasimulada,89,20,2,0.00011,71,443,0.85
temperasimulada,89,20,3,0.00011,71,380,0.85
temperasimulada,89,20,4,0.00012,71,294,0.85
temperasimulada,89,20,5,0.00011,71,581,0.85
temperasimulada,89,20,6,0.00011,71,440,0.85
temperasimulada,89,20,7,0.00011,71,572,0.85
temperasimulada,89,20,8,0.00012,71,435,0.85
temperasimulada,89,20,9,0.00011,71,434,0.85
temperasimulada,89,20,10,0.00011,71,440,0.85
temperasimulada,89,20,1,0.00016,110,458,0.90
temperasimulada,89,20,2,0.00017,110,426,0.90
temperasimulada,89,20,3,0.00017,110,425,0.90
temperasimulada,89,20,4,0.00017,110,401,0.90
temperasimulada,89,20,5,0.00017,110,247,0.90
temperasimulada,89,20,6,0.00017,110,486,0.90
temperasimulada,89,20,7,0.00017,110,411,0.90
temperasimulada,89,20,8,0.00018,110,345,0.90
temperasimulada,89,20,9,0.00017,110,353,0.90
temperasimulada,89,20,10,0.00017,110,627,0.90
temperasimulada,89,20,1,0.00036,225,454,0.95
temperasimulada,89,20,2,0.00036,225,345,0.95
temperasimulada,89,20,3,0.00036,225,339,0.95
temperasimulada,89,20,4,0.00036,225,330,0.95
temperasimulada,89,20,5,0.00036,225,275,0.95
temperasimulada,89,20,6,0.00036,225,478,0.95
temperasimulada,89,20,7,0.00036,225,294,0.95
temperasimulada,89,20,8,0.00036,225,273,0.95
temperasimulada,89,20,9,0.00036,225,286,0.95
temperasimulada,89,20,10,0.00035,225,462,0.95
temperasimulada,89,20,1,0.00170,1146,399,0.99
temperasimulada,89,20,2,0.00170,1146,386,0.99
temperasimulada,89,20,3,0.00172,1146,404,0.99
temperasimulada,89,20,4,0.00168,1146,325,0.99
temperasimulada,89,20,5,0.00180,1146,412,0.99
temperasimulada,89,20,6,0.00173,1146,297,0.99
temperasimulada,89,20,7,0.00173,1146,313,0.99
temperasimulada,89,20,8,0.00170,1146,282,0.99
temperasimulada,89,20,9,0.00171,1146,452,0.99
temperasimulada,89,20,10,0.00159,1146,298,0.99
monotona,400,20,1,0.00000,206,10282,NA
monotona,400,20,2,0.00000,202,10513,NA
monotona,400,20,3,0.00000,335,2596,NA
monotona,400,20,4,0.00000,203,10465,NA
monotona,400,20,5,0.00000,201,9942,NA
monotona,400,20,6,0.00000,194,10513,NA
monotona,400,20,7,0.00000,385,1352,NA
monotona,400,20,8,0.00000,199,10309,NA
monotona,400,20,9,0.00000,201,10614,NA
monotona,400,20,10,0.00000,289,4761,NA
temperasimulada,400,20,1,0.00010,52,1043,0.80
temperasimulada,400,20,2,0.00009,52,1191,0.80
temperasimulada,400,20,3,0.00009,52,1033,0.80
temperasimulada,400,20,4,0.00009,52,1185,0.80
temperasimulada,400,20,5,0.00011,52,1132,0.80
temperasimulada,400,20,6,0.00010,52,1142,0.80
temperasimulada,400,20,7,0.00010,52,1122,0.80
temperasimulada,400,20,8,0.00009,52,1124,0.80
temperasimulada,400,20,9,0.00009,52,1140,0.80
temperasimulada,400,20,10,0.00012,52,1241,0.80
temperasimulada,400,20,1,0.00014,71,1150,0.85
temperasimulada,400,20,2,0.00013,71,1105,0.85
temperasimulada,400,20,3,0.00014,71,1102,0.85
temperasimulada,400,20,4,0.00014,71,1167,0.85
temperasimulada,400,20,5,0.00014,71,1177,0.85
temperasimulada,400,20,6,0.00014,71,1138,0.85
temperasimulada,400,20,7,0.00014,71,1068,0.85
temperasimulada,400,20,8,0.00014,71,1110,0.85
temperasimulada,400,20,9,0.00014,71,1084,0.85
temperasimulada,400,20,10,0.00014,71,1125,0.85
temperasimulada,400,20,1,0.00021,110,1219,0.90
temperasimulada,400,20,2,0.00019,110,1132,0.90
temperasimulada,400,20,3,0.00019,110,1136,0.90
temperasimulada,400,20,4,0.00019,110,1106,0.90
temperasimulada,400,20,5,0.00021,110,1141,0.90
temperasimulada,400,20,6,0.00021,110,1189,0.90
temperasimulada,400,20,7,0.00019,110,1084,0.90
temperasimulada,400,20,8,0.00019,110,1130,0.90
temperasimulada,400,20,9,0.00021,110,1167,0.90
temperasimulada,400,20,10,0.00021,110,1160,0.90
temperasimulada,400,20,1,0.00040,225,1111,0.95
temperasimulada,400,20,2,0.00038,225,1087,0.95
temperasimulada,400,20,3,0.00038,225,1073,0.95
temperasimulada,400,20,4,0.00041,225,1025,0.95
temperasimulada,400,20,5,0.00038,225,1092,0.95
temperasimulada,400,20,6,0.00043,225,1141,0.95
temperasimulada,400,20,7,0.00042,225,1132,0.95
temperasimulada,400,20,8,0.00039,225,1119,0.95
temperasimulada,400,20,9,0.00042,225,1092,0.95
temperasimulada,400,20,10,0.00038,225,1059,0.95
temperasimulada,400,20,1,0.00203,1146,1056,0.99
temperasimulada,400,20,2,0.00211,1146,1109,0.99
temperasimulada,400,20,3,0.00210,1146,1133,0.99
temperasimulada,400,20,4,0.00202,1146,1082,0.99
temperasimulada,400,20,5,0.00207,1146,1062,0.99
temperasimulada,400,20,6,0.00203,1146,1021,0.99
temperasimulada,400,20,7,0.00207,1146,1079,0.99
temperasimulada,400,20,8,0.00203,1146,1069,0.99
temperasimulada,400,20,9,0.00203,1146,1046,0.99
temperasimulada,400,20,10,0.00211,1146,1129,0.99
monotona,354,50,1,0.00000,352,603,NA
monotona,354,50,2,0.00000,176,9403,NA
monotona,354,50,3,0.00000,166,8995,NA
monotona,354,50,4,0.00000,261,4684,NA
monotona,354,50,5,0.00000,177,9058,NA
monotona,354,50,6,0.00000,177,8700,NA
monotona,354,50,7,0.00000,175,9370,NA
monotona,354,50,8,0.00000,259,4731,NA
monotona,354,50,9,0.00000,173,9087,NA
monotona,354,50,10,0.00000,186,9301,NA
temperasimulada,354,50,1,0.00022,52,741,0.80
temperasimulada,354,50,2,0.00022,52,626,0.80
temperasimulada,354,50,3,0.00024,52,564,0.80
temperasimulada,354,50,4,0.00024,52,732,0.80
temperasimulada,354,50,5,0.00023,52,521,0.80
temperasimulada,354,50,6,0.00022,52,695,0.80
temperasimulada,354,50,7,0.00024,52,677,0.80
temperasimulada,354,50,8,0.00024,52,548,0.80
temperasimulada,354,50,9,0.00024,52,603,0.80
temperasimulada,354,50,10,0.00024,52,593,0.80
temperasimulada,354,50,1,0.00033,71,730,0.85
temperasimulada,354,50,2,0.00033,71,679,0.85
temperasimulada,354,50,3,0.00032,71,483,0.85
temperasimulada,354,50,4,0.00033,71,552,0.85
temperasimulada,354,50,5,0.00032,71,530,0.85
temperasimulada,354,50,6,0.00032,71,590,0.85
temperasimulada,354,50,7,0.00033,71,497,0.85
temperasimulada,354,50,8,0.00033,71,832,0.85
temperasimulada,354,50,9,0.00032,71,486,0.85
temperasimulada,354,50,10,0.00029,71,489,0.85
temperasimulada,354,50,1,0.00049,110,641,0.90
temperasimulada,354,50,2,0.00045,110,616,0.90
temperasimulada,354,50,3,0.00046,110,861,0.90
temperasimulada,354,50,4,0.00048,110,723,0.90
temperasimulada,354,50,5,0.00046,110,566,0.90
temperasimulada,354,50,6,0.00048,110,511,0.90
temperasimulada,354,50,7,0.00047,110,835,0.90
temperasimulada,354,50,8,0.00045,110,780,0.90
temperasimulada,354,50,9,0.00050,110,684,0.90
temperasimulada,354,50,10,0.00045,110,606,0.90
temperasimulada,354,50,1,0.00095,225,757,0.95
temperasimulada,354,50,2,0.00093,225,429,0.95
temperasimulada,354,50,3,0.00091,225,455,0.95
temperasimulada,354,50,4,0.00098,225,511,0.95
temperasimulada,354,50,5,0.00102,225,729,0.95
temperasimulada,354,50,6,0.00099,225,742,0.95
temperasimulada,354,50,7,0.00097,225,418,0.95
temperasimulada,354,50,8,0.00098,225,819,0.95
temperasimulada,354,50,9,0.00094,225,657,0.95
temperasimulada,354,50,10,0.00098,225,589,0.95
temperasimulada,354,50,1,0.00492,1146,491,0.99
temperasimulada,354,50,2,0.00505,1146,457,0.99
temperasimulada,354,50,3,0.00519,1146,460,0.99
temperasimulada,354,50,4,0.00510,1146,461,0.99
temperasimulada,354,50,5,0.00522,1146,520,0.99
temperasimulada,354,50,6,0.00481,1146,468,0.99
temperasimulada,354,50,7,0.00498,1146,662,0.99
temperasimulada,354,50,8,0.00488,1146,400,0.99
temperasimulada,354,50,9,0.00517,1146,828,0.99
temperasimulada,354,50,10,0.00490,1146,486,0.99
monotona,2500,50,1,0.00001,1259,64024,NA
monotona,2500,50,2,0.00002,2198,15730,NA
monotona,2500,50,3,0.00002,1280,63539,NA
monotona,2500,50,4,0.00002,1849,31378,NA
monotona,2500,50,5,0.00002,1264,63237,NA
monotona,2500,50,6,0.00001,1263,63512,NA
monotona,2500,50,7,0.00003,2185,15634,NA
monotona,2500,50,8,0.00001,1253,63963,NA
monotona,2500,50,9,0.00002,1842,32385,NA
monotona,2500,50,10,0.00001,1243,62627,NA
temperasimulada,2500,50,1,0.00074,52,2793,0.80
temperasimulada,2500,50,2,0.00071,52,2723,0.80
temperasimulada,2500,50,3,0.00068,52,2707,0.80
temperasimulada,2500,50,4,0.00073,52,2775,0.80
temperasimulada,2500,50,5,0.00072,52,2761,0.80
temperasimulada,2500,50,6,0.00071,52,2835,0.80
temperasimulada,2500,50,7,0.00072,52,2774,0.80
temperasimulada,2500,50,8,0.00073,52,2857,0.80
temperasimulada,2500,50,9,0.00073,52,2796,0.80
temperasimulada,2500,50,10,0.00075,52,2834,0.80
temperasimulada,2500,50,1,0.00105,71,2727,0.85
